,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
1,Jahmyr Gibbs,DET,RB,1.10,1.40,2.70,Ques,Back
2,Bijan Robinson,ATL,RB,2.00,2.70,1.70,,
3,Ja'Marr Chase,CIN,WR,3.10,3.70,3.00,,
4,Puka Nacua,LAR,WR,4.00,4.20,4.80,,
5,Christian McCaffrey,SF,RB,6.10,5.80,21.10,,
6,Jonathan Taylor,IND,RB,8.00,6.40,15.10,,
7,James Cook,BUF,RB,11.60,7.70,17.20,,
8,Amon-Ra St. Brown,DET,WR,7.10,8.90,6.00,,
9,Jaxon Smith-Njigba,SEA,WR,5.50,9.00,5.90,,
10,Justin Jefferson,MIN,WR,10.20,10.90,10.10,,
11,CeeDee Lamb,DAL,WR,9.50,11.30,12.50,,
12,Saquon Barkley,PHI,RB,13.40,12.10,32.40,,
13,Ashton Jeanty,LV,RB,11.40,13.90,7.70,,
14,De'Von Achane,MIA,RB,18.10,14.00,13.20,,
15,Omarion Hampton,LAC,RB,14.60,15.50,17.40,,
16,Chase Brown,CIN,RB,16.00,16.40,26.90,,
17,Derrick Henry,BAL,RB,17.40,17.10,56.10,,
18,Drake London,ATL,WR,20.70,17.70,20.50,,
19,Kenneth Walker,KC,RB,15.20,19.70,28.20,,
20,A.J. Brown,NE,WR,18.50,20.90,43.70,,
21,Nico Collins,HOU,WR,22.80,21.40,25.20,,
22,Trey McBride,ARI,TE,28.90,22.10,16.50,,
23,Josh Allen,BUF,QB,35.60,23.80,8.20,,
24,Jeremiyah Love,ARI,RB,26.70,24.00,14.60,,
25,Brock Bowers,LV,TE,20.30,25.70,11.40,,
26,George Pickens,DAL,WR,23.60,26.00,22.50,,
27,Josh Jacobs,GB,RB,40.80,26.40,58.50,,
28,Kyren Williams,LAR,RB,31.80,28.90,44.00,,
29,Rashee Rice,KC,WR,24.90,29.10,40.20,,
30,Breece Hall,NYJ,RB,29.50,30.10,38.50,,
31,Chris Olave,NO,WR,30.10,31.40,29.50,,
32,Malik Nabers,NYG,WR,27.20,32.70,8.70,Ques,Knee - ACL
33,DeVonta Smith,PHI,WR,27.20,33.50,53.30,,
34,Javonte Williams,DAL,RB,36.20,34.00,51.30,,
35,Tetairoa McMillan,CAR,WR,39.00,35.10,23.80,,
36,Tee Higgins,CIN,WR,33.90,35.40,53.50,,
37,Lamar Jackson,BAL,QB,55.40,37.00,31.10,,
38,Cam Skattebo,NYG,RB,43.90,38.20,48.10,,
39,Garrett Wilson,NYJ,WR,40.10,39.90,37.20,,
40,Travis Etienne,NO,RB,39.60,40.50,62.50,,
41,Ladd McConkey,LAC,WR,35.00,41.60,35.10,,
42,Emeka Egbuka,TB,WR,31.90,42.10,24.90,,
43,Zay Flowers,BAL,WR,31.00,43.40,50.10,,
44,Colston Loveland,CHI,TE,46.20,44.40,27.00,,
45,Bucky Irving,TB,RB,55.80,44.60,41.70,,
46,TreVeyon Henderson,NE,RB,53.10,46.10,33.80,,
47,Quinshon Judkins,CLE,RB,53.50,47.50,42.70,,
48,Jaylen Waddle,DEN,WR,40.70,48.60,65.20,,
49,David Montgomery,HOU,RB,48.60,49.20,74.00,,
50,Terry McLaurin,WAS,WR,43.80,50.10,79.90,,
51,Tyler Warren,IND,TE,63.80,51.10,34.30,,
52,D'Andre Swift,CHI,RB,50.10,52.30,71.90,,
53,Luther Burden,CHI,WR,44.90,53.50,44.60,,
54,Mike Evans,SF,WR,45.60,53.90,94.00,Ques,Quadriceps
55,Drake Maye,NE,QB,66.50,55.90,19.40,,
56,Jameson Williams,DET,WR,51.60,56.30,66.70,,
57,Joe Burrow,CIN,QB,68.00,57.70,30.80,,
58,DJ Moore,BUF,WR,56.40,58.20,78.00,,
59,Davante Adams,LAR,WR,50.70,59.30,80.80,,
60,Bhayshul Tuten,JAX,RB,51.20,60.70,68.60,,
61,Jadarian Price,SEA,RB,62.50,61.70,62.50,,
62,Rome Odunze,CHI,WR,59.50,62.20,46.00,,
63,Carnell Tate,TEN,WR,59.30,62.30,39.80,,
64,Jayden Daniels,WAS,QB,67.50,64.10,35.50,,
65,Christian Watson,GB,WR,57.30,65.50,77.70,,
66,Tucker Kraft,GB,TE,80.40,66.60,59.80,Ques,Knee - ACL
67,Jalen Hurts,PHI,QB,71.40,67.80,49.70,,
68,Brian Thomas,JAX,WR,62.30,68.90,61.90,,
69,Jaylen Warren,PIT,RB,72.00,69.10,89.70,,
70,Sam LaPorta,DET,TE,91.80,70.30,57.90,,
71,Kyle Pitts,ATL,TE,104.00,71.50,67.90,,
72,Harold Fannin,CLE,TE,102.70,71.80,47.10,,
73,Chuba Hubbard,CAR,RB,81.90,73.30,93.80,,
74,Marvin Harrison,ARI,WR,68.90,74.90,60.00,,
75,Jordyn Tyson,NO,WR,63.80,75.40,55.80,,
76,Makai Lemon,PHI,WR,73.20,76.60,64.10,Ques,Undisclosed
77,RJ Harvey,DEN,RB,86.60,77.40,71.60,,
78,Rhamondre Stevenson,NE,RB,76.40,78.90,111.60,,
79,DK Metcalf,PIT,WR,76.10,79.40,96.80,,
80,Tony Pollard,TEN,RB,74.80,80.60,128.80,,
81,Justin Herbert,LAC,QB,82.30,80.80,69.30,,
82,Caleb Williams,CHI,QB,71.80,82.80,52.40,,
83,Parker Washington,JAX,WR,64.60,83.20,92.80,,
84,Alec Pierce,IND,WR,81.80,84.50,87.20,PUP-P,Ankle
85,Rico Dowdle,PIT,RB,87.70,85.30,98.10,,
86,Michael Wilson,ARI,WR,95.50,86.30,76.90,,
87,Courtland Sutton,DEN,WR,83.30,87.00,109.60,,
88,Kyle Monangai,CHI,RB,95.80,88.60,83.70,,
T89,J.K. Dobbins,DEN,RB,98.40,89.20,116.90,,
T89,Dak Prescott,DAL,QB,79.90,89.20,112.60,,
91,Blake Corum,LAR,RB,90.70,91.00,97.40,,
92,Jonathon Brooks,CAR,RB,92.70,92.50,115.40,,
93,Jaxson Dart,NYG,QB,101.10,93.90,70.50,,
94,Chris Godwin,TB,WR,90.00,94.60,130.30,,
95,Dalton Kincaid,BUF,TE,126.50,95.10,84.40,,
96,George Kittle,SF,TE,113.70,96.80,105.20,PUP-P,Achilles
97,Trevor Lawrence,JAX,QB,85.60,97.00,89.70,,
98,Jordan Addison,MIN,WR,88.40,98.10,80.50,,
99,Michael Pittman,PIT,WR,99.30,98.20,98.70,,
100,Aaron Jones,MIN,RB,122.80,100.60,158.60,,
101,Jacory Croskey-Merritt,WAS,RB,118.60,101.50,119.20,,
102,Jakobi Meyers,JAX,WR,106.70,102.60,124.20,,
103,Quentin Johnston,LAC,WR,75.00,103.60,107.30,,
104,Wan'Dale Robinson,TEN,WR,112.10,104.50,85.60,,
105,Travis Kelce,KC,TE,121.00,105.70,141.60,,
106,Kenneth Gainwell,TB,RB,107.10,106.70,127.90,,
107,Patrick Mahomes,KC,QB,94.50,107.20,75.60,Ques,Knee - ACL
108,Jake Ferguson,DAL,TE,131.30,107.70,95.30,,
109,Jayden Reed,GB,WR,83.60,109.90,121.30,,
110,Brock Purdy,SF,QB,98.50,110.80,100.40,,
111,Jordan Mason,MIN,RB,111.30,111.40,134.40,,
112,Matthew Stafford,LAR,QB,105.90,112.90,136.70,,
113,KC Concepcion,CLE,WR,117.10,113.10,73.20,Ques,Shoulder
114,Bo Nix,DEN,QB,106.80,114.60,82.00,,
115,Rachaad White,WAS,RB,108.60,115.30,146.10,,
116,Oronde Gadsden,LAC,TE,150.10,116.10,86.70,,
