,,,,Redraft,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Yahoo,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
1,Jahmyr Gibbs,DET,RB,1.45,1.70,1.78,3.21,1.62,1.80,2.10,2.80,3.50,,63.70,Ques,Back
2,Bijan Robinson,ATL,RB,1.82,2.70,2.68,2.83,1.62,1.70,1.70,1.00,2.00,,62.01,,
3,Ja'Marr Chase,CIN,WR,3.16,3.40,4.62,3.96,3.21,3.20,4.30,4.80,1.50,26.40,57.84,,
4,Puka Nacua,LAR,WR,4.42,4.00,3.67,6.64,4.48,4.50,5.50,6.10,5.50,,58.83,,
5,Christian McCaffrey,SF,RB,5.45,5.60,6.35,17.10,6.62,5.60,7.80,8.90,26.00,28.08,53.01,,
6,Jaxon Smith-Njigba,SEA,WR,5.56,6.80,5.76,7.32,5.73,6.10,6.10,8.70,6.00,,54.77,,
7,Jonathan Taylor,IND,RB,7.71,7.00,8.19,14.37,8.41,7.10,8.90,3.00,16.00,17.75,50.57,,
8,CeeDee Lamb,DAL,WR,12.05,8.30,10.58,14.87,11.71,9.80,12.40,11.80,13.50,30.38,47.58,,
9,Amon-Ra St. Brown,DET,WR,7.98,8.40,8.21,11.05,7.62,8.70,11.60,10.90,8.50,19.61,51.58,,
10,Justin Jefferson,MIN,WR,11.84,10.70,12.00,14.67,12.72,12.20,15.00,7.10,12.00,27.38,46.34,,
11,James Cook,BUF,RB,10.82,11.00,13.45,18.74,11.58,9.90,14.70,5.40,19.50,19.26,42.58,,
12,De'Von Achane,MIA,RB,13.08,12.40,12.32,20.51,14.38,15.30,19.40,14.20,8.00,,45.36,,
13,Ashton Jeanty,LV,RB,9.89,13.50,17.61,14.33,10.72,13.30,17.40,15.90,7.50,,38.39,,
14,Saquon Barkley,PHI,RB,16.82,14.80,17.04,28.74,17.98,13.50,25.40,13.10,36.00,23.74,36.85,,
15,Drake London,ATL,WR,18.84,15.50,19.35,22.64,18.69,17.30,22.50,16.70,15.50,13.36,37.83,,
16,Omarion Hampton,LAC,RB,15.61,16.80,21.42,22.82,14.45,18.70,23.60,17.70,10.00,,36.28,,
17,Trey McBride,ARI,TE,24.16,17.30,18.83,17.47,22.75,23.80,18.00,19.80,24.00,17.77,35.58,,
18,Chase Brown,CIN,RB,14.35,17.70,26.27,29.61,15.63,16.80,26.60,26.90,22.00,,31.74,,
19,A.J. Brown,NE,WR,17.81,19.00,26.77,31.98,24.90,26.20,26.90,17.80,50.00,20.39,29.37,,
20,Kenneth Walker,KC,RB,18.42,20.80,25.92,30.98,19.65,19.30,24.00,12.20,31.50,14.72,30.21,,
21,Brock Bowers,LV,TE,16.24,21.30,23.45,16.61,22.35,20.20,21.90,23.20,23.50,,30.91,,
22,Derrick Henry,BAL,RB,21.87,22.80,20.79,33.88,23.63,18.90,33.50,21.50,48.00,26.34,33.79,,
23,George Pickens,DAL,WR,26.66,23.40,28.18,31.51,25.18,22.40,32.30,27.00,26.50,11.70,26.57,,
24,Josh Allen,BUF,QB,32.46,24.30,22.61,6.22,27.93,19.30,3.40,20.40,18.00,26.09,28.74,,
25,Jeremiyah Love,ARI,RB,30.07,25.10,18.85,5.29,24.82,26.90,31.40,22.60,4.00,37.07,38.48,,
26,Nico Collins,HOU,WR,23.31,26.10,27.75,34.98,24.79,21.30,29.30,25.30,32.00,21.49,28.20,,
