,,,,Redraft,,,Dynasty,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
1,Jahmyr Gibbs,DET,RB,1.12,1.90,-,2.10,,81.65,Ques,Back
2,Bijan Robinson,ATL,RB,1.20,2.30,-,1.60,,85.50,,
5,Ja'Marr Chase,CIN,WR,4.80,3.80,-,3.40,26.40,100.13,,
T3,Jonathan Taylor,IND,RB,3.40,4.30,-,16.20,17.75,81.53,,
T3,Christian McCaffrey,SF,RB,3.40,5.30,-,23.40,28.08,83.93,,
6,James Cook,BUF,RB,6.20,6.70,-,18.00,19.26,59.13,,
8,Puka Nacua,LAR,WR,8.20,7.60,-,4.10,,78.34,,
22,Derrick Henry,BAL,RB,23.60,8.10,-,53.50,26.34,80.50,,
9,Jaxon Smith-Njigba,SEA,WR,8.80,8.20,-,5.20,,58.89,,
10,De'Von Achane,MIA,RB,10.20,10.70,-,13.70,,56.75,,
15,Amon-Ra St. Brown,DET,WR,14.80,11.00,-,6.30,19.61,85.75,,
11,Ashton Jeanty,LV,RB,11.20,12.80,-,7.30,,39.27,,
27,Josh Allen,BUF,QB,29.60,13.70,-,8.80,26.09,98.51,,
13,Saquon Barkley,PHI,RB,13.40,14.50,-,32.60,23.74,93.58,,
14,CeeDee Lamb,DAL,WR,13.80,15.60,-,14.30,30.38,85.89,,
19,Justin Jefferson,MIN,WR,18.60,16.80,-,8.70,27.38,98.84,,
7,Kenneth Walker,KC,RB,6.80,17.20,-,26.20,14.72,49.77,,
23,Kyren Williams,LAR,RB,24.80,17.50,-,44.30,26.12,54.20,,
12,Omarion Hampton,LAC,RB,11.60,19.00,-,15.10,,22.47,,
16,Chase Brown,CIN,RB,16.20,20.30,-,30.30,,38.63,,
28,Jeremiyah Love,ARI,RB,29.86,21.70,3.29,12.00,37.07,18.32,,
40,Lamar Jackson,BAL,QB,41.20,22.40,-,34.20,26.35,84.00,,
21,Drake London,ATL,WR,19.60,23.40,-,20.40,13.36,51.11,,
24,Nico Collins,HOU,WR,26.20,24.90,-,25.30,21.49,51.53,,
18,Trey McBride,ARI,TE,18.40,25.00,-,17.00,17.77,42.46,,
30,George Pickens,DAL,WR,32.40,26.80,-,22.10,11.70,42.53,,
37,Josh Jacobs,GB,RB,38.16,26.90,-,52.40,19.65,68.68,,
