Team,QB,RB,WR,TE,K,DEF,DL,LB,DB
PHI,1.16,1.11,1.16,1.16,0.96,0.85,0.94,0.84,0.97
TEN,1.15,1.08,1.14,1.10,1.09,1.00,0.97,0.98,0.99
CLE,1.14,1.07,1.12,1.11,1.16,1.04,0.91,1.03,0.95
NYG,1.12,1.06,1.15,1.07,1.00,0.89,0.94,0.86,1.09
HOU,1.11,1.03,1.11,1.04,1.10,0.91,0.96,0.99,0.88
JAX,1.10,0.97,1.08,1.05,0.94,0.94,0.98,0.95,0.89
CIN,1.09,0.89,1.10,1.09,1.08,0.96,0.86,0.85,1.05
MIN,1.08,1.02,1.09,1.06,0.99,0.86,0.85,1.01,1.14
DAL,1.07,1.09,1.07,0.97,0.91,0.84,0.99,0.94,0.91
IND,1.06,1.05,1.00,1.03,0.90,1.07,1.04,1.00,0.84
SEA,1.05,1.12,1.04,0.98,1.06,0.97,1.12,1.11,0.90
LAR,1.04,1.16,0.98,0.89,1.07,0.94,1.14,1.15,0.85
NO,1.03,1.14,1.05,1.01,1.15,1.03,0.95,0.96,0.96
ATL,1.02,1.01,0.99,1.14,1.05,1.01,0.93,1.04,1.03
WAS,1.01,1.15,1.02,0.94,0.98,0.93,1.01,0.91,0.94
ARI,1.00,0.93,1.03,0.86,1.01,0.92,1.05,0.97,0.98
BAL,0.99,1.04,0.94,1.12,0.94,1.11,0.89,1.02,1.15
GB,0.98,0.94,1.01,0.85,0.93,0.99,1.02,0.94,1.16
DET,0.97,1.10,0.97,0.93,1.12,1.05,1.09,1.06,0.93
TB,0.96,0.99,1.06,0.91,1.14,0.95,0.88,0.89,1.06
CAR,0.95,0.88,0.93,1.02,1.02,0.90,0.90,0.90,1.04
LAC,0.94,0.96,0.92,0.95,0.88,1.12,1.06,1.10,1.10
SF,0.94,0.98,0.96,0.84,1.03,0.98,1.03,0.88,0.92
NE,0.93,0.90,0.91,0.88,0.95,1.02,1.15,1.05,1.01
DEN,0.92,0.95,0.94,0.99,0.86,1.15,1.10,1.07,1.00
MIA,0.91,1.00,0.89,0.92,1.11,1.10,1.08,1.16,1.02
PIT,0.90,0.94,0.85,1.15,0.89,1.06,0.84,0.92,1.12
CHI,0.89,0.91,0.90,0.90,0.85,0.88,0.92,0.93,1.08
KC,0.88,0.92,0.86,1.08,1.04,1.09,1.00,1.09,1.11
BUF,0.86,0.84,0.95,0.96,0.84,1.14,1.07,1.08,0.94
NYJ,0.85,0.85,0.88,0.94,0.92,1.16,1.16,1.12,0.86
LVR,0.84,0.86,0.84,1.00,0.97,1.08,1.11,1.14,1.07
