"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","26","1","2","1.2","0.4","+1"
"2",1,"Jaxon Smith-Njigba",SEA,"WR2","24","2","6","3.3","1.4","+3"
"3",1,"Bijan Robinson",ATL,"RB1","24","1","6","3.5","1.5","-2"
"4",1,"Puka Nacua",LAR,"WR3","25","2","7","4.0","1.4","0"
"5",1,"Jahmyr Gibbs",DET,"RB2","24","3","6","4.5","1.1","-2"
"6",2,"Amon-Ra St. Brown",DET,"WR4","26","4","10","6.8","2.0","+1"
"7",2,"Justin Jefferson",MIN,"WR5","27","4","13","7.6","2.4","+6"
"8",2,"Ashton Jeanty",LV,"RB3","22","8","13","9.5","1.4","+6"
"9",2,"Malik Nabers",NYG,"WR6","23","6","19","10.4","4.0","-1"
"10",2,"CeeDee Lamb",DAL,"WR7","27","7","27","10.4","4.3","+8"
"11",2,"Jeremiyah Love",ARI,"RB4","21","9","16","12.2","1.6","+5"
"12",2,"Drake London",ATL,"WR8","25","10","16","12.4","1.8","+9"
"13",3,"De'Von Achane",MIA,"RB5","24","10","22","15.1","3.1","+6"
"14",3,"Omarion Hampton",LAC,"RB6","23","10","22","15.1","3.5","+6"
"15",3,"Brock Bowers",LV,"TE1","23","6","23","16.8","5.8","-5"
"16",3,"Tetairoa McMillan",CAR,"WR9","23","14","30","17.6","4.3","+7"
"17",3,"James Cook III",BUF,"RB7","26","16","27","18.8","3.7","+8"
"18",3,"Nico Collins",HOU,"WR10","27","14","33","20.5","5.3","+10"
"19",3,"Jonathan Taylor",IND,"RB8","27","10","37","21.2","6.5","+3"
"20",3,"Emeka Egbuka",TB,"WR11","23","16","43","21.6","6.3","+10"
"21",3,"Josh Allen",BUF,"QB1","30","7","39","21.8","6.6","-15"
"22",4,"George Pickens",DAL,"WR12","25","15","43","24.0","6.8","+5"
"23",4,"Trey McBride",ARI,"TE2","26","9","44","24.5","8.1","-11"
"24",4,"Drake Maye",NE,"QB2","23","10","42","25.3","6.8","-15"
"25",4,"Kenneth Walker III",KC,"RB9","25","21","39","25.8","3.7","+13"
"26",4,"Chris Olave",NO,"WR13","26","20","38","27.5","4.5","+3"
"27",4,"Carnell Tate",TEN,"WR14","21","20","40","28.0","5.8","+13"
"28",4,"Garrett Wilson",NYJ,"WR15","26","22","40","30.3","5.4","+4"
"29",4,"Ladd McConkey",LAC,"WR16","24","25","47","32.0","5.6","+7"
"30",4,"Luther Burden III",CHI,"WR17","22","22","50","33.2","6.0","+15"
"31",4,"DeVonta Smith",PHI,"WR18","27","23","43","33.7","6.0","+36"
"32",4,"Breece Hall",NYJ,"RB10","25","22","52","34.6","8.8","+7"
"33",4,"Jayden Daniels",WAS,"QB3","25","21","54","34.6","9.5","-18"
"34",4,"Zay Flowers",BAL,"WR19","25","26","54","34.6","7.0","+24"
"35",4,"A.J. Brown",NE,"WR20","29","20","49","35.5","7.9","+16"
"36",4,"Colston Loveland",CHI,"TE3","22","15","48","36.2","10.9","-12"
"37",5,"Jordyn Tyson",NO,"WR21","21","22","67","37.7","8.5","+11"
"38",5,"Lamar Jackson",BAL,"QB4","29","20","67","38.2","10.7","-21"
"39",5,"Chase Brown",CIN,"RB11","26","24","50","39.1","6.4","-6"
"40",5,"Makai Lemon",PHI,"WR22","22","33","68","41.0","7.5","+19"
"41",5,"Tee Higgins",CIN,"WR23","27","32","62","43.8","8.4","+13"
"42",5,"Rashee Rice",KC,"WR24","26","22","82","44.0","15.2","0"
"43",5,"Tyler Warren",IND,"TE4","24","28","56","44.2","6.8","-12"
"44",5,"Jaylen Waddle",DEN,"WR25","27","33","59","44.6","7.8","+26"
"45",5,"Joe Burrow",CIN,"QB5","29","28","68","44.7","7.9","-34"
"46",5,"Caleb Williams",CHI,"QB6","24","16","96","46.0","16.5","+6"
"47",5,"Rome Odunze",CHI,"WR26","24","33","70","46.6","9.1","-1"
"48",5,"TreVeyon Henderson",NE,"RB12","23","38","68","48.0","9.4","-14"
"49",5,"Justin Herbert",LAC,"QB7","28","36","87","50.5","12.0","+4"
"50",6,"Patrick Mahomes II",KC,"QB8","30","20","90","52.0","13.5","-6"
"51",6,"Tucker Kraft",GB,"TE5","25","43","69","52.0","6.0","-2"
"52",6,"Quinshon Judkins",CLE,"RB13","22","32","77","52.5","11.0","-9"
"53",6,"Saquon Barkley",PHI,"RB14","29","34","65","52.9","9.5","-6"
"54",6,"Marvin Harrison Jr.",ARI,"WR27","24","39","72","53.2","10.4","-4"
"55",6,"Jalen Hurts",PHI,"QB9","28","28","78","55.2","9.8","-29"
"56",6,"Harold Fannin Jr.",CLE,"TE6","22","48","78","56.0","7.0","-19"
"57",6,"Jameson Williams",DET,"WR28","25","41","75","56.9","8.6","+5"
"58",6,"Christian McCaffrey",SF,"RB15","30","31","68","57.5","10.1","-23"
"59",6,"Trevor Lawrence",JAC,"QB10","26","51","90","58.4","10.0","+6"
"60",6,"Kyren Williams",LAR,"RB16","25","46","70","58.5","7.2","-3"
"61",6,"Brian Thomas Jr.",JAC,"WR29","23","38","74","59.3","10.7","-5"
"62",6,"Sam LaPorta",DET,"TE7","25","51","72","61.6","5.4","-1"
"63",6,"Travis Etienne Jr.",NO,"RB17","27","50","75","62.9","7.0","+3"
"64",6,"Kyle Pitts Sr.",ATL,"TE8","25","53","91","64.0","8.1","+5"
"65",6,"Christian Watson",GB,"WR30","27","44","84","65.8","10.9","+17"
"66",6,"Cam Skattebo",NYG,"RB18","24","52","81","66.8","6.4","+2"
