Rank,Player (Bye),POS,AVG,Real-Time
1,Bijan Robinson   ATL (11),RB1,1.0,2  -1
2,Ja'Marr Chase   CIN (6),WR1,2.0,3  -1
3,Jahmyr Gibbs   DET (6),RB2,3.0,1  +2
4,Puka Nacua   LAR (11),WR2,4.0,4
5,Jaxon Smith-Njigba   SEA (11),WR3,5.0,7  -2
6,Josh Allen   BUF (7),QB1,6.0,23  -17
7,Amon-Ra St. Brown   DET (6),WR4,7.0,9  -2
8,Malik Nabers   NYG (8),WR5,8.0,37  -29
9,Drake Maye   NE (11),QB2,9.0,51  -42
10,Brock Bowers   LV (13),TE1,10.0,20  -10
11,Joe Burrow   CIN (6),QB3,11.0,54  -43
12,Trey McBride   ARI (14),TE2,12.0,26  -14
13,Justin Jefferson   MIN (6),WR6,13.0,12  +1
14,Ashton Jeanty   LV (13),RB3,14.0,10  +4
15,Jayden Daniels   WAS (7),QB4,15.0,59  -44
16,Jeremiyah Love   ARI (14),RB4,16.0,25  -9
17,Lamar Jackson   BAL (13),QB5,17.0,39  -22
18,CeeDee Lamb   DAL (14),WR7,18.0,11  +7
19,De'Von Achane   MIA (6),RB5,19.0,14  +5
20,Omarion Hampton   LAC (7),RB6,20.0,15  +5
21,Drake London   ATL (11),WR8,21.0,17  +4
22,Jonathan Taylor   IND (13),RB7,22.0,6  +16
23,Tetairoa McMillan   CAR (5),WR9,23.0,40  -17
24,Colston Loveland   CHI (10),TE3,24.0,41  -17
25,James Cook III   BUF (7),RB8,25.0,8  +17
26,Jalen Hurts   PHI (10),QB6,26.0,63  -37
27,George Pickens   DAL (14),WR10,27.0,24  +3
28,Nico Collins   HOU (8),WR11,28.0,21  +7
29,Chris Olave   NO (8),WR12,29.0,33  -4
30,Emeka Egbuka   TB (10),WR13,30.0,42  -12
31,Tyler Warren   IND (13),TE4,31.0,53  -22
32,Garrett Wilson   NYJ (13),WR14,32.0,43  -11
33,Chase Brown   CIN (6),RB9,33.0,16  +17
34,TreVeyon Henderson   NE (11),RB10,34.0,55  -21
35,Christian McCaffrey   SF (8),RB11,35.0,5  +30
36,Ladd McConkey   LAC (7),WR15,36.0,44  -8
37,Harold Fannin Jr.   CLE (11),TE5,37.0,69  -32
38,Kenneth Walker III   KC (5),RB12,38.0,19  +19
39,Breece Hall   NYJ (13),RB13,39.0,31  +8
40,Carnell Tate   TEN (9),WR16,40.0,71  -31
41,Bucky Irving   TB (10),RB14,41.0,45  -4
42,Rashee Rice   KC (5),WR17,42.0,30  +12
43,Quinshon Judkins   CLE (11),RB15,43.0,48  -5
44,Patrick Mahomes II   KC (5),QB7,44.0,99  -55
45,Luther Burden III   CHI (10),WR18,45.0,56  -11
46,Rome Odunze   CHI (10),WR19,46.0,65  -19
47,Saquon Barkley   PHI (10),RB16,47.0,13  +34
48,Jordyn Tyson   NO (8),WR20,48.0,84  -36
