"RK","Player","Team","Position","Derek BrownDerek Brown on X
                                            
                                            07/28/26","Andrew EricksonAndrew Erickson on X
                                            
                                            07/28/26","Pat FitzmauricePat Fitzmaurice on X
                                            
                                            08/04/26"
"1","Bijan Robinson
                                            
                                            
                                                ","ATL ","RB","1","1","1"
"2","Jahmyr Gibbs
                                            
                                            
                                                ","DET ","RB","2","2","2"
"3","Ashton Jeanty
                                            
                                            
                                                ","LV ","RB","4","3","3"
"4","Jeremiyah Love
                                            
                                            
                                                ","ARI ","RB","3","4","4"
"5","Omarion Hampton
                                            
                                            
                                                ","LAC ","RB","6","5","5"
"6","De'Von Achane
                                            
                                            
                                                ","MIA ","RB","5","7","6"
"7","James Cook III
                                            
                                            
                                                ","BUF ","RB","7","6","7"
"8","Kenneth Walker III
                                            
                                            
                                                ","KC ","RB","8","9","9"
"9","Breece Hall
                                            
                                            
                                                ","NYJ ","RB","9","8","10"
"10","Jonathan Taylor
                                            
                                            
                                                ","IND ","RB","10","10","8"
"11","Chase Brown
                                            
                                            
                                                ","CIN ","RB","11","12","12"
"12","TreVeyon Henderson
                                            
                                            
                                                ","NE ","RB","20","13","11"
"13","Kyren Williams
                                            
                                            
                                                ","LAR ","RB","16","14","14"
"14","Javonte Williams
                                            
                                            
                                                ","DAL ","RB","12","11","22"
"15","Saquon Barkley
                                            
                                            
                                                ","PHI ","RB","13","17","16"
"16","Jadarian Price
                                            
                                            
                                                ","SEA ","RB","14","20","21"
"17","Quinshon Judkins
                                            
                                            
                                                ","CLE ","RB","22","18","15"
"18","Travis Etienne Jr.
                                            
                                            
                                                ","NO ","RB","21","15","19"
"19","Christian McCaffrey
                                            
                                            
                                                ","SF ","RB","18","19","18"
"20","Cam Skattebo
                                            
                                            
                                                ","NYG ","RB","23","16","17"
"21","Bucky Irving
                                            
                                            
                                                ","TB ","RB","24","23","13"
"22","Bhayshul Tuten
                                            
                                            
                                                ","JAC ","RB","19","21","20"
"23","Derrick Henry
                                            
                                            
                                                ","BAL ","RB","17","22","24"
"24","Josh Jacobs
                                            
                                            
                                                ","GB ","RB","15","28","23"
"25","D'Andre Swift
                                            
                                            
                                                ","CHI ","RB","26","25","25"
"26","Jaylen Warren
                                            
                                            
                                                ","PIT ","RB","25","29","31"
"27","David Montgomery
                                            
                                            
                                                ","HOU ","RB","30","26","30"
"28","Jonathon Brooks
                                            
                                            
                                                ","CAR ","RB","27","32","28"
"29","Blake Corum
                                            
                                            
                                                ","LAR ","RB","37","24","27"
"30","RJ Harvey
                                            
                                            
                                                ","DEN ","RB","28","27","33"
"31","Kyle Monangai
                                            
                                            
                                                ","CHI ","RB","34","34","26"
"32","Rhamondre Stevenson
                                            
                                            
                                                ","NE ","RB","29","30","37"
"33","Zach Charbonnet
                                            
                                            
                                                ","SEA ","RB","33","38","29"
"34","Jonah Coleman
                                            
                                            
                                                ","DEN ","RB","32","40","32"
"35","Rico Dowdle
                                            
                                            
                                                ","PIT ","RB","35","35","38"
"36","Kenny Gainwell
                                            
                                            
                                                ","TB ","RB","36","33","40"
"37","Chuba Hubbard
                                            
                                            
                                                ","CAR ","RB","44","36","34"
"38","Tony Pollard
                                            
                                            
                                                ","TEN ","RB","31","41","43"
"39","Rachaad White
                                            
                                            
                                                ","WAS ","RB","42","31","42"
"40","J.K. Dobbins
                                            
                                            
                                                ","DEN ","RB","39","37","41"
"41","Jacory Croskey-Merritt
                                            
                                            
                                                ","WAS ","RB","38","47","39"
"42","Emmett Johnson
                                            
                                            
                                                ","KC ","RB","43","48","35"
"43","Jordan Mason
                                            
                                            
                                                ","MIN ","RB","40","42","51"
"44","Tyler Allgeier
                                            
                                            
                                                ","ARI ","RB","52","39","45"
"45","Dylan Sampson
                                            
                                            
                                                ","CLE ","RB","57","43","44"
"46","Nicholas Singleton
                                            
                                            
                                                ","TEN ","RB","63","46","36"
"47","Tyrone Tracy Jr.
                                            
                                            
                                                ","NYG ","RB","55","45","47"
"48","Keaton Mitchell
                                            
                                            
                                                ","LAC ","RB","50","44","57"
"49","Woody Marks
                                            
                                            
                                                ","HOU ","RB","48","52","52"
"50","Tank Bigsby
                                            
                                            
                                                ","PHI ","RB","46","50","58"
"51","Mike Washington Jr.
                                            
                                            
                                                ","LV ","RB","41","66","50"
"52","Aaron Jones Sr.
                                            
                                            
                                                ","MIN ","RB","56","49","59"
"53","Chris Rodriguez Jr.
                                            
                                            
                                                ","JAC ","RB","51","59","54"
"54","Kaytron Allen
                                            
                                            
                                                ","WAS ","RB","59","61","49"
"55","Alvin Kamara
                                            
                                            
                                                ","NO ","RB","45","58","67"
"56","MarShawn Lloyd
                                            
                                            
                                                ","GB ","RB","54","57","65"
"57","Kimani Vidal
                                            
                                            
                                                ","LAC ","RB","58","65","56"
"58","Kaelon Black
                                            
                                            
                                                ","SF ","RB","53","74","55"
"59","Tyjae Spears
                                            
                                            
                                                ","TEN ","RB","66","64","53"
"60","Braelon Allen
                                            
                                            
                                                ","NYJ ","RB","76","63","48"
"61","Kaleb Johnson
                                            
                                            
                                                ","PIT ","RB","60","67","60"
"62","Brian Robinson Jr.
                                            
                                            
                                                ","ATL ","RB","62","55","71"
"63","Demond Claiborne
                                            
                                            
                                                ","MIN ","RB","81","62","46"
"64","Jaylen Wright
                                            
                                            
                                                ","MIA ","RB","47","83","61"
"65","Isiah Pacheco
                                            
                                            
                                                ","DET ","RB","64","54","74"
"66","Ray Davis
                                            
                                            
                                                ","BUF ","RB","77","53","64"
"67","James Conner
                                            
                                            
                                                ","ARI ","RB","49","69","83"
"68","Sean Tucker
                                            
                                            
                                                ","TB ","RB","74","56","73"
"69","Emanuel Wilson
                                            
                                            
                                                ","SEA ","RB","73","60","70"
"70","Ollie Gordon II
                                            
                                            
                                                ","MIA ","RB","67","81","62"
"71","Isaiah Davis
                                            
                                            
                                                ","NYJ ","RB","71","76","63"
"72","Chris Brooks
                                            
                                            
                                                ","GB ","RB","65","77","69"
"73","Eli Heidenreich
                                            
                                            
                                                ","PIT ","RB","70","73","68"
"74","Trey Benson
                                            
                                            
                                                ","ARI ","RB","69","75","75"
"75","Jarquez Hunter
                                            
                                            
                                                ","LAR ","RB","61","85","78"
"76","Jaydon Blue
                                            
                                            
                                                ","DAL ","RB","75","72","79"
"77","Adam Randall
                                            
                                            
                                                ","BAL ","RB","84","71","72"
"78","DJ Giddens
                                            
                                            
                                                ","IND ","RB","83","68","81"
"79","Devin Neal
                                            
                                            
                                                ","NO ","RB","78","78","76"
"80","Seth McGowan
                                            
                                            
                                                ","IND ","RB","68","89","80"
"81","Jordan James
                                            
                                            
                                                ","SF ","RB","-","51","66"
"82","Najee Harris
                                            
                                            
                                                ","LAC ","RB","79","70","94"
"83","LeQuint Allen Jr.
                                            
                                            
                                                ","JAC ","RB","87","86","77"
"84","Kendre Miller
                                            
                                            
                                                ","NO ","RB","88","84","84"
"85","Brashard Smith
                                            
                                            
                                                ","KC ","RB","86","87","85"
"86","Tahj Brooks
                                            
                                            
                                                ","CIN ","RB","80","98","88"
"87","Isaac Guerendo
                                            
                                            
                                                ","SF ","RB","82","93","91"
"88","Emari Demercado
                                            
                                            
                                                ","KC ","RB","89","92","87"
"89","Will Shipley
                                            
                                            
                                                ","PHI ","RB","72","112","89"
"90","Justice Hill
                                            
                                            
                                                ","BAL ","RB","99","79","95"
"91","Trevor Etienne
                                            
                                            
                                                ","CAR ","RB","96","97","86"
"92","Ty Johnson
                                            
                                            
                                                ","BUF ","RB","85","99","96"
"93","Samaje Perine
                                            
                                            
                                                ","CIN ","RB","102","80","103"
"94","George Holani
                                            
                                            
                                                ","SEA ","RB","-","82","82"
"95","Jerome Ford
                                            
                                            
                                                ","WAS ","RB","97","91","101"
"96","Robert Henry Jr.
                                            
                                            
                                                ","WAS ","RB","92","100","98"
"97","Audric Estime
                                            
                                            
                                                ","NO ","RB","95","101","99"
"98","Roman Hemby
                                            
                                            
                                                ","LV ","RB","-","96","90"
"99","Jaydn Ott
                                            
                                            
                                                ","KC ","RB","93","105","110"
"100","Jam Miller
                                            
                                            
                                                ","NE ","RB","-","94","93"
"101","Raheim Sanders
                                            
                                            
                                                ","CLE ","RB","94","115","100"
"102","Devin Singletary
                                            
                                            
                                                ","NYG ","RB","98","107","107"
"103","J'Mari Taylor
                                            
                                            
                                                ","JAC ","RB","-","95","97"
"104","Jaleel McLaughlin
                                            
                                            
                                                ","DEN ","RB","-","102","92"
"105","Bam Knight
                                            
                                            
                                                ","ARI ","RB","-","90","112"
"106","Terion Stewart
                                            
                                            
                                                ","KC ","RB","91","-","111"
"107","Kareem Hunt
                                            
                                            
                                                ","FA ","RB","-","88","-"
"108","Tyler Badie
                                            
                                            
                                                ","DEN ","RB","-","103","108"
"109","Dean Connors
                                            
                                            
                                                ","LAR ","RB","90","-","-"
"110","Roschon Johnson
                                            
                                            
                                                ","CHI ","RB","100","117","117"
"111","Raheem Mostert
                                            
                                            
                                                ","LV ","RB","101","125","119"
"112","Damien Martinez
                                            
                                            
                                                ","GB ","RB","-","119","102"
"113","Desmond Reid
                                            
                                            
                                                ","FA ","RB","-","104","-"
"114","Chip Trayanum
                                            
                                            
                                                ","NYJ ","RB","-","-","104"
"115","Noah Whittington
                                            
                                            
                                                ","HOU ","RB","-","-","105"
"116","Jeremy McNichols
                                            
                                            
                                                ","WAS ","RB","-","114","113"
"117","Joe Mixon
                                            
                                            
                                                ","FA ","RB","-","106","-"
"118","Jawhar Jordan
                                            
                                            
                                                ","HOU ","RB","-","167","106"
"119","Nick Chubb
                                            
                                            
                                                ","FA ","RB","-","108","-"
"120","Austin Ekeler
                                            
                                            
                                                ","FA ","RB","-","109","-"
"121","Dylan Laube
                                            
                                            
                                                ","LV ","RB","-","134","109"
"122","Antonio Gibson
                                            
                                            
                                                ","FA ","RB","-","110","-"
"123","Michael Carter
                                            
                                            
                                                ","TEN ","RB","-","116","116"
"124","CJ Donaldson
                                            
                                            
                                                ","NO ","RB","-","111","-"
"125","Ameer Abdullah
                                            
                                            
                                                ","JAC ","RB","-","113","-"
"126","Dameon Pierce
                                            
                                            
                                                ","PHI ","RB","-","121","114"
"127","Phil Mafah
                                            
                                            
                                                ","DAL ","RB","-","118","118"
"128","Rasheen Ali
                                            
                                            
                                                ","BAL ","RB","-","130","115"
"129","Hassan Haskins
                                            
                                            
                                                ","LAC ","RB","-","120","-"
"130","Evan Hull
                                            
                                            
                                                ","ARI ","RB","-","147","120"
"131","Kalel Mullings
                                            
                                            
                                                ","TEN ","RB","-","-","121"
"132","Miles Sanders
                                            
                                            
                                                ","FA ","RB","-","122","-"
"133","AJ Dillon
                                            
                                            
                                                ","CAR ","RB","-","123","-"
"134","Zamir White
                                            
                                            
                                                ","LV ","RB","-","124","-"
"135","Cam Akers
                                            
                                            
                                                ","FA ","RB","-","126","-"
"136","Khalil Herbert
                                            
                                            
                                                ","SF ","RB","-","127","-"
"137","Patrick Taylor Jr.
                                            
                                            
                                                ","SF ","RB","-","128","-"
"138","Alexander Mattison
                                            
                                            
                                                ","FA ","RB","-","129","-"
"139","Elijah Mitchell
                                            
                                            
                                                ","PHI ","RB","-","131","-"
"140","Zack Moss
                                            
                                            
                                                ","FA ","RB","-","132","-"
"141","Ty Chandler
                                            
                                            
                                                ","NO ","RB","-","133","-"
"142","Julius Chestnut
                                            
                                            
                                                ","TEN ","RB","-","135","-"
"143","Sione Vaki
                                            
                                            
                                                ","DET ","RB","-","136","-"
"144","Eric Gray
                                            
                                            
                                                ","NYG ","RB","-","137","-"
"145","Craig Reynolds
                                            
                                            
                                                ","FA ","RB","-","138","-"
"146","Kenny McIntosh
                                            
                                            
                                                ","FA ","RB","-","139","-"
"147","Dare Ogunbowale
                                            
                                            
                                                ","FA ","RB","-","140","-"
"148","Tyler Goodson
                                            
                                            
                                                ","ATL ","RB","-","141","-"
"149","Keaontay Ingram
                                            
                                            
                                                ","FA ","RB","-","142","-"
"150","Salvon Ahmed
                                            
                                            
                                                ","CHI ","RB","-","143","-"
"151","Travis Homer
                                            
                                            
                                                ","PIT ","RB","-","144","-"
"152","Kene Nwangwu
                                            
                                            
                                                ","NYJ ","RB","-","145","-"
"153","Deneric Prince
                                            
                                            
                                                ","FA ","RB","-","146","-"
"154","Malik Davis
                                            
                                            
                                                ","DAL ","RB","-","148","-"
"155","Sincere McCormick
                                            
                                            
                                                ","SF ","RB","-","149","-"
"156","Marcus Yarns
                                            
                                            
                                                ","FA ","RB","-","150","-"
"157","Gus Edwards
                                            
                                            
                                                ","FA ","RB","-","151","-"
"158","Carson Steele
                                            
                                            
                                                ","PHI ","RB","-","152","-"
"159","Kendall Milton
                                            
                                            
                                                ","CIN ","RB","-","153","-"
"160","Trey Sermon
                                            
                                            
                                                ","FA ","RB","-","154","-"
"161","Clyde Edwards-Helaire
                                            
                                            
                                                ","FA ","RB","-","155","-"
"162","Darrynton Evans
                                            
                                            
                                                ","FA ","RB","-","156","-"
"163","Cordarrelle Patterson
                                            
                                            
                                                ","FA ","RB","-","157","-"
"164","Blake Watson
                                            
                                            
                                                ","FA ","RB","-","158","-"
"165","DeeJay Dallas
                                            
                                            
                                                ","JAC ","RB","-","159","-"
"166","Cody Schrader
                                            
                                            
                                                ","DEN ","RB","-","160","-"
"167","Deuce Vaughn
                                            
                                            
                                                ","FA ","RB","-","161","-"
"168","Pierre Strong Jr.
                                            
                                            
                                                ","GB ","RB","-","162","-"
"169","Ronnie Rivers
                                            
                                            
                                                ","LAR ","RB","-","163","-"
"170","Keilan Robinson
                                            
                                            
                                                ","FA ","RB","-","164","-"
"171","Jaret Patterson
                                            
                                            
                                                ","LAC ","RB","-","165","-"
"172","Frank Gore Jr.
                                            
                                            
                                                ","BUF ","RB","-","166","-"
"173","Gary Brightwell
                                            
                                            
                                                ","CIN ","RB","-","168","-"
"174","Trayveon Williams
                                            
                                            
                                                ","FA ","RB","-","169","-"
"175","Jashaun Corbin
                                            
                                            
                                                ","FA ","RB","-","170","-"
"176","Nyheim Miller-Hines
                                            
                                            
                                                ","FA ","RB","-","171","-"
"177","Jermar Jefferson
                                            
                                            
                                                ","FA ","RB","-","172","-"
"178","Israel Abanikanda
                                            
                                            
                                                ","DAL ","RB","-","173","-"
"179","Michael Wiley
                                            
                                            
                                                ","FA ","RB","-","174","-"
"180","Lew Nichols III
                                            
                                            
                                                ","PIT ","RB","-","175","-"
"181","D'Ernest Johnson
                                            
                                            
                                                ","FA ","RB","-","176","-"
"182","Jeff Wilson Jr.
                                            
                                            
                                                ","FA ","RB","-","177","-"
"183","JaMycal Hasty
                                            
                                            
                                                ","FA ","RB","-","178","-"
"184","Chase Edmonds
                                            
                                            
                                                ","WAS ","RB","-","179","-"
""
""
