"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"ARI","@ LAC","vs SEA","@ SF","@ NYG","vs DET","@ LAR","vs DEN","@ DAL","@ SEA","vs LAR","@ KC","vs WAS","vs PHI","BYE","vs NYJ","@ NO","vs LV","vs SF"
"ATL","@ PIT","vs CAR","@ GB","@ NO","vs BAL","vs CHI","vs SF","@ TB","vs CIN","vs KC","BYE","@ MIN","vs DET","@ CLE","@ WAS","vs TB","vs NO","@ CAR"
"BAL","@ IND","vs NO","@ DAL","vs TEN","@ ATL","@ CLE","vs CIN","@ BUF","vs JAC","vs LAC","@ CAR","@ HOU","BYE","vs TB","@ PIT","vs CLE","@ CIN","vs PIT"
"BUF","@ HOU","vs DET","vs LAC","vs NE","@ LAR","@ LV","BYE","vs BAL","@ MIN","@ NYJ","vs MIA","vs KC","@ NE","@ GB","vs CHI","@ DEN","@ MIA","vs NYJ"
"CAR","vs CHI","@ ATL","@ CLE","vs DET","BYE","@ PHI","vs TB","@ GB","vs DEN","@ NO","vs BAL","@ TB","@ MIN","vs NO","vs CIN","@ PIT","vs SEA","vs ATL"
"CHI","@ CAR","vs MIN","vs PHI","vs NYJ","@ GB","@ ATL","vs NE","@ SEA","vs TB","BYE","vs NO","@ DET","vs JAC","@ MIA","@ BUF","vs GB","vs DET","@ MIN"
"CIN","vs TB","@ HOU","@ PIT","vs JAC","@ MIA","BYE","@ BAL","vs TEN","@ ATL","vs PIT","@ WAS","vs NO","@ CLE","vs KC","@ CAR","@ IND","vs BAL","vs CLE"
"CLE","@ JAC","@ TB","vs CAR","vs PIT","@ NYJ","vs BAL","@ TEN","@ PIT","@ NO","vs HOU","BYE","vs LV","vs CIN","vs ATL","@ NYG","@ BAL","vs IND","@ CIN"
"DAL","@ NYG","vs WAS","vs BAL","@ HOU","vs TB","@ GB","@ PHI","vs ARI","@ IND","vs SF","vs TEN","vs PHI","@ SEA","BYE","@ LAR","vs JAC","vs NYG","@ WAS"
"DEN","@ KC","vs JAC","vs LAR","@ SF","@ LAC","vs SEA","@ ARI","vs KC","@ CAR","BYE","vs LV","@ PIT","vs MIA","@ NYJ","@ LV","vs BUF","@ NE","vs LAC"
"DET","vs NO","@ BUF","vs NYJ","@ CAR","@ ARI","BYE","vs GB","vs MIN","@ MIA","vs NE","vs TB","vs CHI","@ ATL","vs TEN","@ MIN","vs NYG","@ CHI","@ GB"
"GB","@ MIN","@ NYJ","vs ATL","@ TB","vs CHI","vs DAL","@ DET","vs CAR","@ NE","vs MIN","BYE","@ LAR","@ NO","vs BUF","vs MIA","@ CHI","vs HOU","vs DET"
"HOU","vs BUF","vs CIN","@ IND","vs DAL","@ TEN","@ JAC","vs NYG","BYE","@ LAC","@ CLE","vs IND","vs BAL","@ PIT","@ WAS","vs JAC","@ PHI","@ GB","vs TEN"
"IND","vs BAL","@ KC","vs HOU","@ WAS","@ PIT","vs TEN","@ MIN","@ JAC","vs DAL","vs MIA","@ HOU","vs NYG","BYE","@ PHI","@ TEN","vs CIN","@ CLE","vs JAC"
