"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","OVERALL ","UPSIDE ","BUST ","ECR VS. ADP"
"1",1,"Jeremiyah Love",ARI,"RB1","21","5 out of 5","5 out of 5","4 out of 5","0"
"2",1,"Carnell Tate",TEN,"WR1","21","5 out of 5","4 out of 5","3 out of 5","0"
"3",1,"Jordyn Tyson",NO,"WR2","21","4 out of 5","4 out of 5","4 out of 5","0"
"4",1,"Makai Lemon",PHI,"WR3","22","4 out of 5","4 out of 5","4 out of 5","+1"
"5",2,"KC Concepcion",CLE,"WR4","21","4 out of 5","4 out of 5","4 out of 5","+1"
"6",2,"Jadarian Price",SEA,"RB2","22","4 out of 5","4 out of 5","4 out of 5","-2"
"7",2,"Kenyon Sadiq",NYJ,"TE1","21","3 out of 5","4 out of 5","4 out of 5","+2"
"8",2,"Omar Cooper Jr.",NYJ,"WR5","22","4 out of 5","4 out of 5","4 out of 5","-1"
"9",3,"Fernando Mendoza",LV,"QB1","22","4 out of 5","4 out of 5","4 out of 5","+1"
"10",3,"Eli Stowers",PHI,"TE2","23","4 out of 5","4 out of 5","4 out of 5","+10"
"11",3,"Denzel Boston",CLE,"WR6","22","4 out of 5","4 out of 5","4 out of 5","-3"
"12",3,"Jonah Coleman",DEN,"RB3","22","4 out of 5","3 out of 5","4 out of 5","-1"
"13",3,"Antonio Williams",WAS,"WR7","22","4 out of 5","4 out of 5","4 out of 5","-1"
"14",3,"Chris Bell",MIA,"WR8","22","4 out of 5","4 out of 5","3 out of 5","+7"
"15",3,"Nicholas Singleton",TEN,"RB4","22","2 out of 5","3 out of 5","4 out of 5","+3"
"16",4,"Germie Bernard",PIT,"WR9","22","3 out of 5","3 out of 5","4 out of 5","0"
"17",4,"Emmett Johnson",KC,"RB5","22","4 out of 5","3 out of 5","4 out of 5","-3"
"18",4,"De'Zhaun Stribling",SF,"WR10","23","3 out of 5","3 out of 5","4 out of 5","-5"
"19",4,"Elijah Sarratt",BAL,"WR11","23","4 out of 5","3 out of 5","4 out of 5","+6"
"20",4,"Chris Brazzell II",CAR,"WR12","22","3 out of 5","3 out of 5","4 out of 5","+20"
"21",4,"Kaytron Allen",WAS,"RB6","23","3 out of 5","2 out of 5","4 out of 5","-2"
"22",4,"Ted Hurst III",TB,"WR13","22","4 out of 5","4 out of 5","4 out of 5","0"
"23",4,"Ty Simpson",LAR,"QB2","23","4 out of 5","3 out of 5","4 out of 5","+6"
"24",4,"Malachi Fields",NYG,"WR14","22","3 out of 5","3 out of 5","4 out of 5","-1"
"25",5,"Zachariah Branch",ATL,"WR15","22","3 out of 5","3 out of 5","4 out of 5","-8"
"26",5,"Oscar Delp",NO,"TE3","23","4 out of 5","4 out of 5","4 out of 5","+12"
"27",5,"Demond Claiborne",MIN,"RB7","22","3 out of 5","2 out of 5","4 out of 5","-1"
"28",5,"Mike Washington Jr.",LV,"RB8","23","4 out of 5","4 out of 5","4 out of 5","-13"
"29",5,"Eli Raridon",NE,"TE4","22","4 out of 5","4 out of 5","4 out of 5","+6"
"30",5,"Kaelon Black",SF,"RB9","24","3 out of 5","3 out of 5","4 out of 5","-6"
"31",5,"Ja'Kobi Lane",BAL,"WR16","22","4 out of 5","3 out of 5","4 out of 5","-4"
"32",5,"Skyler Bell",BUF,"WR17","24","4 out of 5","3 out of 5","4 out of 5","-4"
"33",5,"Max Klare",LAR,"TE5","23","4 out of 5","3 out of 5","4 out of 5","+3"
"34",5,"Adam Randall",BAL,"RB10","22","3 out of 5","3 out of 5","4 out of 5","-3"
"35",5,"Bryce Lance",NO,"WR18","23","4 out of 5","3 out of 5","4 out of 5","-3"
"36",5,"Carson Beck",ARI,"QB3","23","3 out of 5","2 out of 5","4 out of 5","-6"
"37",6,"Eli Heidenreich",PIT,"RB11","23","3 out of 5","2 out of 5","4 out of 5","+2"
"38",6,"Seth McGowan",IND,"RB12","24","3 out of 5","3 out of 5","4 out of 5","+8"
"39",6,"Kevin Coleman Jr.",MIA,"WR19","22","-","-","-","+4"
"40",6,"Justin Joly",DEN,"TE6","22","3 out of 5","3 out of 5","4 out of 5","+4"
"41",6,"Brenen Thompson",LAC,"WR20","23","3 out of 5","3 out of 5","4 out of 5","-8"
"42",6,"Drew Allar",PIT,"QB4","22","2 out of 5","2 out of 5","4 out of 5","+7"
"43",6,"Cole Payton",PHI,"QB5","23","4 out of 5","3 out of 5","4 out of 5","+14"
"44",6,"Cade Klubnik",NYJ,"QB6","22","3 out of 5","3 out of 5","4 out of 5","+1"
"45",6,"Jam Miller",NE,"RB13","22","2 out of 5","2 out of 5","4 out of 5","+3"
"46",6,"Marlin Klein",HOU,"TE7","23","3 out of 5","3 out of 5","4 out of 5","+20"
"47",6,"J'Mari Taylor",JAC,"RB14","24","2 out of 5","2 out of 5","4 out of 5","-5"
"48",6,"Caleb Douglas",MIA,"WR21","22","3 out of 5","3 out of 5","4 out of 5","-11"
"49",6,"Sam Roush",CHI,"TE8","22","2 out of 5","3 out of 5","4 out of 5","+10"
"50",6,"Taylen Green",CLE,"QB7","23","3 out of 5","3 out of 5","4 out of 5","+5"
"51",7,"Jaydn Ott",KC,"RB15","23","2 out of 5","2 out of 5","4 out of 5","+12"
"52",7,"Garrett Nussmeier",KC,"QB8","24","2 out of 5","1 out of 5","5 out of 5","-1"
"53",7,"Tanner Koziol",JAC,"TE9","22","3 out of 5","2 out of 5","4 out of 5","+9"
"54",7,"Zavion Thomas",CHI,"WR22","22","2 out of 5","2 out of 5","4 out of 5","-13"
"55",7,"Cyrus Allen",KC,"WR23","23","3 out of 5","3 out of 5","4 out of 5","-21"
"56",7,"Roman Hemby",LV,"RB16","23","1 out of 5","1 out of 5","5 out of 5","+9"
"57",7,"Deion Burks",IND,"WR24","23","3 out of 5","2 out of 5","4 out of 5","-3"
"58",7,"Robert Henry Jr.",WAS,"RB17","24","2 out of 5","1 out of 5","4 out of 5","+2"
"59",7,"CJ Daniels",LAR,"WR25","24","3 out of 5","2 out of 5","4 out of 5","-12"
"60",7,"Reggie Virgil",ARI,"WR26","22","3 out of 5","2 out of 5","4 out of 5","+23"
"61",7,"Barion Brown",NO,"WR27","22","3 out of 5","2 out of 5","4 out of 5","+15"
"62",7,"Malik Benson",LV,"WR28","23","3 out of 5","2 out of 5","4 out of 5","-10"
"63",7,"Nate Boerkircher",JAC,"TE10","24","2 out of 5","2 out of 5","4 out of 5","+1"
"64",8,"Dean Connors",LAR,"RB18","22","3 out of 5","2 out of 5","4 out of 5","+30"
"65",8,"Jack Endries",CIN,"TE11","22","2 out of 5","2 out of 5","4 out of 5","-9"
"66",8,"Noah Whittington",HOU,"RB19","24","1 out of 5","1 out of 5","5 out of 5","+20"
"67",8,"Colbie Young",CIN,"WR29","24","3 out of 5","2 out of 5","4 out of 5","-17"
"68",8,"Josh Cameron",JAC,"WR30","23","2 out of 5","2 out of 5","4 out of 5","+5"
"69",8,"Jeff Caldwell",KC,"WR31","23","3 out of 5","3 out of 5","4 out of 5","-8"
"70",8,"Desmond Reid",FA,"RB20","22","1 out of 5","1 out of 5","4 out of 5","+15"
"71",8,"Kendrick Law",DET,"WR32","23","2 out of 5","2 out of 5","4 out of 5","+18"
"72",8,"Matt Hibner",BAL,"TE12","24","3 out of 5","3 out of 5","4 out of 5","-1"
"73",8,"Terion Stewart",KC,"RB21","24","2 out of 5","2 out of 5","4 out of 5","+9"
"74",8,"Michael Trigg",DAL,"TE13","24","2 out of 5","2 out of 5","5 out of 5","-21"
"75",8,"Eric Rivers Jr.",TB,"WR33","23","2 out of 5","2 out of 5","4 out of 5","+22"
"76",8,"Lewis Bond",HOU,"WR34","23","2 out of 5","2 out of 5","5 out of 5","-9"
"77",8,"CJ Donaldson",NO,"RB22","22","1 out of 5","1 out of 5","5 out of 5","+18"
"78",8,"Chip Trayanum",NYJ,"RB23","24","1 out of 5","1 out of 5","5 out of 5","+15"
"79",8,"Joe Royer",CLE,"TE14","24","2 out of 5","2 out of 5","4 out of 5","-9"
"80",8,"Jamal Haynes",CIN,"RB24","23","1 out of 5","1 out of 5","5 out of 5","+32"
"81",8,"Aaron Anderson",FA,"WR35","23","2 out of 5","2 out of 5","4 out of 5","+6"
"82",8,"Tyren Montgomery",TEN,"WR36","-","2 out of 5","2 out of 5","4 out of 5","-5"
"83",8,"Eric McAlister",FA,"WR37","-","2 out of 5","3 out of 5","4 out of 5","-14"
"84",8,"Brendan Sorsby",FA,"QB9","22","3 out of 5","3 out of 5","4 out of 5","-"
"85",8,"Kaden Wetjen",PIT,"WR38","24","3 out of 5","2 out of 5","4 out of 5","-10"
"86",9,"John Michael Gyllenborg",KC,"TE15","24","2 out of 5","2 out of 5","4 out of 5","-12"
"87",9,"Josh Cuevas",BAL,"TE16","22","2 out of 5","1 out of 5","4 out of 5","-"
"88",9,"Dane Key",DEN,"WR39","23","2 out of 5","2 out of 5","4 out of 5","+21"
"89",9,"Rahsul Faison",FA,"RB25","-","2 out of 5","2 out of 5","4 out of 5","+7"
"90",9,"Diego Pavia",FA,"QB10","24","1 out of 5","1 out of 5","5 out of 5","-11"
"91",9,"J. Michael Sturdivant",GB,"WR40","23","2 out of 5","2 out of 5","4 out of 5","-19"
"92",9,"Trebor Pena",JAC,"WR41","24","2 out of 5","2 out of 5","4 out of 5","+29"
"93",9,"Haynes King",CAR,"QB11","25","3 out of 5","2 out of 5","4 out of 5","+14"
"94",9,"Riley Nowakowski",PIT,"TE17","24","4 out of 5","2 out of 5","4 out of 5","+33"
"95",9,"Dallen Bentley",DEN,"TE18","25","1 out of 5","1 out of 5","5 out of 5","-5"
"96",9,"Dae'Quan Wright",PHI,"TE19","22","2 out of 5","2 out of 5","4 out of 5","-5"
"97",9,"TJ Harden",FA,"RB26","22","4 out of 5","2 out of 5","2 out of 5","-"
"98",9,"Will Kacmarek",MIA,"TE20","23","2 out of 5","2 out of 5","5 out of 5","-40"
"99",9,"Noah Thomas",CIN,"WR42","22","1 out of 5","1 out of 5","4 out of 5","+6"
"100",9,"Max Bredeson",MIN,"RB27","23","1 out of 5","1 out of 5","4 out of 5","+10"
"101",9,"Harrison Wallace III",ARI,"WR43","23","1 out of 5","1 out of 5","5 out of 5","+12"
"102",9,"Chase Roberts",LV,"WR44","25","2 out of 5","2 out of 5","4 out of 5","-18"
