"RK","Player","Team","Position","Derek BrownDerek Brown on X
                                            
                                            07/31/26","Andrew EricksonAndrew Erickson on X
                                            
                                            07/29/26","Pat FitzmauricePat Fitzmaurice on X
                                            
                                            08/04/26"
"1","Jeremiyah Love
                                            
                                            
                                                ","ARI ","RB","1","1","1"
"2","Carnell Tate
                                            
                                            
                                                ","TEN ","WR","2","2","2"
"3","Jordyn Tyson
                                            
                                            
                                                ","NO ","WR","4","3","4"
"4","KC Concepcion
                                            
                                            
                                                ","CLE ","WR","3","4","5"
"5","Makai Lemon
                                            
                                            
                                                ","PHI ","WR","5","5","3"
"6","Jadarian Price
                                            
                                            
                                                ","SEA ","RB","6","6","6"
"7","Eli Stowers
                                            
                                            
                                                ","PHI ","TE","8","7","8"
"8","Omar Cooper Jr.
                                            
                                            
                                                ","NYJ ","WR","9","9","7"
"9","Denzel Boston
                                            
                                            
                                                ","CLE ","WR","7","10","10"
"10","Kenyon Sadiq
                                            
                                            
                                                ","NYJ ","TE","10","8","9"
"11","Fernando Mendoza
                                            
                                            
                                                ","LV ","QB","11","13","13"
"12","Antonio Williams
                                            
                                            
                                                ","WAS ","WR","23","11","12"
"13","Chris Bell
                                            
                                            
                                                ","MIA ","WR","15","12","20"
"14","Jonah Coleman
                                            
                                            
                                                ","DEN ","RB","17","15","15"
"15","Germie Bernard
                                            
                                            
                                                ","PIT ","WR","27","14","11"
"16","Ted Hurst III
                                            
                                            
                                                ","TB ","WR","12","18","22"
"17","De'Zhaun Stribling
                                            
                                            
                                                ","SF ","WR","16","19","19"
"18","Elijah Sarratt
                                            
                                            
                                                ","BAL ","WR","24","17","17"
"19","Malachi Fields
                                            
                                            
                                                ","NYG ","WR","29","21","18"
"20","Emmett Johnson
                                            
                                            
                                                ","KC ","RB","31","24","14"
"21","Nicholas Singleton
                                            
                                            
                                                ","TEN ","RB","37","16","16"
"22","Oscar Delp
                                            
                                            
                                                ","NO ","TE","18","20","32"
"23","Skyler Bell
                                            
                                            
                                                ","BUF ","WR","20","35","21"
"24","Ty Simpson
                                            
                                            
                                                ","LAR ","QB","21","23","33"
"25","Chris Brazzell II
                                            
                                            
                                                ","CAR ","WR","13","25","43"
"26","Eli Raridon
                                            
                                            
                                                ","NE ","TE","19","27","35"
"27","Bryce Lance
                                            
                                            
                                                ","NO ","WR","14","41","27"
"28","Max Klare
                                            
                                            
                                                ","LAR ","TE","25","28","30"
"29","Zachariah Branch
                                            
                                            
                                                ","ATL ","WR","35","26","24"
"30","Kaytron Allen
                                            
                                            
                                                ","WAS ","RB","34","29","26"
"31","Mike Washington Jr.
                                            
                                            
                                                ","LV ","RB","30","31","28"
"32","Kaelon Black
                                            
                                            
                                                ","SF ","RB","33","34","25"
"33","Kevin Coleman Jr.
                                            
                                            
                                                ","MIA ","WR","22","42","31"
"34","Demond Claiborne
                                            
                                            
                                                ","MIN ","RB","46","30","23"
"35","Ja'Kobi Lane
                                            
                                            
                                                ","BAL ","WR","28","44","29"
"36","Eli Heidenreich
                                            
                                            
                                                ","PIT ","RB","39","33","42"
"37","Cole Payton
                                            
                                            
                                                ","PHI ","QB","32","39","44"
"38","Cyrus Allen
                                            
                                            
                                                ","KC ","WR","57","22","37"
"39","Justin Joly
                                            
                                            
                                                ","DEN ","TE","44","40","34"
"40","Adam Randall
                                            
                                            
                                                ","BAL ","RB","49","32","40"
"41","Brenen Thompson
                                            
                                            
                                                ","LAC ","WR","36","47","38"
"42","Sam Roush
                                            
                                            
                                                ","CHI ","TE","43","43","39"
"43","Marlin Klein
                                            
                                            
                                                ","HOU ","TE","41","36","50"
"44","Seth McGowan
                                            
                                            
                                                ","IND ","RB","38","46","49"
"45","Carson Beck
                                            
                                            
                                                ","ARI ","QB","48","37","51"
"46","CJ Daniels
                                            
                                            
                                                ","LAR ","WR","53","45","52"
"47","Tanner Koziol
                                            
                                            
                                                ","JAC ","TE","40","81","41"
"48","Caleb Douglas
                                            
                                            
                                                ","MIA ","WR","56","63","45"
"49","Nate Boerkircher
                                            
                                            
                                                ","JAC ","TE","70","48","55"
"50","Matt Hibner
                                            
                                            
                                                ","BAL ","TE","26","-","53"
"51","Malik Benson
                                            
                                            
                                                ","LV ","WR","-","50","36"
"52","Robert Henry Jr.
                                            
                                            
                                                ","WAS ","RB","63","56","63"
