"RK","PLAYER NAME",TEAM,"POS","OPP","MATCHUP ","PROJ. FPTS"
"1","Jordyn Brooks",MIA,"LB1","at LV","-","19.5"
"2","Jack Campbell",DET,"LB2","vs. NO","-","19.1"
"3","Carson Schwesinger",CLE,"LB3","at JAC","-","18.9"
"4","Roquan Smith",BAL,"LB4","at IND","-","18.5"
"5","Ernest Jones IV",SEA,"LB5","vs. NE","-","18.2"
"6","Foyesade Oluokun",JAC,"LB6","vs. CLE","-","18.1"
"7","Blake Cashman",MIN,"LB7","vs. GB","-","18.0"
"8","Fred Warner",SF,"LB8","at LAR","-","17.8"
"9","Jamien Sherwood",NYJ,"LB9","at TEN","-","17.7"
"10","Zack Baun",PHI,"LB10","vs. WAS","-","17.6"
"11","Quay Walker",LV,"LB11","vs. MIA","-","17.5"
"12","Nick Bolton",KC,"LB12","vs. DEN","-","17.4"
"13","Nate Landman",LAR,"LB13","vs. SF","-","17.3"
"14","Myles Garrett",LAR,"DE1","vs. SF","-","17.2"
"15","Aidan Hutchinson",DET,"DE2","vs. NO","-","17.1"
"16","Zaire Franklin",GB,"LB14","at MIN","-","17.0"
"17","Alex Singleton",DEN,"LB15","at KC","-","16.9"
"18","Tremaine Edmunds",NYG,"LB16","vs. DAL","-","16.7"
"19","Edgerrin Cooper",GB,"LB17","at MIN","-","16.7"
"20","Maxx Crosby",LV,"DE3","vs. MIA","-","16.5"
"21","Sonny Styles",WAS,"LB18","at PHI","-","16.4"
"22","Cedric Gray",TEN,"LB19","vs. NYJ","-","16.3"
"23","Robert Spillane",NE,"LB20","at SEA","-","16.1"
"24","T.J. Edwards",CHI,"LB21","at CAR","-","16.0"
"25","Will Anderson Jr.",HOU,"DE4","vs. BUF","-","15.9"
"26","Kaden Elliss",NO,"LB22","at DET","-","15.8"
"27","Kyle Hamilton",BAL,"S1","at IND","-","15.7"
"28","CJ Allen",IND,"LB23","vs. BAL","-","15.6"
"29","Azeez Al-Shaair",HOU,"LB24","vs. BUF","-","15.5"
"30","Daiyan Henley",LAC,"LB25","vs. ARI","-","15.4"
"31","Devin Bush Jr.",CHI,"LB26","at CAR","-","15.3"
"32","Nick Bosa",SF,"DE5","at LAR","-","15.2"
"33","Devin Lloyd",CAR,"LB27","vs. CHI","-","15.2"
"34","Terrel Bernard",BUF,"LB28","at HOU","-","15.1"
"35","Derwin James Jr.",LAC,"S2","vs. ARI","-","15.0"
"36","Nick Cross",WAS,"S3","at PHI","-","14.9"
"37","Jessie Bates III",ATL,"S4","at PIT","-","14.8"
"38","Budda Baker",ARI,"S5","at LAC","-","14.7"
"39","Patrick Queen",PIT,"LB29","vs. ATL","-","14.6"
"40","Nakobe Dean",LV,"LB30","vs. MIA","-","14.5"
"41","Nick Emmanwori",SEA,"S6","vs. NE","-","14.5"
"42","Divine Deablo",ATL,"LB31","at PIT","-","14.4"
"43","Tykee Smith",TB,"S7","at CIN","-","14.3"
"44","Jeremy Chinn",LV,"S8","vs. MIA","-","14.2"
"45","Quincy Williams",CLE,"LB32","at JAC","-","14.1"
"46","Kam Curl",LAR,"S9","vs. SF","-","14.0"
"47","Demario Davis",NYJ,"LB33","at TEN","-","13.9"
"48","Barrett Carter",CIN,"LB34","vs. TB","-","13.9"
"49","Alex Anzalone",TB,"LB35","at CIN","-","13.8"
"50","Jordan Battle",CIN,"S10","vs. TB","-","13.7"
"51","Xavier McKinney",GB,"S11","at MIN","-","13.7"
"52","Tre'von Moehrig",CAR,"S12","vs. CHI","-","13.6"
"53","Mack Wilson Sr.",ARI,"LB36","at LAC","-","13.5"
"54","Talanoa Hufanga",DEN,"S13","at KC","-","13.4"
"55","Brian Branch",DET,"S14","vs. NO","-","13.3"
"56","Kevin Byard III",NE,"S15","at SEA","-","13.3"
"57","Tyrel Dodson",MIA,"LB37","at LV","-","13.2"
"58","Antoine Winfield Jr.",TB,"S16","at CIN","-","13.1"
"59","Dee Winters",DAL,"LB38","at NYG","-","13.1"
"60","Quentin Lake",LAR,"S17","vs. SF","-","13.0"
