PLAYER,POS,TEAM,GAMES,SNAPS,SNAPS/GM,SNAP %,TACKLE %,SACK %,QB HIT %,FANTASY PTS,PTS/100 SNAPS
Alijah Huzzie,CB,HOU,1,22,22,34,14,0,0,11.0,50.0
Ed Oliver,DT,BUF,3,108,36,60,9,3,0,50.1,46.4
Nick Bosa,DE,SF,3,119,40,63,8,2,0,49.5,41.6
Jadeveon Clowney,DE,DAL,13,373,29,44,6,2,0,131.1,35.1
Kemon Hall,CB,TEN,2,66,33,67,14,0,0,22.5,34.1
Zaire Barnes,LB,NYG,3,92,31,46,13,1,0,30.1,32.7
Michael Hoecht,DT,BUF,2,64,32,53,3,3,0,19.8,30.9
Myles Garrett,DE,CLE,17,868,51,82,5,3,0,265.5,30.6
Tyrice Knight,LB,SEA,11,307,28,43,10,1,0,90.5,29.5
Dorance Armstrong Jr.,DE,WAS,7,239,34,51,7,2,0,69.6,29.1
LaCale London,DT,ATL,13,270,21,32,6,2,0,78.4,29.0
Walter Nolen III,DT,ARI,6,169,28,43,5,1,0,47.8,28.3
Will Anderson Jr.,DE,HOU,17,694,41,67,5,2,0,195.5,28.2
Marlowe Wax,LB,LAC,1,39,39,66,13,0,0,10.8,27.7
Jordyn Brooks,LB,MIA,17,985,58,92,10,0,0,270.9,27.5
Jaylen Reed,S,HOU,3,73,24,43,11,0,0,19.8,27.1
Chase Young,DE,NO,12,544,45,70,4,2,0,144.8,26.6
Nakobe Dean,LB,PHI,9,403,45,70,7,1,0,107.1,26.6
Brian Burns,DE,NYG,17,862,51,77,5,2,0,227.4,26.4
Zach Harrison,DE,ATL,7,240,34,57,4,2,0,63.4,26.4
Dee Alford,CB,ATL,15,582,39,60,9,0,0,153.5,26.4
Josh Sweat,DE,ARI,17,540,32,47,4,2,0,141.5,26.2
Cameron Jordan,DE,NO,17,590,35,54,5,2,0,154.1,26.1
Devin Bush Jr.,LB,CLE,17,871,51,83,7,0,0,217.1,24.9
Andrew Van Ginkel,LB,MIN,12,582,49,77,5,1,0,145.2,24.9
Fred Warner,LB,SF,6,330,55,87,9,0,0,81.6,24.7
Danielle Hunter,DE,HOU,17,728,43,70,4,2,0,179.8,24.7
Denzel Perryman,LB,LAC,10,298,30,51,10,0,0,72.5,24.3
Cedric Gray,LB,TEN,16,922,58,91,10,0,0,223.4,24.2
Tuli Tuipulotu,DE,LAC,16,735,46,77,4,2,0,177.4,24.1
Jeffery Simmons,DT,TEN,15,764,51,81,5,1,0,183.1,24.0
Tonka Hemingway,DT,LV,9,195,22,32,4,2,0,46.8,24.0
Keidron Smith,S,NYJ,1,69,69,92,10,0,0,16.5,23.9
Jack Gibbens,LB,NE,17,491,29,48,8,0,0,116.9,23.8
Maxx Crosby,DE,LV,15,935,62,94,5,1,0,220.9,23.6
Tyrel Dodson,LB,MIA,16,910,57,90,8,1,0,213.7,23.5
Alex Highsmith,LB,PIT,13,634,49,72,6,1,0,148.7,23.5
DeMarcus Lawrence,DE,SEA,16,626,39,59,4,1,0,147.1,23.5
Jack Campbell,LB,DET,17,"1,097",65,99,8,0,0,257.1,23.4
Nik Bonitto,DE,DEN,17,684,40,61,5,2,0,158.7,23.2
Tatum Bethune,LB,SF,10,499,50,77,7,0,0,115.5,23.1
Josh Butler,CB,DAL,1,26,26,35,12,0,0,6.0,23.1
Matt Milano,LB,BUF,12,492,41,73,7,1,0,113.2,23.0
Blake Cashman,LB,MIN,13,790,61,96,8,0,0,179.1,22.7
Devin White,LB,LV,17,"1,118",66,99,8,0,0,253.2,22.6
Payton Wilson,LB,PIT,17,732,43,63,8,0,0,163.5,22.3
Tommy Togiai,DT,HOU,15,459,31,51,6,0,0,101.9,22.2
DeShon Elliott,S,PIT,5,281,56,78,7,0,0,62.1,22.1
Dane Belton,S,NYG,17,705,41,63,8,0,0,155.1,22.0
Tremaine Edmunds,LB,CHI,13,813,63,97,8,0,0,179.2,22.0
D'Angelo Ross,CB,CLE,2,41,21,35,7,0,0,9.0,22.0
Clelin Ferrell,DE,SF,9,250,28,46,5,2,0,54.7,21.9
Carson Schwesinger,LB,CLE,16,956,60,97,7,0,0,208.4,21.8
Nick Herbig,LB,PIT,15,610,41,59,3,1,0,132.6,21.7
Isaiah McDuffie,LB,GB,17,505,30,45,8,0,0,109.1,21.6
Nnamdi Madubuike,DT,BAL,2,102,51,64,5,2,0,22.0,21.6
Shaq Thompson,LB,BUF,11,417,38,64,7,0,0,90.1,21.6
Khalil Mack,LB,LAC,12,424,35,60,4,1,0,91.3,21.5
Nick Bolton,LB,KC,17,"1,012",60,97,7,0,0,217.7,21.5
Ernest Jones IV,LB,SEA,15,905,60,93,7,0,0,193.4,21.4
Marcus Maye,S,LAC,1,21,21,36,5,0,0,4.5,21.4
Alex Wright,DE,CLE,14,468,33,55,4,1,0,99.8,21.3
Demetrius Knight Jr.,LB,CIN,17,798,47,73,7,0,0,169.9,21.3
Marcus Jones,CB,NE,17,721,42,71,7,0,0,153.8,21.3
Christian Rozeboom,LB,CAR,15,823,55,88,7,0,0,175.1,21.3
Nate Landman,LB,LAR,17,"1,017",60,91,6,0,0,215.4,21.2
D'Marco Jackson,LB,CHI,11,261,24,37,6,0,0,55.4,21.2
Jalyx Hunt,LB,PHI,17,693,41,61,4,1,0,146.3,21.1
Eric Wilson,LB,MIN,17,965,57,90,6,1,0,203.3,21.1
Demetrius Flannigan-Fowles,LB,NYG,7,226,32,52,8,0,0,47.6,21.1
Owen Pappoe,LB,ARI,3,96,32,45,8,0,0,20.3,21.1
Germaine Pratt,LB,IND,16,913,57,83,7,0,0,192.1,21.0
Drake Thomas,LB,SEA,17,763,45,68,6,0,0,160.2,21.0
Trenton Simpson,LB,BAL,16,407,25,38,7,1,0,85.6,21.0
Dallas Turner,DE,MIN,17,702,41,66,4,1,0,147.3,21.0
Montez Sweat,DE,CHI,17,780,46,73,5,1,0,163.1,20.9
Bobby Wagner,LB,WAS,17,"1,132",67,99,7,0,0,236.0,20.8
Al-Quadin Muhammad,DE,DET,17,457,27,41,3,2,0,95.2,20.8
Byron Young,DE,LAR,17,854,50,76,5,1,0,177.7,20.8
DeForest Buckner,DT,IND,10,469,47,70,6,1,0,96.5,20.6
Devin Lloyd,LB,JAC,15,706,47,73,4,0,0,145.7,20.6
Tyree Wilson,DE,LV,17,463,27,41,5,1,0,94.8,20.5
Ivan Pace Jr.,LB,MIN,15,323,22,33,8,0,0,66.3,20.5
Justin Eboigbe,DT,LAC,17,407,24,40,5,1,0,83.2,20.4
Anthony Nelson,DE,TB,15,387,26,41,4,1,0,78.5,20.3
Foyesade Oluokun,LB,JAC,17,"1,036",61,95,7,0,0,209.6,20.2
Lathan Ransom,CB,CAR,16,336,21,34,5,0,0,68.0,20.2
Upton Stout,CB,SF,16,593,37,58,7,0,0,119.6,20.2
Tony Jefferson II,S,LAC,13,492,38,62,7,0,0,99.3,20.2
Nick Emmanwori,S,SEA,14,768,55,83,7,0,0,154.7,20.1
Jarvis Brownlee Jr.,CB,NYJ,9,408,45,70,9,0,0,82.2,20.1
Brandon Dorlus,DT,ATL,15,465,31,48,3,2,0,93.4,20.1
Amen Ogbongbemiga,LB,CHI,3,82,27,46,5,0,0,16.5,20.1
Dre Greenlaw,LB,DEN,8,324,41,58,5,0,0,64.8,20.0
Pete Werner,LB,NO,17,684,40,62,7,0,0,136.1,19.9
Cole Holcomb,LB,PIT,8,198,25,34,9,0,0,39.5,19.9
Tykee Smith,S,TB,16,893,56,92,7,0,0,176.6,19.8
Charles Snowden,LB,LV,14,324,23,34,5,1,0,64.3,19.8
Jordan Davis,DT,PHI,17,686,40,61,5,1,0,135.4,19.7
Von Miller,LB,WAS,17,420,25,37,4,2,0,82.8,19.7
Jarrian Jones,CB,JAC,15,516,34,51,6,0,0,101.8,19.7
Quay Walker,LB,GB,14,900,64,95,6,0,0,177.3,19.7
Micah Robinson,CB,TEN,2,66,33,53,5,0,0,13.0,19.7
Keonta Jenkins,LB,BUF,1,23,23,48,9,0,0,4.5,19.6
Robert Spillane,LB,NE,13,740,57,95,6,0,0,144.5,19.5
Calais Campbell,DE,ARI,17,524,31,46,4,1,0,101.4,19.4
James Pearce Jr.,DE,ATL,17,593,35,54,3,2,0,115.0,19.4
Zack Baun,LB,PHI,16,"1,038",65,98,6,0,0,200.7,19.3
Laiatu Latu,DE,IND,16,756,47,68,4,1,0,144.7,19.1
SirVocea Dennis,LB,TB,16,910,57,94,7,0,0,173.6,19.1
Micah Parsons,LB,GB,14,707,51,77,3,2,0,134.8,19.1
Roquan Smith,LB,BAL,15,953,64,94,8,0,0,181.8,19.1
Jordan Poyer,S,BUF,10,428,43,72,6,0,0,81.8,19.1
Mike Hilton,CB,IND,2,70,35,49,6,0,0,13.3,19.0
Marshawn Kneeland,DE,DAL,7,166,24,35,4,1,0,31.3,18.9
T.J. Watt,LB,PIT,14,812,58,82,3,1,0,153.8,18.9
Aidan Hutchinson,DE,DET,17,"1,005",59,91,4,1,0,190.3,18.9
Jamien Sherwood,LB,NYJ,17,"1,111",65,98,6,0,0,209.2,18.8
Brandin Echols,CB,PIT,16,522,33,47,6,0,0,98.0,18.8
Derek Barnett,DE,HOU,17,350,21,34,4,1,0,65.7,18.8
Terrel Bernard,LB,BUF,12,621,52,86,7,0,0,116.9,18.8
Odafe Oweh,DE,LAC,17,513,30,48,4,1,0,96.6,18.8
Shemar James,LB,DAL,13,544,42,63,7,0,0,102.4,18.8
Lavonte David,LB,TB,17,"1,023",60,98,6,0,0,191.1,18.7
Ja'Quan McMillian,CB,DEN,17,742,44,66,5,1,0,138.5,18.7
Isaiah Oliver,CB,NYJ,13,322,25,38,8,0,0,60.3,18.7
Reddy Steward,CB,DAL,15,519,35,53,7,0,0,96.9,18.7
Kamari Lassiter,CB,HOU,16,958,60,98,6,0,0,178.2,18.6
Erick Hallett II,CB,TEN,3,146,49,72,8,0,0,27.1,18.6
Dadrion Taylor-Demerson,S,ARI,12,452,38,54,7,0,0,83.6,18.5
Jer'Zhan Newton,DT,WAS,17,432,25,38,5,1,0,79.9,18.5
Antonio Johnson,S,JAC,16,659,41,65,5,0,0,122.2,18.5
Jordan Magee,LB,WAS,16,364,23,34,8,0,0,67.2,18.5
Mack Wilson Sr.,LB,ARI,8,521,65,96,7,0,0,96.1,18.4
Elandon Roberts,LB,LV,17,654,38,58,6,0,0,120.1,18.4
Dennis Gardeck,LB,JAC,17,423,25,38,6,1,0,78.0,18.4
Terrion Arnold,CB,DET,8,313,39,65,7,0,0,57.6,18.4
Kentavius Street,DE,ATL,7,216,31,45,5,1,0,39.7,18.4
Tre'von Moehrig,S,CAR,16,990,62,99,7,0,0,181.4,18.3
Brian Branch,S,DET,12,747,62,96,6,0,0,136.6,18.3
Jalen Redmond,DE,MIN,17,793,47,74,4,1,0,145.2,18.3
Drue Tranquill,LB,KC,17,884,52,85,6,0,0,161.3,18.2
Jeremy Reaves,S,WAS,17,708,42,62,7,0,0,129.1,18.2
Jacob Parrish,CB,TB,17,746,44,72,6,0,0,135.8,18.2
Folorunso Fatukasi,DT,HOU,4,101,25,39,5,1,0,18.4,18.2
Kindle Vildor,CB,TB,7,164,23,40,7,0,0,29.9,18.2
Jack Sanborn,LB,DAL,5,230,46,65,7,0,0,41.6,18.1
Jalon Walker,LB,ATL,15,492,33,51,4,1,0,88.9,18.1
Noah Sewell,LB,CHI,12,409,34,55,7,0,0,73.9,18.1
JD Bertrand,LB,ATL,7,197,28,39,6,0,0,35.6,18.1
Derwin James Jr.,S,LAC,16,895,56,93,6,0,0,160.8,18.0
Bobby Okereke,LB,NYG,17,"1,104",65,99,7,0,0,198.2,18.0
Chris Lammons,CB,IND,4,133,33,46,5,0,0,24.0,18.0
Kevin Winston Jr.,S,TEN,9,313,35,56,6,0,0,56.2,18.0
Ronnie Harrison Jr.,S,ATL,10,277,28,40,6,1,0,49.9,18.0
Troy Dye,LB,LAC,16,473,30,50,5,0,0,84.7,17.9
Leo Chenal,LB,KC,14,441,32,53,5,0,0,79.1,17.9
Quincy Williams,LB,NYJ,13,784,60,89,6,0,0,140.0,17.9
