PLAYER,POS,TEAM,GAMES,SNAPS,SNAPS/GM,SNAP %,RUSH %,TGT %,TOUCH %,UTIL %,FANTASY PTS,PTS/100 SNAPS
Malik Willis,QB,GB,4,98,25,41,22,0,58,58,51.1,52.1
Derrick Henry,RB,BAL,17,556,33,55,55,4,58,59,264.5,47.6
James Cook III,RB,BUF,17,639,38,56,48,6,54,55,269.2,42.1
Jahmyr Gibbs,RB,DET,17,737,43,67,33,13,43,46,289.9,39.3
De'Von Achane,RB,MIA,16,697,44,75,34,12,44,46,255.8,36.7
Josh Jacobs,RB,GB,15,554,37,59,42,8,49,50,201.1,36.3
Jaylen Warren,RB,PIT,16,489,31,50,43,9,51,52,177.1,36.2
Josh Allen,QB,BUF,17,"1,034",61,91,11,0,55,55,374.5,36.2
Jonathan Taylor,RB,IND,17,883,52,82,37,6,42,43,316.3,35.8
Cam Skattebo,RB,NYG,8,295,37,54,34,11,42,45,103.7,35.2
David Montgomery,RB,DET,17,408,24,37,39,7,45,46,142.9,35.0
Drake Maye,QB,NE,17,"1,050",62,96,10,0,57,57,358.9,34.2
TreVeyon Henderson,RB,NE,17,501,29,46,36,8,43,44,171.2,34.2
Bijan Robinson,RB,ATL,17,860,51,78,33,12,43,45,291.8,33.9
Christian McCaffrey,RB,SF,17,932,55,83,33,14,44,47,314.6,33.8
Puka Nacua,WR,LAR,16,727,45,68,1,23,19,24,246.0,33.8
RJ Harvey,RB,DEN,17,481,28,42,30,12,40,43,159.6,33.2
Zach Charbonnet,RB,SEA,16,490,31,49,38,5,42,42,161.4,32.9
Brock Purdy,QB,SF,9,576,64,98,6,0,55,55,187.4,32.5
Jacory Croskey-Merritt,RB,WAS,17,406,24,39,43,3,45,46,131.3,32.3
Kenneth Walker III,RB,SEA,17,498,29,47,44,7,51,52,160.9,32.3
Matthew Stafford,QB,LAR,17,"1,117",66,98,3,0,56,56,358.3,32.1
Mitchell Trubisky,QB,BUF,4,98,25,35,9,0,45,45,31.2,31.8
Quinshon Judkins,RB,CLE,14,452,32,50,51,8,57,59,143.8,31.8
Jaxson Dart,QB,NYG,14,774,55,83,11,0,55,55,246.5,31.8
Patrick Mahomes II,QB,KC,14,934,67,97,7,0,61,61,295.7,31.7
Jalen Hurts,QB,PHI,16,965,60,97,11,0,58,58,305.0,31.6
Lamar Jackson,QB,BAL,13,702,54,93,10,0,53,53,221.8,31.6
Travis Etienne Jr.,RB,JAC,17,691,41,60,38,8,43,45,217.9,31.5
Trevor Lawrence,QB,JAC,17,"1,114",66,97,7,0,58,58,350.1,31.4
D'Andre Swift,RB,CHI,16,621,39,58,36,8,41,44,194.6,31.3
Daniel Jones,QB,IND,13,756,58,91,6,0,57,57,234.4,31.0
J.K. Dobbins,RB,DEN,10,340,34,51,45,4,48,49,104.9,30.9
Rico Dowdle,RB,CAR,17,591,35,56,40,8,47,48,177.3,30.0
Kyren Williams,RB,LAR,17,772,45,68,34,6,38,40,227.3,29.4
Joe Burrow,QB,CIN,8,478,60,88,3,0,57,57,139.4,29.2
