"Team","RB1","Targets","RB2","Targets","RB3","Targets","Total Targets"
"San Francisco 49ers","Christian McCaffrey","122","Kyle Juszczyk","26","Brian Robinson Jr.","12","160"
"Pittsburgh Steelers","Kenny Gainwell","76","Jaylen Warren","40","Kaleb Johnson","2","118"
"Arizona Cardinals","Michael Carter","42","Bam Knight","31","Emari Demercado","19","117"
"Detroit Lions","Jahmyr Gibbs","89","David Montgomery","28","Craig Reynolds","0","117"
"Atlanta Falcons","Bijan Robinson","100","Tyler Allgeier","14","Nathan Carter","0","114"
"Cleveland Browns","Dylan Sampson","37","Quinshon Judkins","36","Jerome Ford","32","114"
"Denver Broncos","RJ Harvey","54","Tyler Badie","29","J.K. Dobbins","14","109"
"Miami Dolphins","De'Von Achane","85","Alec Ingold","9","Ollie Gordon II","8","109"
"Cincinnati Bengals","Chase Brown","82","Samaje Perine","17","Tahj Brooks","2","101"
"New York Giants","Tyrone Tracy Jr.","39","Cam Skattebo","32","Devin Singletary","19","90"
"Las Vegas Raiders","Ashton Jeanty","68","Raheem Mostert","12","Zamir White","5","89"
"Carolina Panthers","Rico Dowdle","48","Chuba Hubbard","37","Trevor Etienne","3","88"
"Tampa Bay Buccaneers","Rachaad White","43","Bucky Irving","33","Sean Tucker","11","87"
"Buffalo Bills","James Cook III","40","Ty Johnson","31","Ray Davis","11","83"
"Tennessee Titans","Tyjae Spears","43","Tony Pollard","38","Julius Chestnut","2","83"
"Kansas City Chiefs","Brashard Smith","31","Isiah Pacheco","26","Kareem Hunt","21","81"
"New England Patriots","TreVeyon Henderson","42","Rhamondre Stevenson","35","Antonio Gibson","3","81"
"New York Jets","Breece Hall","48","Isaiah Davis","28","Braelon Allen","3","81"
"Dallas Cowboys","Javonte Williams","51","Hunter Luepke","14","Miles Sanders","8","79"
"Green Bay Packers","Josh Jacobs","44","Chris Brooks","17","Emanuel Wilson","16","77"
"Jacksonville Jaguars","Travis Etienne Jr.","51","Bhayshul Tuten","14","LeQuint Allen Jr.","11","77"
"Chicago Bears","D'Andre Swift","46","Kyle Monangai","29","Brittain Brown","1","76"
"Minnesota Vikings","Aaron Jones Sr.","41","Jordan Mason","16","Zavier Scott","15","74"
"Indianapolis Colts","Jonathan Taylor","53","Ameer Abdullah","15","Tyler Goodson","3","73"
"Houston Texans","Woody Marks","33","Nick Chubb","20","Dare Ogunbowale","11","72"
"New Orleans Saints","Alvin Kamara","39","Devin Neal","19","Audric Estime","8","72"
"Baltimore Ravens","Justice Hill","27","Derrick Henry","20","Keaton Mitchell","12","71"
"Los Angeles Chargers","Omarion Hampton","35","Kimani Vidal","21","Hassan Haskins","4","65"
"Philadelphia Eagles","Saquon Barkley","50","Will Shipley","9","Tank Bigsby","3","64"
"Los Angeles Rams","Kyren Williams","45","Blake Corum","13","Ronnie Rivers","0","58"
"Seattle Seahawks","Kenneth Walker III","32","Zach Charbonnet","20","George Holani","2","54"
"Washington Commanders","Jeremy McNichols","30","Jacory Croskey-Merritt","13","Austin Ekeler","7","53"
""
""
