PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Christian McCaffrey,SF,10,7,15,11,9,8,8,6,6,10,6,7,4,BYE,1,8,6,122,7.6
Bijan Robinson,ATL,7,5,6,5,BYE,8,8,3,10,2,5,2,7,2,11,11,8,100,6.3
Jahmyr Gibbs,DET,10,3,6,2,2,2,3,BYE,3,4,8,12,4,7,7,13,3,89,5.6
De'Von Achane,MIA,4,10,9,2,7,6,5,7,10,6,5,BYE,1,1,6,3,3,85,5.3
Chase Brown,CIN,3,3,5,3,8,2,4,3,14,BYE,8,4,7,4,7,4,3,82,5.1
Kenny Gainwell,PIT,4,5,1,6,BYE,6,2,2,5,3,8,6,3,7,7,7,4,76,4.8
Ashton Jeanty,LV,2,4,0,2,7,4,1,BYE,5,5,8,8,8,4,6,2,2,68,4.3
RJ Harvey,DEN,1,2,3,5,3,4,2,1,5,3,3,BYE,4,6,1,5,6,54,3.4
Jonathan Taylor,IND,3,2,4,5,4,4,3,2,2,3,BYE,3,5,0,4,3,6,53,3.3
Javonte Williams,DAL,3,7,5,3,2,8,4,2,1,BYE,1,3,3,4,0,3,2,51,3.2
Travis Etienne Jr.,JAC,3,3,2,2,4,5,3,BYE,5,4,2,4,1,1,4,5,3,51,3.2
Saquon Barkley,PHI,5,2,5,4,3,3,1,5,BYE,3,2,8,2,2,3,2,0,50,3.1
Breece Hall,NYJ,4,3,6,6,5,0,3,3,BYE,1,2,4,2,1,2,3,3,48,3.0
Rico Dowdle,CAR,3,1,1,1,4,5,2,0,3,3,7,4,2,BYE,1,6,5,48,3.0
D'Andre Swift,CHI,5,3,4,6,BYE,3,1,2,—,8,1,1,2,4,1,2,3,46,3.1
Kyren Williams,LAR,2,2,3,4,10,2,3,BYE,0,3,2,1,1,2,1,6,3,45,2.8
Josh Jacobs,GB,1,0,9,4,BYE,5,1,3,5,6,1,—,1,2,3,2,1,44,2.9
Rachaad White,TB,1,2,1,5,4,3,6,2,BYE,5,3,1,3,2,1,2,2,43,2.7
Tyjae Spears,TEN,—,—,—,—,0,4,4,3,3,BYE,5,5,6,4,2,5,2,43,3.6
TreVeyon Henderson,NE,6,2,3,2,3,2,0,0,6,1,5,4,4,BYE,3,1,0,42,2.6
Michael Carter,ARI,—,—,—,0,5,5,2,BYE,—,0,7,3,6,4,4,2,4,42,3.5
Aaron Jones Sr.,MIN,3,1,—,—,—,BYE,—,4,2,6,6,4,4,1,3,3,4,41,3.4
Jaylen Warren,PIT,2,4,6,—,BYE,2,5,3,2,2,2,0,4,3,3,2,0,40,2.7
James Cook III,BUF,5,1,3,4,1,0,BYE,0,1,5,3,3,3,2,3,2,4,40,2.5
Alvin Kamara,NO,2,6,2,5,6,5,3,2,3,3,BYE,2,—,—,—,—,—,39,3.5
Tyrone Tracy Jr.,NYG,5,5,3,—,—,0,0,3,4,2,4,4,1,BYE,4,2,2,39,2.8
Tony Pollard,TEN,1,1,4,3,3,2,6,2,2,BYE,3,5,2,0,2,0,2,38,2.4
Dylan Sampson,CLE,8,3,0,1,2,2,1,6,BYE,1,1,3,0,6,—,—,3,37,2.6
