"Team","TE1","Targets","TE2","Targets","Total Targets"
"Arizona Cardinals","Trey McBride","161","Elijah Higgins","34","205"
"Cleveland Browns","Harold Fannin Jr.","107","David Njoku","48","166"
"Las Vegas Raiders","Brock Bowers","86","Michael Mayer","45","151"
"Pittsburgh Steelers","Jonnu Smith","52","Pat Freiermuth","49","147"
"Kansas City Chiefs","Travis Kelce","102","Noah Gray","32","136"
"Los Angeles Rams","Colby Parkinson","49","Davis Allen","32","136"
"New Orleans Saints","Juwan Johnson","97","Taysom Hill","13","134"
"Dallas Cowboys","Jake Ferguson","100","Luke Schoonmaker","22","132"
"Tennessee Titans","Chig Okonkwo","74","Gunnar Helm","55","132"
"Indianapolis Colts","Tyler Warren","104","Mo Alie-Cox","16","127"
"Houston Texans","Dalton Schultz","102","Cade Stover","14","124"
"Cincinnati Bengals","Noah Fant","40","Mike Gesicki","40","123"
"San Francisco 49ers","George Kittle","62","Jake Tonges","46","123"
"Chicago Bears","Colston Loveland","69","Cole Kmet","45","120"
"Atlanta Falcons","Kyle Pitts Sr.","109","Charlie Woerner","9","118"
"Baltimore Ravens","Mark Andrews","67","Isaiah Likely","34","118"
"New York Jets","Mason Taylor","65","Jeremy Ruckert","29","114"
"Buffalo Bills","Dawson Knox","47","Dalton Kincaid","46","112"
"Denver Broncos","Evan Engram","72","Adam Trautman","23","110"
"New England Patriots","Hunter Henry","82","Austin Hooper","25","108"
"Washington Commanders","Zach Ertz","72","John Bates","14","100"
"New York Giants","Theo Johnson","74","Daniel Bellinger","24","99"
"Jacksonville Jaguars","Brenton Strange","54","Johnny Mundt","18","97"
"Miami Dolphins","Darren Waller","34","Greg Dulcich","29","97"
"Seattle Seahawks","AJ Barner","65","Elijah Arroyo","26","97"
"Philadelphia Eagles","Dallas Goedert","82","Grant Calcaterra","10","96"
"Green Bay Packers","Tucker Kraft","44","Luke Musgrave","31","95"
"Carolina Panthers","Ja'Tavion Sanders","34","Tommy Tremble","33","93"
"Los Angeles Chargers","Oronde Gadsden II","67","Will Dissly","11","91"
"Detroit Lions","Sam LaPorta","49","Brock Wright","22","89"
"Minnesota Vikings","T.J. Hockenson","66","Josh Oliver","17","87"
"Tampa Bay Buccaneers","Cade Otton","72","Payne Durham","3","76"
""
""
