PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Trey McBride,ARI,9,7,8,11,7,11,13,BYE,9,13,11,10,9,9,13,8,13,161,10.1
Kyle Pitts Sr.,ATL,8,5,6,5,BYE,4,10,9,7,5,3,5,8,10,12,9,3,109,6.8
Harold Fannin Jr.,CLE,9,5,4,6,4,10,5,8,BYE,7,5,6,5,11,14,6,2,107,6.7
Tyler Warren,IND,9,7,5,6,4,9,5,5,7,10,BYE,7,4,6,6,9,5,104,6.5
Travis Kelce,KC,4,6,7,5,8,7,3,8,5,BYE,13,6,6,5,9,4,6,102,6.4
Dalton Schultz,HOU,5,4,6,6,6,BYE,10,3,8,11,9,4,8,4,9,5,4,102,6.4
Jake Ferguson,DAL,6,12,14,7,9,3,7,1,7,BYE,5,6,6,7,4,4,2,100,6.3
Juwan Johnson,NO,11,9,8,3,4,2,7,8,4,4,BYE,7,9,4,4,9,4,97,6.1
Brock Bowers,LV,8,8,5,6,—,—,—,BYE,13,3,12,9,4,5,8,5,—,86,7.2
Dallas Goedert,PHI,7,—,2,4,9,11,3,3,BYE,6,5,2,4,10,7,3,6,82,5.5
Hunter Henry,NE,8,3,11,2,4,3,5,1,6,4,6,10,6,BYE,3,7,3,82,5.1
Theo Johnson,NYG,3,5,2,5,7,4,7,4,6,8,4,5,8,BYE,4,2,—,74,4.9
Chig Okonkwo,TEN,4,6,6,3,5,6,2,5,2,BYE,3,4,5,2,6,8,7,74,4.6
Zach Ertz,WAS,5,8,3,4,1,6,7,6,4,5,8,BYE,13,2,—,—,—,72,5.5
Cade Otton,TB,3,4,0,4,5,6,9,5,BYE,12,5,7,2,4,—,2,4,72,4.8
Evan Engram,DEN,4,2,—,7,6,6,8,4,3,5,5,BYE,9,2,3,4,4,72,4.8
Colston Loveland,CHI,2,1,3,—,BYE,3,4,5,7,4,4,5,6,5,5,5,10,69,4.6
Mark Andrews,BAL,1,3,6,8,3,6,BYE,3,3,5,5,3,6,5,3,3,4,67,4.2
Oronde Gadsden II,LAC,—,—,7,3,1,8,9,5,5,6,5,BYE,2,4,5,1,6,67,4.8
T.J. Hockenson,MIN,4,3,6,5,6,BYE,9,3,3,2,6,4,6,3,5,1,—,66,4.4
Mason Taylor,NYJ,1,2,6,7,12,1,5,8,BYE,2,4,5,4,8,—,—,—,65,5.0
AJ Barner,SEA,2,3,1,3,7,3,3,BYE,4,0,11,4,5,4,6,6,3,65,4.1
George Kittle,SF,4,—,—,—,—,—,2,5,4,9,6,10,5,BYE,9,8,—,62,6.2
Gunnar Helm,TEN,2,2,3,1,5,3,5,3,1,BYE,5,7,7,2,4,3,2,55,3.4
Brenton Strange,JAC,4,5,7,7,1,—,—,BYE,—,—,—,5,4,6,3,7,5,54,4.9
Jonnu Smith,PIT,6,4,3,3,BYE,4,6,3,5,2,2,3,2,1,2,1,5,52,3.3
Pat Freiermuth,PIT,3,4,3,0,BYE,1,6,4,4,3,1,3,0,3,5,4,5,49,3.1
Sam LaPorta,DET,9,4,4,4,6,6,3,BYE,8,5,—,—,—,—,—,—,—,49,5.4
Colby Parkinson,LAR,2,—,0,2,1,—,3,BYE,2,5,2,4,5,5,7,4,7,49,3.5
David Njoku,CLE,6,5,7,3,9,6,—,5,BYE,2,2,0,2,1,—,—,—,48,4.0
Dawson Knox,BUF,2,5,0,1,2,2,BYE,1,1,4,3,4,4,7,4,2,5,47,2.9
Jake Tonges,SF,3,5,3,5,11,7,0,1,0,0,0,0,0,BYE,0,2,9,46,2.9
Dalton Kincaid,BUF,4,6,6,2,6,—,BYE,3,6,3,—,—,—,5,4,1,—,46,4.2
Michael Mayer,LV,4,2,1,—,—,7,2,BYE,7,4,4,1,—,—,0,3,10,45,3.8
Cole Kmet,CHI,4,2,1,9,BYE,2,1,—,2,2,5,1,3,3,4,3,3,45,3.0
Tucker Kraft,GB,4,7,4,5,BYE,2,10,9,3,—,—,—,—,—,—,—,—,44,5.5
Darnell Washington,PIT,0,1,0,3,BYE,5,5,0,6,1,5,2,4,1,4,4,2,43,2.7
Noah Fant,CIN,5,4,5,—,0,4,4,3,3,BYE,6,1,2,2,0,—,1,40,2.9
Mike Gesicki,CIN,3,4,3,1,5,0,—,—,—,BYE,—,6,4,6,2,4,2,40,3.3
Elijah Higgins,ARI,2,3,1,0,2,2,1,BYE,3,3,3,0,2,1,2,8,1,34,2.1
Ja'Tavion Sanders,CAR,3,9,2,—,—,—,2,3,1,5,4,1,0,BYE,2,2,0,34,2.6
Darren Waller,MIA,—,—,—,4,5,3,0,—,—,—,—,BYE,3,3,8,5,3,34,3.8
Isaiah Likely,BAL,—,—,—,0,1,2,BYE,2,4,4,3,3,6,6,0,0,3,34,2.6
Tommy Tremble,CAR,1,3,2,8,2,4,1,1,1,0,2,0,2,BYE,4,1,1,33,2.1
Noah Gray,KC,1,5,6,1,0,2,1,4,1,BYE,3,4,—,3,0,0,1,32,2.1
Davis Allen,LAR,2,1,1,1,2,2,1,BYE,4,2,0,4,1,2,4,5,0,32,2.0
Luke Musgrave,GB,1,2,0,1,BYE,2,0,1,3,3,2,2,1,4,6,3,0,31,1.9
Tyler Higbee,LAR,0,4,2,5,—,4,6,BYE,4,3,2,—,—,—,—,—,—,30,3.3
Jeremy Ruckert,NYJ,2,1,0,1,4,0,1,1,BYE,1,5,0,2,3,2,3,3,29,1.8
Greg Dulcich,MIA,—,—,—,—,—,—,—,0,5,4,4,BYE,2,3,2,3,6,29,3.2
Elijah Arroyo,SEA,1,3,1,4,1,2,5,BYE,2,1,2,1,2,1,—,—,—,26,2.0
Austin Hooper,NE,1,3,3,1,0,1,2,2,1,1,—,4,0,BYE,0,4,2,25,1.7
Terrance Ferguson,LAR,—,0,—,—,1,0,3,BYE,3,4,0,1,2,1,2,4,4,25,1.9
Daniel Bellinger,NYG,1,0,1,1,4,0,4,1,—,2,1,2,0,BYE,4,0,3,24,1.6
Tanner Hudson,CIN,—,—,—,0,0,5,—,2,2,BYE,3,1,2,1,5,1,2,24,2.0
Adam Trautman,DEN,1,3,0,3,1,0,0,0,2,1,1,BYE,4,2,0,3,2,23,1.4
Mitchell Evans,CAR,0,1,1,4,1,1,3,0,0,1,2,1,3,BYE,0,3,2,23,1.4
Luke Schoonmaker,DAL,1,2,1,2,2,2,0,3,2,BYE,0,1,1,2,1,0,2,22,1.4
Brock Wright,DET,0,3,0,0,3,0,3,BYE,1,1,7,4,—,—,—,—,—,22,2.0
Julian Hill,MIA,0,0,1,2,5,3,2,—,—,—,1,BYE,1,0,2,0,2,19,1.5
Johnny Mundt,JAC,1,0,1,1,1,2,4,BYE,0,2,3,2,0,—,0,0,1,18,1.2
Jackson Hawes,BUF,1,1,1,1,0,0,BYE,3,2,2,0,2,1,1,1,2,0,18,1.1
Drew Sample,CIN,1,2,3,0,1,2,0,0,0,BYE,0,1,2,0,2,2,1,17,1.1
Hunter Long,JAC,1,0,3,3,1,3,3,BYE,3,—,—,—,—,0,—,—,—,17,1.9
Josh Oliver,MIN,1,0,1,1,3,BYE,1,0,—,—,1,1,0,2,1,3,2,17,1.2
Mo Alie-Cox,IND,1,1,0,0,0,2,2,0,1,1,BYE,1,0,2,0,2,3,16,1.0
Tanner Conner,MIA,4,0,2,0,2,1,3,2,1,—,—,BYE,—,—,—,—,—,15,1.7
John FitzPatrick,GB,1,0,2,0,BYE,0,1,1,0,0,1,1,1,2,4,1,—,15,1.0
Charlie Kolar,BAL,0,0,3,0,1,1,BYE,1,2,2,1,0,1,1,0,1,1,15,0.9
Luke Farrell,SF,1,3,0,2,2,0,1,0,1,2,0,1,1,BYE,0,0,0,14,0.9
Cade Stover,HOU,4,—,—,—,—,BYE,—,—,—,—,0,2,2,0,3,3,0,14,1.8
John Bates,WAS,0,0,—,—,1,0,2,1,4,2,0,BYE,2,0,1,1,0,14,1.0
Ian Thomas,LV,0,0,0,0,3,1,0,BYE,1,0,1,4,1,2,—,—,0,13,0.9
Taysom Hill,NO,—,—,—,—,0,0,2,1,0,1,BYE,0,1,2,0,6,0,13,1.1
Will Dissly,LAC,1,1,—,—,—,2,1,—,—,—,—,BYE,—,1,0,3,2,11,1.4
