"Team","WR Targets","WR %","RB Targets","RB %","TE Targets","TE %","Total Targets"
"Arizona Cardinals","267","45.3","117","19.9","205","34.8","589"
"Dallas Cowboys","373","63.9","79","13.5","132","22.6","584"
"Cincinnati Bengals","345","60.6","101","17.8","123","21.6","569"
"Denver Broncos","340","60.8","109","19.5","110","19.7","559"
"Los Angeles Rams","350","64.3","58","10.7","136","25.0","544"
"New Orleans Saints","323","61.1","72","13.6","134","25.3","529"
"Houston Texans","329","62.7","72","13.7","124","23.6","525"
"San Francisco 49ers","239","45.8","160","30.7","123","23.6","522"
"Kansas City Chiefs","301","58.1","81","15.6","136","26.3","518"
"Tampa Bay Buccaneers","354","68.5","87","16.8","76","14.7","517"
"Jacksonville Jaguars","342","66.3","77","14.9","97","18.8","516"
"Detroit Lions","308","59.9","117","22.8","89","17.3","514"
"Los Angeles Chargers","346","68.9","65","12.9","91","18.1","502"
"Chicago Bears","305","60.9","76","15.2","120","24.0","501"
"Cleveland Browns","220","44.0","114","22.8","166","33.2","500"
"Tennessee Titans","281","56.7","83","16.7","132","26.6","496"
"Indianapolis Colts","295","59.6","73","14.7","127","25.7","495"
"Atlanta Falcons","256","52.5","114","23.4","118","24.2","488"
"Pittsburgh Steelers","211","44.3","118","24.8","147","30.9","476"
"New York Giants","281","59.8","90","19.1","99","21.1","470"
"Las Vegas Raiders","227","48.6","89","19.1","151","32.3","467"
"New England Patriots","272","59.0","81","17.6","108","23.4","461"
"Buffalo Bills","256","56.8","83","18.4","112","24.8","451"
"Carolina Panthers","269","59.8","88","19.6","93","20.7","450"
"Green Bay Packers","278","61.8","77","17.1","95","21.1","450"
"New York Jets","254","56.6","81","18.0","114","25.4","449"
"Minnesota Vikings","277","63.2","74","16.9","87","19.9","438"
"Miami Dolphins","231","52.9","109","24.9","97","22.2","437"
"Philadelphia Eagles","270","62.8","64","14.9","96","22.3","430"
"Seattle Seahawks","278","64.8","54","12.6","97","22.6","429"
"Washington Commanders","259","62.9","53","12.9","100","24.3","412"
"Baltimore Ravens","201","51.5","71","18.2","118","30.3","390"
""
""
