PLAYER,POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Ja'Marr Chase,WR,CIN,5,16,6,8,10,12,23,19,8,BYE,10,—,14,8,16,11,9,175,11.7
Trey McBride,TE,ARI,9,7,8,11,7,11,13,BYE,9,13,11,10,9,9,13,8,13,161,10.1
Amon-Ra St. Brown,WR,DET,6,11,8,7,9,10,10,BYE,13,8,12,13,1,9,18,9,13,157,9.8
Chris Olave,WR,NO,13,10,14,6,11,10,7,12,4,8,BYE,13,7,5,9,16,11,156,9.8
Jaxon Smith-Njigba,WR,SEA,13,10,6,5,9,13,14,BYE,9,6,12,10,4,10,9,13,12,155,9.7
Puka Nacua,WR,LAR,11,9,15,15,12,3,—,BYE,8,6,8,11,9,11,11,16,10,155,10.3
Wan'Dale Robinson,WR,NYG,8,10,4,5,7,7,12,4,11,11,9,14,8,BYE,10,6,14,140,8.8
George Pickens,WR,DAL,4,9,9,11,4,11,6,9,9,BYE,11,9,13,9,6,9,5,134,8.4
Justin Jefferson,WR,MIN,7,6,7,11,11,BYE,10,11,9,12,9,6,6,4,8,8,5,130,8.1
Emeka Egbuka,WR,TB,6,7,8,10,7,4,12,9,BYE,13,9,8,8,9,7,2,5,124,7.8
Christian McCaffrey,RB,SF,10,7,15,11,9,8,8,6,6,10,6,7,4,BYE,1,8,6,122,7.6
Courtland Sutton,WR,DEN,9,4,8,6,10,3,10,6,6,4,8,BYE,6,10,10,12,10,122,7.6
A.J. Brown,WR,PHI,1,8,10,9,8,9,6,—,BYE,3,11,10,12,13,2,12,7,121,8.1
Nico Collins,WR,HOU,5,9,11,6,5,BYE,10,—,11,15,10,3,10,8,4,9,4,120,8.0
Michael Wilson,WR,ARI,4,2,2,6,4,5,4,BYE,4,7,18,15,7,16,11,3,10,118,7.4
CeeDee Lamb,WR,DAL,13,11,0,—,—,—,8,10,12,BYE,7,11,9,8,10,7,10,116,8.9
Tetairoa McMillan,WR,CAR,9,10,8,8,8,5,5,10,6,8,12,7,2,BYE,4,10,4,116,7.3
Davante Adams,WR,LAR,8,13,8,6,11,9,8,BYE,7,8,8,8,5,6,9,—,—,114,8.1
Zay Flowers,WR,BAL,9,11,3,8,5,10,BYE,9,5,6,5,6,7,11,5,7,5,112,7.0
DeVonta Smith,WR,PHI,3,6,9,2,10,5,11,9,BYE,7,5,11,8,8,2,8,5,109,6.8
Keenan Allen,WR,LAC,10,7,11,7,9,7,14,5,5,5,6,BYE,5,3,7,5,3,109,6.8
Kyle Pitts Sr.,TE,ATL,8,5,6,5,BYE,4,10,9,7,5,3,5,8,10,12,9,3,109,6.8
Michael Pittman Jr.,WR,IND,8,5,6,10,6,3,9,9,12,2,BYE,8,4,12,5,5,3,107,6.7
Harold Fannin Jr.,TE,CLE,9,5,4,6,4,10,5,8,BYE,7,5,6,5,11,14,6,2,107,6.7
