"Team","WR1","Targets","WR2","Targets","WR3","Targets","Total Targets"
"Dallas Cowboys","George Pickens","134","CeeDee Lamb","116","Ryan Flournoy","49","373"
"Tampa Bay Buccaneers","Emeka Egbuka","124","Mike Evans","59","Sterling Shepard","53","354"
"Los Angeles Rams","Puka Nacua","155","Davante Adams","114","Jordan Whittington","25","350"
"Los Angeles Chargers","Keenan Allen","109","Ladd McConkey","106","Quentin Johnston","85","346"
"Cincinnati Bengals","Ja'Marr Chase","175","Tee Higgins","89","Andrei Iosivas","55","345"
"Jacksonville Jaguars","Brian Thomas Jr.","86","Parker Washington","86","Jakobi Meyers","55","342"
"Denver Broncos","Courtland Sutton","122","Troy Franklin","103","Marvin Mims Jr.","48","340"
"Houston Texans","Nico Collins","120","Jayden Higgins","63","Christian Kirk","50","329"
"New Orleans Saints","Chris Olave","156","Rashid Shaheed","66","Devaughn Vele","39","323"
"Detroit Lions","Amon-Ra St. Brown","157","Jameson Williams","94","Kalif Raymond","27","308"
"Chicago Bears","Rome Odunze","90","DJ Moore","82","Olamide Zaccheaus","65","305"
"Kansas City Chiefs","Rashee Rice","78","Xavier Worthy","73","Hollywood Brown","68","301"
"Indianapolis Colts","Michael Pittman Jr.","107","Josh Downs","84","Alec Pierce","77","295"
"New York Giants","Wan'Dale Robinson","140","Darius Slayton","54","Malik Nabers","35","281"
"Tennessee Titans","Elic Ayomanor","79","Chimere Dike","70","Van Jefferson","52","281"
"Green Bay Packers","Romeo Doubs","85","Christian Watson","55","Dontayvion Wicks","46","278"
"Seattle Seahawks","Jaxon Smith-Njigba","155","Cooper Kupp","67","Rashid Shaheed","25","278"
"Minnesota Vikings","Justin Jefferson","130","Jordan Addison","76","Jalen Nailor","50","277"
"New England Patriots","Stefon Diggs","99","Mack Hollins","65","DeMario Douglas","43","272"
"Philadelphia Eagles","A.J. Brown","121","DeVonta Smith","109","Jahan Dotson","28","270"
"Carolina Panthers","Tetairoa McMillan","116","Xavier Legette","60","Jalen Coker","36","269"
"Arizona Cardinals","Michael Wilson","118","Marvin Harrison Jr.","73","Greg Dortch","33","267"
"Washington Commanders","Deebo Samuel Sr.","94","Terry McLaurin","56","Jaylin Lane","32","259"
"Atlanta Falcons","Drake London","104","Darnell Mooney","65","David Sills V","35","256"
"Buffalo Bills","Khalil Shakir","95","Keon Coleman","55","Joshua Palmer","34","256"
"New York Jets","Garrett Wilson","59","Adonai Mitchell","55","John Metchie III","40","254"
"San Francisco 49ers","Jauan Jennings","84","Ricky Pearsall","53","Kendrick Bourne","52","239"
"Miami Dolphins","Jaylen Waddle","100","Malik Washington","61","Tyreek Hill","29","231"
"Las Vegas Raiders","Tre Tucker","86","Jakobi Meyers","49","Dont'e Thornton Jr.","29","227"
"Cleveland Browns","Jerry Jeudy","100","Isaiah Bond","42","Cedric Tillman","37","220"
"Pittsburgh Steelers","DK Metcalf","99","Calvin Austin III","48","Roman Wilson","21","211"
"Baltimore Ravens","Zay Flowers","112","Rashod Bateman","38","DeAndre Hopkins","37","201"
""
""
