PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Ja'Marr Chase,CIN,5,16,6,8,10,12,23,19,8,BYE,10,—,14,8,16,11,9,175,11.7
Amon-Ra St. Brown,DET,6,11,8,7,9,10,10,BYE,13,8,12,13,1,9,18,9,13,157,9.8
Chris Olave,NO,13,10,14,6,11,10,7,12,4,8,BYE,13,7,5,9,16,11,156,9.8
Jaxon Smith-Njigba,SEA,13,10,6,5,9,13,14,BYE,9,6,12,10,4,10,9,13,12,155,9.7
Puka Nacua,LAR,11,9,15,15,12,3,—,BYE,8,6,8,11,9,11,11,16,10,155,10.3
Wan'Dale Robinson,NYG,8,10,4,5,7,7,12,4,11,11,9,14,8,BYE,10,6,14,140,8.8
George Pickens,DAL,4,9,9,11,4,11,6,9,9,BYE,11,9,13,9,6,9,5,134,8.4
Justin Jefferson,MIN,7,6,7,11,11,BYE,10,11,9,12,9,6,6,4,8,8,5,130,8.1
Emeka Egbuka,TB,6,7,8,10,7,4,12,9,BYE,13,9,8,8,9,7,2,5,124,7.8
Courtland Sutton,DEN,9,4,8,6,10,3,10,6,6,4,8,BYE,6,10,10,12,10,122,7.6
A.J. Brown,PHI,1,8,10,9,8,9,6,—,BYE,3,11,10,12,13,2,12,7,121,8.1
Nico Collins,HOU,5,9,11,6,5,BYE,10,—,11,15,10,3,10,8,4,9,4,120,8.0
Michael Wilson,ARI,4,2,2,6,4,5,4,BYE,4,7,18,15,7,16,11,3,10,118,7.4
CeeDee Lamb,DAL,13,11,0,—,—,—,8,10,12,BYE,7,11,9,8,10,7,10,116,8.9
Tetairoa McMillan,CAR,9,10,8,8,8,5,5,10,6,8,12,7,2,BYE,4,10,4,116,7.3
Davante Adams,LAR,8,13,8,6,11,9,8,BYE,7,8,8,8,5,6,9,—,—,114,8.1
Zay Flowers,BAL,9,11,3,8,5,10,BYE,9,5,6,5,6,7,11,5,7,5,112,7.0
DeVonta Smith,PHI,3,6,9,2,10,5,11,9,BYE,7,5,11,8,8,2,8,5,109,6.8
Keenan Allen,LAC,10,7,11,7,9,7,14,5,5,5,6,BYE,5,3,7,5,3,109,6.8
Michael Pittman Jr.,IND,8,5,6,10,6,3,9,9,12,2,BYE,8,4,12,5,5,3,107,6.7
Ladd McConkey,LAC,9,5,7,6,7,9,15,10,6,6,4,BYE,6,5,3,6,2,106,6.6
Jakobi Meyers,JAC,10,12,4,7,6,4,—,BYE,6,3,6,6,6,10,7,8,9,104,6.9
Drake London,ATL,15,4,8,10,BYE,16,10,—,14,8,9,—,—,—,—,8,2,104,9.5
Troy Franklin,DEN,6,9,4,8,5,4,10,8,10,9,8,BYE,3,4,6,5,4,103,6.4
Jaylen Waddle,MIA,5,6,6,6,9,8,4,6,9,7,7,BYE,6,7,4,9,1,100,6.3
Jerry Jeudy,CLE,8,8,5,9,5,13,4,2,BYE,12,7,3,4,5,4,4,7,100,6.3
Stefon Diggs,NE,7,5,3,7,12,3,7,5,4,8,11,3,4,BYE,4,10,6,99,6.2
DK Metcalf,PIT,7,6,4,5,BYE,9,5,7,4,7,8,8,5,12,3,9,—,99,6.6
Khalil Shakir,BUF,9,2,4,5,9,5,BYE,7,8,9,3,10,4,3,5,5,7,95,5.9
Deebo Samuel Sr.,WAS,10,8,3,6,11,5,—,6,6,5,8,BYE,7,6,5,4,4,94,6.3
Jameson Williams,DET,5,4,3,8,1,7,2,BYE,6,7,7,3,10,9,10,9,3,94,5.9
Rashid Shaheed,SEA,9,5,6,5,5,6,9,12,9,1,5,2,3,5,7,1,1,91,5.4
Rome Odunze,CHI,9,11,7,8,BYE,5,6,10,3,10,6,9,6,—,—,—,—,90,7.5
Tee Higgins,CIN,4,8,2,6,7,8,10,2,9,BYE,8,6,—,11,—,3,5,89,6.4
Tre Tucker,LV,3,8,9,2,6,5,6,BYE,4,3,8,10,3,5,3,5,6,86,5.4
Brian Thomas Jr.,JAC,7,12,6,7,6,10,7,BYE,5,—,—,—,3,6,7,3,7,86,6.6
Parker Washington,JAC,0,5,11,2,3,4,10,BYE,9,7,2,7,3,—,3,10,10,86,5.7
Quentin Johnston,LAC,7,7,10,13,4,—,6,0,6,10,3,BYE,3,3,—,5,8,85,6.1
Romeo Doubs,GB,4,5,2,8,BYE,9,8,6,10,4,8,3,4,2,3,6,3,85,5.3
Josh Downs,IND,3,8,3,5,8,7,—,3,9,2,BYE,6,6,5,5,9,5,84,5.6
Jauan Jennings,SF,5,10,—,4,—,3,7,7,5,9,6,7,6,BYE,5,6,4,84,6.0
DJ Moore,CHI,5,6,5,5,BYE,5,5,7,6,4,3,7,5,3,5,7,4,82,5.1
Elic Ayomanor,TEN,7,6,5,7,4,5,5,8,6,BYE,6,—,5,3,1,4,7,79,5.3
Rashee Rice,KC,—,—,—,—,—,—,10,9,7,BYE,9,12,12,8,11,—,—,78,9.8
Alec Pierce,IND,3,5,5,—,—,4,10,5,13,7,BYE,2,5,8,1,4,5,77,5.5
Jordan Addison,MIN,—,—,—,8,6,BYE,12,4,4,11,7,1,10,7,2,3,1,76,5.8
Xavier Worthy,KC,1,—,—,8,9,4,4,7,7,BYE,5,8,6,4,4,3,3,73,5.2
Marvin Harrison Jr.,ARI,6,5,6,10,5,2,6,BYE,10,12,—,—,7,—,—,3,1,73,6.1
Adonai Mitchell,NYJ,2,4,2,4,1,—,1,1,1,—,6,7,12,6,9,6,9,71,4.7
Chimere Dike,TEN,1,5,4,0,5,3,4,8,3,BYE,3,7,4,8,5,5,5,70,4.4
Hollywood Brown,KC,16,5,6,5,8,4,4,1,4,BYE,4,1,2,2,—,3,3,68,4.5
Cooper Kupp,SEA,3,9,3,5,9,3,1,BYE,—,2,7,4,4,3,7,4,3,67,4.5
Mack Hollins,NE,2,2,4,1,0,3,2,7,2,10,5,6,4,BYE,8,9,—,65,4.3
Olamide Zaccheaus,CHI,7,5,4,6,BYE,6,3,7,8,4,0,1,3,3,3,5,—,65,4.3
Darnell Mooney,ATL,—,4,11,1,BYE,—,5,4,2,8,7,3,5,4,6,2,3,65,4.6
Jayden Higgins,HOU,3,1,1,1,4,BYE,3,8,1,7,7,9,5,5,1,3,4,63,3.9
Malik Washington,MIA,5,2,5,3,5,5,8,5,3,3,3,BYE,5,4,1,1,3,61,3.8
Xavier Legette,CAR,7,8,—,—,3,2,11,3,3,1,8,5,2,BYE,3,3,1,60,4.3
Garrett Wilson,NYJ,9,8,13,8,10,8,—,—,BYE,3,—,—,—,—,—,—,—,59,8.4
Mike Evans,TB,8,11,8,—,—,—,4,—,BYE,—,—,—,—,—,12,9,7,59,8.4
Terry McLaurin,WAS,4,9,4,—,—,—,—,4,—,—,—,BYE,14,6,4,4,7,56,6.2
Luther Burden III,CHI,1,2,3,2,BYE,4,2,1,—,3,5,5,6,6,7,—,9,56,4.0
Keon Coleman,BUF,11,3,4,4,7,6,BYE,4,2,8,—,—,3,3,0,—,—,55,4.6
Andrei Iosivas,CIN,0,5,0,1,7,4,4,3,7,BYE,4,7,2,3,1,1,6,55,3.4
Christian Watson,GB,—,—,—,—,BYE,—,—,4,4,4,5,7,10,4,5,6,6,55,5.5
Darius Slayton,NYG,1,3,4,4,6,—,—,5,7,4,—,2,3,BYE,10,2,3,54,4.2
Sterling Shepard,TB,6,4,5,4,5,3,7,2,BYE,4,5,5,2,1,—,—,—,53,4.1
Ricky Pearsall,SF,7,6,11,5,—,—,—,—,0,—,2,4,3,BYE,7,—,8,53,5.3
Van Jefferson,TEN,0,2,1,1,0,6,4,8,4,BYE,7,1,4,4,5,2,3,52,3.3
Kendrick Bourne,SF,—,3,6,4,11,9,2,4,2,1,0,0,1,BYE,3,5,1,52,3.5
Tyler Lockett,LV,1,3,4,4,4,3,2,BYE,1,6,3,5,1,4,4,2,3,50,3.1
Jalen Nailor,MIN,3,5,5,4,4,BYE,4,1,4,6,1,1,1,3,5,2,1,50,3.1
Christian Kirk,HOU,—,—,8,4,4,BYE,—,—,8,3,4,6,0,3,0,5,5,50,4.2
Chris Godwin Jr.,TB,—,—,—,10,4,—,—,—,BYE,—,—,4,5,8,5,6,8,50,6.3
Ryan Flournoy,DAL,—,0,3,2,9,6,0,2,2,BYE,1,1,3,13,5,2,—,49,3.5
Calvin Austin III,PIT,6,4,5,2,BYE,—,—,6,6,7,1,5,2,2,1,1,—,48,3.7
Xavier Hutchinson,HOU,2,3,3,3,3,BYE,4,6,5,0,5,0,5,2,2,2,3,48,3.0
Marvin Mims Jr.,DEN,4,2,4,6,5,3,7,1,0,—,0,BYE,2,1,6,3,4,48,3.2
Dontayvion Wicks,GB,2,6,4,4,BYE,2,2,—,—,8,2,4,7,0,2,2,1,46,3.3
Travis Hunter,JAC,8,6,2,5,3,7,14,BYE,—,—,—,—,—,—,—,—,—,45,6.4
John Metchie III,NYJ,0,1,1,2,0,0,—,0,BYE,1,3,7,8,8,5,5,3,44,2.9
Pat Bryant,DEN,0,3,0,1,0,2,4,4,3,2,6,BYE,7,4,—,8,—,44,3.1
JuJu Smith-Schuster,KC,5,3,4,6,3,3,3,2,1,BYE,0,2,1,2,1,4,3,43,2.7
DeMario Douglas,NE,7,1,5,0,3,4,3,1,6,2,3,1,3,BYE,0,2,2,43,2.7
Tez Johnson,TB,1,—,1,1,4,3,9,6,BYE,5,3,4,2,0,1,1,2,43,2.9
Isaiah Bond,CLE,1,3,4,6,7,5,0,4,BYE,—,1,2,2,2,4,0,1,42,2.8
Kayshon Boutte,NE,8,1,3,3,3,5,2,5,1,—,—,2,5,BYE,1,3,—,42,3.2
Matthew Golden,GB,2,2,4,6,BYE,5,4,3,3,—,3,—,—,1,4,1,3,41,3.2
Devaughn Vele,NO,2,1,—,0,2,0,0,5,0,3,BYE,7,8,5,6,—,—,39,3.0
Rashod Bateman,BAL,4,4,7,2,3,1,BYE,4,4,2,—,—,1,3,—,2,1,38,2.9
KaVontae Turpin,DAL,2,4,3,4,—,—,1,5,3,BYE,2,2,2,2,2,4,1,37,2.6
Tre' Harris,LAC,1,3,1,1,0,5,2,2,2,2,1,BYE,4,2,5,5,1,37,2.3
Tyquan Thornton,KC,4,5,9,2,5,0,2,0,1,BYE,2,1,0,3,3,—,—,37,2.6
Cedric Tillman,CLE,8,7,3,2,—,—,—,—,BYE,4,4,3,1,3,0,1,1,37,3.1
DeAndre Hopkins,BAL,2,2,2,1,2,4,BYE,1,1,4,4,3,3,1,1,5,1,37,2.3
Brandin Cooks,BUF,4,2,5,4,1,1,1,4,3,0,—,—,1,0,3,1,6,36,2.4
