RK,Player,G,RECEIVING REC,RECEIVING YDS,RECEIVING Y/R,RECEIVING YBC,RECEIVING YBC/R,RECEIVING AIR,RECEIVING AIR/R,RECEIVING YAC,RECEIVING YAC/R,RECEIVING YACON,RECEIVING YACON/R,RECEIVING BRKTKL,TARGETS TGT,TARGETS % TM,TARGETS CATCHABLE,TARGETS DROP,TARGETS RZ TGT,BIG PLAYS 10+ YDS,BIG PLAYS 20+ YDS,BIG PLAYS 30+ YDS,BIG PLAYS 40+ YDS,BIG PLAYS 50+ YDS,BIG PLAYS LNG
1,Puka Nacua   LAR,16,129,"1,715",13.3,"1,049",8.1,"1,541",11.9,666,5.2,261,2.0,11,166,28.6%,133,4,16,70,27,12,3,2,58
2,Jaxon Smith-Njigba   SEA,17,119,"1,793",15.1,"1,265",10.6,"1,831",15.4,528,4.4,174,1.5,3,163,35.8%,126,5,17,76,27,12,8,4,63
3,Amon-Ra St. Brown   DET,17,117,"1,401",12.0,831,7.1,"1,359",11.6,570,4.9,152,1.3,4,172,31.3%,128,10,34,56,19,7,1,1,52
4,George Pickens   DAL,17,93,"1,429",15.4,950,10.2,"1,545",16.6,479,5.2,199,2.1,6,137,22.6%,97,4,21,62,22,9,4,0,45
5,Ja'Marr Chase   CIN,16,125,"1,412",11.3,772,6.2,"1,570",12.6,640,5.1,225,1.8,6,185,30.4%,129,4,21,63,15,5,2,1,64
6,Chris Olave   NO,16,100,"1,163",11.6,874,8.7,"1,841",18.4,289,2.9,47,0.5,2,156,27.6%,105,5,13,42,11,5,4,4,62
7,Davante Adams   LAR,14,60,789,13.2,671,11.2,"1,439",24.0,118,2.0,27,0.5,0,114,19.6%,65,5,31,35,14,3,1,0,44
8,Zay Flowers   BAL,17,86,"1,211",14.1,753,8.8,"1,205",14.0,458,5.3,105,1.2,9,118,29.0%,93,7,10,43,19,10,4,3,64
9,Nico Collins   HOU,15,71,"1,117",15.7,793,11.2,"1,512",21.3,324,4.6,130,1.8,4,120,21.7%,72,1,16,46,18,6,5,4,57
9,Jameson Williams   DET,17,65,"1,117",17.2,676,10.4,"1,303",20.0,441,6.8,140,2.2,4,102,18.5%,77,12,8,45,23,7,5,1,64
11,Tee Higgins   CIN,15,59,846,14.3,680,11.5,"1,286",21.8,166,2.8,65,1.1,5,98,16.1%,61,2,14,34,14,5,3,0,44
12,Courtland Sutton   DEN,17,74,"1,017",13.7,795,10.7,"1,543",20.9,222,3.0,110,1.5,3,124,21.2%,82,8,17,41,17,7,2,1,52
13,Michael Wilson   ARI,17,78,"1,006",12.9,733,9.4,"1,498",19.2,273,3.5,126,1.6,3,126,20.4%,80,1,15,43,14,8,2,1,50
14,A.J. Brown   PHI,15,78,"1,003",12.9,735,9.4,"1,425",18.3,268,3.4,143,1.8,7,121,26.1%,79,1,12,40,14,5,1,0,45
15,Tetairoa McMillan   CAR,17,70,"1,014",14.5,745,10.6,"1,426",20.4,269,3.8,76,1.1,2,122,25.4%,78,8,15,47,17,4,3,0,43
16,Alec Pierce   IND,15,47,"1,003",21.3,829,17.6,"1,587",33.8,174,3.7,58,1.2,1,84,15.8%,48,1,8,39,17,9,5,3,66
17,Drake London   ATL,12,68,919,13.5,690,10.1,"1,220",17.9,229,3.4,74,1.1,0,112,21.6%,71,1,13,40,13,7,3,0,43
18,Emeka Egbuka   TB,17,63,938,14.9,603,9.6,"1,534",24.3,335,5.3,66,1.0,1,127,23.5%,73,9,11,30,20,8,3,2,77
19,Jaylen Waddle   MIA,16,64,910,14.2,682,10.7,"1,306",20.4,228,3.6,66,1.0,4,100,21.6%,68,5,11,43,14,5,3,0,46
