"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Houston Texans","","48.9","14.8","11.6","18.3","2.8","1.0","322.0","5,065.6","120.5"
"Denver Broncos","","59.7","13.3","8.3","12.3","2.4","0.5","318.6","4,842.2","118.2"
"Pittsburgh Steelers","","46.0","13.3","12.8","18.8","2.4","0.0","347.8","5,454.1","112.8"
"Minnesota Vikings","","49.1","12.6","12.1","18.1","2.3","0.0","361.4","5,298.5","112.4"
"Seattle Seahawks","","46.3","13.6","8.4","13.6","3.2","0.5","314.0","5,124.9","110.7"
"Los Angeles Chargers","","48.6","15.3","8.3","12.6","2.0","0.0","366.6","5,470.3","107.7"
"Buffalo Bills","","42.8","14.9","9.6","13.2","2.5","0.5","393.0","5,737.9","107.6"
"Detroit Lions","","48.0","13.4","9.3","14.4","2.2","0.5","374.6","5,462.0","107.5"
"Los Angeles Rams","","46.3","13.4","9.5","14.5","2.3","0.5","347.1","5,241.2","107.1"
"Atlanta Falcons","","46.1","12.6","8.4","13.3","2.3","0.5","414.2","5,580.5","103.0"
"Baltimore Ravens","","46.0","13.1","9.3","14.1","2.0","0.0","355.9","5,253.7","102.8"
"Philadelphia Eagles","","42.2","13.0","10.0","14.4","2.4","0.0","323.2","5,263.8","102.5"
"Chicago Bears","","39.9","14.0","10.9","16.6","2.1","0.0","385.2","5,916.1","102.4"
"Cleveland Browns","","46.4","12.1","8.6","12.8","2.2","0.0","387.3","5,205.4","101.2"
"New Orleans Saints","","45.0","12.2","8.8","12.8","2.3","0.0","399.1","5,484.1","100.5"
"Cincinnati Bengals","","41.2","13.1","9.8","13.9","2.1","0.0","413.4","5,823.7","99.6"
"Jacksonville Jaguars","","37.0","13.9","9.2","13.6","2.6","0.0","387.1","5,493.1","98.8"
"New England Patriots","","40.7","11.6","8.9","12.5","2.6","0.5","356.6","5,269.5","98.1"
"Tampa Bay Buccaneers","","41.0","11.7","10.0","13.4","2.0","0.5","392.5","5,601.7","97.4"
"Tennessee Titans","","44.8","10.0","8.5","13.0","2.1","0.5","463.9","5,957.8","95.4"
"Green Bay Packers","","40.4","11.9","9.7","13.5","1.9","0.0","366.6","5,515.6","95.3"
"Washington Commanders","","43.7","9.7","8.9","13.5","2.1","0.5","439.2","6,140.0","94.5"
"Indianapolis Colts","","39.4","12.9","8.7","12.3","1.9","0.0","394.4","5,522.5","94.3"
"Kansas City Chiefs","","42.0","12.0","8.0","12.3","1.9","0.0","349.3","5,400.2","93.2"
"New York Giants","","40.6","10.8","8.8","12.9","2.0","0.0","418.6","6,062.2","91.9"
"Las Vegas Raiders","","40.9","10.2","8.7","14.0","1.8","0.5","437.2","5,738.0","90.7"
"Miami Dolphins","","42.4","10.1","9.1","13.8","1.6","0.0","450.8","6,088.8","90.7"
"Dallas Cowboys","","41.6","10.4","8.5","13.3","1.9","0.0","442.9","6,092.8","90.6"
"Arizona Cardinals","","35.8","11.8","9.3","14.0","1.9","0.5","466.5","6,154.3","90.3"
"San Francisco 49ers","","35.9","11.1","9.3","15.3","1.9","0.0","395.3","5,648.1","88.0"
"Carolina Panthers","","38.2","11.6","7.1","10.6","1.8","0.0","404.4","5,813.8","86.3"
"New York Jets","","37.5","10.0","8.0","12.2","1.9","0.5","433.1","5,666.8","85.8"
""
""
