"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jahmyr Gibbs","DET","274.4","1,381.0","13.8","70.9","580.6","4.1","1.1","337.1"
"Bijan Robinson","ATL","289.9","1,427.4","9.2","79.2","736.0","3.5","1.8","328.0"
"Christian McCaffrey","SF","269.4","1,093.3","8.7","78.4","694.1","4.6","1.1","295.6"
"Jonathan Taylor","IND","327.4","1,509.4","12.9","45.1","338.2","1.5","1.7","289.9"
"Derrick Henry","BAL","314.0","1,569.0","13.4","17.8","172.2","0.7","1.7","264.2"
"De'Von Achane","MIA","237.9","1,197.9","6.0","65.3","490.6","4.0","1.0","259.4"
"James Cook III","BUF","287.3","1,403.2","10.3","33.3","281.4","1.9","2.4","253.5"
"Ashton Jeanty","LV","281.4","1,107.2","8.0","58.7","413.9","3.3","1.1","247.5"
"Chase Brown","CIN","239.4","1,040.1","7.5","64.4","429.9","3.9","1.1","245.5"
"Saquon Barkley","PHI","295.9","1,311.3","8.2","41.7","330.4","2.1","1.0","245.0"
"Josh Jacobs","GB","288.8","1,161.3","12.0","35.7","283.9","1.2","1.3","239.1"
"Omarion Hampton","LAC","249.1","1,072.5","10.0","51.6","352.8","2.0","1.1","237.7"
"Breece Hall","NYJ","259.3","1,159.7","6.5","47.4","411.3","2.2","1.7","229.9"
"Kenneth Walker III","KC","255.7","1,158.1","8.3","45.1","347.1","1.2","0.9","228.6"
"Jeremiyah Love","ARI","238.3","1,078.4","7.2","54.4","419.3","2.1","2.2","228.5"
"Kyren Williams","LAR","240.2","1,118.1","10.1","33.8","239.6","2.2","1.5","223.2"
"Cam Skattebo","NYG","243.4","1,015.7","8.1","45.8","364.0","2.5","1.6","221.5"
"Javonte Williams","DAL","255.5","1,157.4","10.4","33.0","192.1","1.2","1.6","217.5"
"Travis Etienne Jr.","NO","244.3","1,036.0","5.4","44.9","351.2","3.0","1.0","209.5"
"D'Andre Swift","CHI","233.1","1,053.1","8.1","34.8","300.2","1.0","1.0","205.4"
"Bucky Irving","TB","256.5","1,021.2","6.1","39.9","336.5","2.3","1.0","204.0"
"Quinshon Judkins","CLE","288.8","1,101.5","8.1","31.3","217.3","0.6","0.9","197.7"
