"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","109.0","1,050.6","6.8","0.2","199.8"
"Brock Bowers","LV","96.5","1,025.0","7.5","0.2","195.5"
"Colston Loveland","CHI","78.1","916.0","6.7","0.2","170.2"
"Tyler Warren","IND","82.7","870.9","5.4","0.3","160.4"
"Kyle Pitts Sr.","ATL","79.5","881.0","4.7","0.1","155.9"
"Harold Fannin Jr.","CLE","78.3","811.4","5.4","0.8","151.1"
"Sam LaPorta","DET","69.8","809.7","5.5","0.2","148.2"
"Dallas Goedert","PHI","65.5","688.8","7.6","0.2","146.5"
"Tucker Kraft","GB","60.2","770.4","6.4","0.2","145.2"
"Travis Kelce","KC","74.9","784.5","4.8","0.3","144.4"
"George Kittle","SF","64.9","739.9","5.4","0.2","138.5"
"Mark Andrews","BAL","58.7","608.4","7.4","0.3","133.9"
"Isaiah Likely","NYG","62.9","746.1","5.1","1.3","133.8"
"Dalton Kincaid","BUF","56.8","701.2","5.5","0.2","131.0"
"Jake Ferguson","DAL","74.1","606.7","5.9","1.4","130.6"
"Hunter Henry","NE","56.3","651.7","5.4","0.1","125.5"
"Juwan Johnson","NO","64.8","726.7","3.3","1.3","122.0"
"Brenton Strange","JAC","60.0","658.0","4.3","0.2","121.4"
"Dalton Schultz","HOU","65.8","629.5","3.4","0.2","115.7"
"T.J. Hockenson","MIN","63.9","574.5","3.3","0.2","108.7"
"Pat Freiermuth","PIT","53.0","558.0","4.3","0.2","107.4"
"Greg Dulcich","MIA","54.6","619.7","3.2","1.2","106.2"
"Kenyon Sadiq","NYJ","51.1","557.7","4.1","0.7","104.5"
"Cade Otton","TB","54.9","557.3","3.1","0.1","101.5"
"AJ Barner","SEA","48.6","469.6","4.9","0.2","100.1"
"Chig Okonkwo","WAS","53.8","566.1","2.7","0.1","99.6"
"Oronde Gadsden II","LAC","44.2","550.2","3.5","0.7","96.7"
"Terrance Ferguson","LAR","36.3","500.7","4.5","0.2","94.7"
"Mike Gesicki","CIN","44.0","461.2","3.9","0.1","91.1"
"Evan Engram","DEN","53.4","471.8","2.7","0.1","90.0"
"Gunnar Helm","TEN","48.9","443.1","3.1","0.2","87.0"
"Mason Taylor","NYJ","44.5","390.5","2.4","0.1","75.4"
"Colby Parkinson","LAR","34.3","354.4","3.9","0.6","74.7"
"David Njoku","LAC","34.7","324.2","3.9","0.1","73.1"
"Michael Mayer","LV","40.0","377.4","2.1","0.1","70.1"
"Dawson Knox","BUF","28.7","328.7","2.9","0.1","64.6"
"Theo Johnson","NYG","27.6","314.7","2.9","0.1","62.4"
"Darnell Washington","PIT","30.7","327.7","2.0","0.6","58.6"
"Tyler Higbee","LAR","26.1","306.8","2.4","0.0","58.2"
"Cole Kmet","CHI","25.9","271.4","2.2","0.1","53.3"
"Ja'Tavion Sanders","CAR","29.4","264.6","2.0","0.1","53.1"
"Noah Fant","NO","30.4","285.3","1.7","1.6","50.6"
"Tommy Tremble","CAR","26.6","254.0","2.0","0.1","50.3"
"Will Kacmarek","MIA","26.6","250.8","1.9","0.6","48.5"
"Elijah Arroyo","SEA","23.6","240.1","1.9","0.2","46.6"
"Erick All Jr.","CIN","26.1","228.4","1.6","0.1","45.5"
"Charlie Kolar","LAC","20.2","230.0","2.0","0.1","45.3"
"Austin Hooper","ATL","22.5","236.3","1.6","0.1","44.4"
"Josh Oliver","MIN","18.6","193.9","2.4","0.1","42.8"
"Eli Stowers","PHI","22.7","232.5","1.5","0.6","42.5"
"Daniel Bellinger","TEN","19.3","221.8","1.7","0.0","42.2"
"Brock Wright","DET","19.9","175.2","2.3","0.0","41.3"
"Noah Gray","KC","21.0","211.6","1.5","0.1","40.4"
"Luke Musgrave","GB","21.7","211.6","1.2","0.0","39.0"
"Jake Tonges","SF","19.1","200.0","1.5","0.1","38.5"
"Adam Trautman","DEN","19.4","194.0","1.5","0.0","37.9"
"Eli Raridon","NE","18.8","195.8","1.5","0.6","37.1"
"Davis Allen","LAR","16.9","157.3","1.9","0.0","35.4"
"Ben Sims","MIA","19.5","184.7","1.2","0.0","35.2"
"Marlin Klein","HOU","19.5","193.6","1.1","0.5","34.7"
"John Bates","WAS","18.4","173.3","1.5","0.6","34.6"
"Elijah Higgins","ARI","22.0","196.1","0.8","0.6","34.5"
"Jeremy Ruckert","NYJ","19.7","145.8","1.3","0.0","32.0"
"Mitchell Evans","CAR","15.0","139.1","1.5","0.1","30.2"
"Nate Boerkircher","JAC","14.4","155.3","1.3","0.5","29.4"
"Connor Heyward","LV","14.0","103.0","2.0","0.0","29.3"
"Nick Vannett","SEA","10.0","95.0","2.0","0.0","26.5"
"Drew Sample","CIN","15.1","123.1","1.1","0.1","26.2"
"Nate Adkins","DEN","11.9","88.3","1.8","0.0","25.7"
"Ben Sinnott","WAS","11.8","116.0","1.4","0.0","25.7"
"Cade Stover","HOU","15.2","128.1","0.9","0.1","25.5"
"Jackson Hawes","BUF","10.6","115.1","1.4","0.0","25.4"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","24.8"
"Luke Schoonmaker","DAL","13.2","121.6","0.9","0.0","24.4"
"Will Mallory","IND","11.0","125.0","1.0","0.0","24.0"
"Hayden Rucci","SF","12.0","118.0","1.0","0.0","23.8"
"Charlie Woerner","ATL","14.5","127.3","0.6","0.0","23.5"
"Grant Calcaterra","PHI","11.0","115.0","1.0","0.0","23.0"
"Foster Moreau","HOU","9.3","105.6","1.3","0.0","22.9"
"Teagan Quitoriano","ARI","12.0","109.0","1.0","0.0","22.9"
"Tanner Hudson","CIN","13.1","110.3","0.9","0.1","22.7"
"Cam Grandy","CIN","13.0","100.0","1.0","0.0","22.5"
"Tanner Conner","NYG","10.0","113.0","1.0","0.0","22.3"
"Zaire Mitchell-Paden","NO","11.0","107.0","1.0","0.0","22.2"
"Mo Alie-Cox","IND","10.8","111.0","0.9","0.1","21.7"
"Jaheim Bell","PIT","10.0","98.0","1.0","0.0","20.8"
"Jaren Kanak","TEN","10.0","96.0","1.0","0.0","20.6"
"Zack Kuntz","LV","10.0","90.0","1.0","0.0","20.0"
"Drake Dabney","GB","9.0","94.0","1.0","0.0","19.9"
"Seydou Traore","MIA","9.0","87.0","1.0","0.0","19.2"
"Josh Whyle","GB","9.0","86.0","1.0","0.0","19.1"
"Durham Smythe","BAL","9.8","94.1","0.7","0.1","18.7"
"Payne Durham","TB","7.6","80.8","0.8","0.0","16.7"
"Max Klare","LAR","7.5","82.6","0.7","0.0","16.1"
"Oscar Delp","NO","7.5","75.7","0.6","0.0","15.0"
"Brevyn Spann-Ford","DAL","7.4","71.4","0.7","0.0","14.8"
"Devin Culp","TB","5.5","59.0","1.0","0.0","14.7"
"Tip Reiman","ARI","7.9","62.2","0.6","0.0","13.8"
"Josh Cuevas","BAL","5.7","66.4","0.6","0.0","13.3"
"Jack Stoll","CLE","7.3","62.2","0.6","0.0","13.3"
"Hunter Long","JAC","5.0","44.5","1.0","0.0","13.0"
"Joe Royer","CLE","7.5","67.3","0.3","0.1","12.4"
"Lucas Krull","DEN","6.0","44.5","0.5","0.0","10.5"
