"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1,539.0","9.0","13.6","85.0","1.4","1.0","281.3"
"Ja'Marr Chase","CIN","121.2","1,510.4","10.6","3.0","17.0","0.0","1.0","275.0"
"Jaxon Smith-Njigba","SEA","110.9","1,568.7","9.2","5.5","30.4","0.1","1.1","268.6"
"Amon-Ra St. Brown","DET","117.0","1,390.8","10.5","3.1","11.8","0.0","0.4","261.0"
"Drake London","ATL","101.7","1,327.5","9.1","0.0","0.0","0.0","1.0","236.3"
"CeeDee Lamb","DAL","97.6","1,297.0","7.5","2.4","12.5","0.0","0.3","224.4"
"Rashee Rice","KC","98.8","1,099.3","9.7","5.4","25.5","0.9","0.6","224.0"
"Justin Jefferson","MIN","98.6","1,302.2","6.8","1.3","5.5","0.0","0.3","220.3"
"A.J. Brown","NE","88.7","1,234.4","7.6","0.0","0.0","0.0","0.3","213.1"
"George Pickens","DAL","82.7","1,201.4","8.4","0.3","-0.3","0.0","0.5","210.9"
"Chris Olave","NO","94.2","1,169.9","7.8","0.3","0.0","0.0","0.3","210.3"
"Nico Collins","HOU","82.5","1,211.9","7.2","1.4","8.3","0.4","0.8","207.2"
"Zay Flowers","BAL","81.9","1,170.0","6.5","9.9","58.8","0.5","1.5","202.8"
"Garrett Wilson","NYJ","96.4","1,090.2","6.4","1.1","4.3","0.0","1.0","194.0"
"DeVonta Smith","PHI","87.8","1,134.8","6.0","0.0","0.0","0.0","0.3","192.8"
"Malik Nabers","NYG","78.5","1,047.5","8.0","2.7","7.9","0.0","0.4","192.1"
"Emeka Egbuka","TB","72.9","1,097.4","7.5","1.4","7.3","0.0","0.3","191.5"
"Tetairoa McMillan","CAR","78.5","1,125.4","6.4","0.0","0.0","0.0","0.9","188.5"
"Davante Adams","LAR","68.9","926.4","10.2","0.0","0.0","0.0","0.2","188.0"
"Tee Higgins","CIN","70.7","964.8","9.1","0.0","0.0","0.0","0.2","186.0"
"Jameson Williams","DET","64.4","1,065.0","6.6","7.3","42.0","0.5","0.2","185.1"
"Terry McLaurin","WAS","71.4","980.8","7.6","0.3","0.3","0.0","0.3","178.6"
"Rome Odunze","CHI","63.4","980.2","8.1","0.3","1.3","0.0","0.3","178.1"
"Alec Pierce","IND","63.8","1,049.1","6.5","0.0","0.0","0.0","0.3","175.4"
