TEAM,PROJECTED STARTER,ECR,HANDCUFF,ECR,ADP
Arizona Cardinals,Jeremiyah Love,17,Tyler Allgeier,44,10th round
Atlanta Falcons,Bijan Robinson,2,Brian Robinson Jr.,49,10th round
Baltimore Ravens,Derrick Henry,6,Justice Hill,73,20th round
Buffalo Bills,James Cook III,5,Ray Davis,57,18th round
Carolina Panthers,Chuba Hubbard,30,Jonathon Brooks,39,11th round
Chicago Bears,D'Andre Swift,21,Kyle Monangai,34,6th round
Cincinnati Bengals,Chase Brown,11,Samaje Perine,79,27th round
Cleveland Browns,Quinshon Judkins,20,Dylan Sampson,53,13th round
Dallas Cowboys,Javonte Williams,15,Jaydon Blue,68,19th round
Denver Broncos,J.K. Dobbins,31,RJ Harvey,35,5th round
Detroit Lions,Jahmyr Gibbs,1,Isiah Pacheco,48,13th round
Green Bay Packers,Josh Jacobs,14,MarShawn Lloyd,64,21st round
Houston Texans,David Montgomery,23,Woody Marks,45,10th round
Indianapolis Colts,Jonathan Taylor,3,DJ Giddens,74,28th round
Jacksonville Jaguars,Bhayshul Tuten,25,Chris Rodriguez Jr.,42,13th round
Kansas City Chiefs,Kenneth Walker III,10,Emmett Johnson,61,14th round
Los Angeles Chargers,Omarion Hampton,9,Kimani Vidal,58,16th round
Los Angeles Rams,Kyren Williams,13,Blake Corum,33,7th round
Las Vegas Raiders,Ashton Jeanty,8,Mike Washington Jr.,65,15th round
Miami Dolphins,De'Von Achane,12,Ollie Gordon II,66,28th round
Minnesota Vikings,Jordan Mason,37,Aaron Jones Sr.,41,9th round
New England Patriots,TreVeyon Henderson,24,Rhamondre Stevenson,29,6th round
New Orleans Saints,Travis Etienne Jr.,18,Alvin Kamara,51,11th round
New York Giants,Cam Skattebo,19,Tyrone Tracy Jr.,43,11th round
New York Jets,Breece Hall,16,Braelon Allen,55,14th round
Philadelphia Eagles,Saquon Barkley,7,Tank Bigsby,47,14th round
Pittsburgh Steelers,Rico Dowdle,32,Jaylen Warren,28,6th round
Seattle Seahawks,Jadarian Price,26,Emanuel Wilson,59,19th round
San Francisco 49ers,Christian McCaffrey,4,Jordan James,76,23rd round
Tampa Bay Buccaneers,Bucky Irving,22,Kenny Gainwell,40,8th round
Tennessee Titans,Tony Pollard,27,Tyjae Spears,52,11th round
Washington Commanders,Rachaad White,38,Jacory Croskey-Merritt,36,9th round
