Players RK,Players PLAYER,Passing COMP,Passing ATT,Passing PCT,Passing YDS,Passing Y/A,Passing TD,Passing INT,Passing SK,Rushing ATT,Rushing YDS,Rushing TD,Rushing PCT,Misc FL,Misc G,Misc FPTS,Misc FPTS/G,Misc ROST %
1,Josh Allen   BUF,42,65,64.6%,279,4.3,16,3,5,33,80,13,100.0%,0,17,161.2,9.5,99.5%
2,Trevor Lawrence   JAC,48,85,56.5%,315,3.7,21,4,2,23,85,9,100.0%,1,17,157.1,9.2,89.4%
3,Matthew Stafford   LAR,64,103,62.1%,407,4.0,31,2,3,7,-3,0,100.0%,0,17,140.0,8.2,91.3%
4,Jalen Hurts   PHI,37,52,71.2%,233,4.5,16,2,2,27,69,8,100.0%,1,16,126.2,7.9,97.7%
5,Patrick Mahomes II   KC,46,87,52.9%,284,3.3,18,3,3,15,98,5,93.8%,0,14,123.2,8.8,91.2%
6,Bo Nix   DEN,51,82,62.2%,355,4.3,17,1,2,17,65,5,100.0%,0,17,118.7,7.0,87.5%
7,Drake Maye   NE,44,69,63.8%,303,4.4,19,3,10,20,61,4,100.0%,0,17,118.2,7.0,98.5%
8,Jared Goff   DET,51,85,60.0%,409,4.8,24,2,5,3,0,0,100.0%,0,17,112.4,6.6,77.7%
9,Dak Prescott   DAL,56,98,57.1%,342,3.5,21,3,6,12,17,2,100.0%,0,17,111.4,6.6,93.3%
10,Justin Herbert   LAC,43,82,52.4%,295,3.6,20,4,7,13,31,2,100.0%,0,16,106.9,6.7,93.2%
11,Daniel Jones   IND,34,57,59.6%,226,4.0,16,0,4,16,30,5,94.1%,0,13,106.0,8.2,41.0%
12,Brock Purdy   SF,33,55,60.0%,213,3.9,16,0,1,7,37,3,70.0%,0,9,94.2,10.5,90.4%
13,Jaxson Dart   NYG,18,42,42.9%,156,3.7,8,0,6,20,76,8,69.0%,0,14,93.8,6.7,93.6%
14,Jacoby Brissett   ARI,46,80,57.5%,370,4.6,18,2,8,5,3,1,55.6%,0,14,93.1,6.6,25.8%
15,Caleb Williams   CHI,37,71,52.1%,185,2.6,13,2,5,19,67,3,100.0%,0,17,90.3,5.3,93.2%
16,Jordan Love   GB,39,65,60.0%,291,4.5,17,1,1,6,25,0,54.5%,0,15,82.1,5.5,58.6%
17,Baker Mayfield   TB,39,63,61.9%,270,4.3,15,1,3,9,16,1,100.0%,0,17,78.4,4.6,61.9%
18,J.J. McCarthy   MIN,16,32,50.0%,149,4.7,10,0,6,6,45,4,75.0%,0,10,74.5,7.5,11.2%
19,Aaron Rodgers   PIT,44,71,62.0%,294,4.1,14,1,2,3,4,1,75.0%,0,16,74.2,4.6,19.0%
20,Tua Tagovailoa   ATL,36,55,65.5%,240,4.4,16,0,4,2,6,0,100.0%,0,14,74.2,5.3,22.4%
21,Geno Smith   NYJ,35,58,60.3%,215,3.7,15,3,6,7,21,0,100.0%,0,15,70.7,4.7,16.3%
22,Bryce Young   CAR,37,64,57.8%,215,3.4,12,2,4,11,34,2,100.0%,1,16,70.0,4.4,31.9%
23,Sam Darnold   SEA,37,64,57.8%,260,4.1,15,2,3,6,4,0,100.0%,1,17,68.8,4.0,42.8%
24,Lamar Jackson   BAL,19,44,43.2%,133,3.0,11,2,7,13,53,2,65.0%,0,13,66.6,5.1,99.1%
25,Cam Ward   TEN,35,53,66.0%,176,3.3,12,2,5,9,13,1,100.0%,0,17,62.3,3.7,28.9%
26,Mac Jones   SF,30,39,76.9%,198,5.1,12,0,2,3,4,0,30.0%,0,11,56.3,5.1,8.4%
27,Joe Flacco   CIN,24,46,52.2%,184,4.0,10,1,3,7,-8,1,70.0%,0,13,52.6,4.0,4.0%
28,C.J. Stroud   HOU,28,50,56.0%,143,2.9,11,0,4,7,10,0,77.8%,0,14,50.7,3.6,40.0%
29,Joe Burrow   CIN,18,36,50.0%,144,4.0,11,1,0,2,4,0,50.0%,0,8,50.2,6.3,98.0%
30,Michael Penix Jr.   ATL,16,30,53.3%,109,3.6,8,0,2,3,10,1,75.0%,0,9,43.4,4.8,12.8%
31,Kirk Cousins   LV,16,27,59.3%,128,4.7,8,0,1,1,1,1,25.0%,0,10,43.2,4.3,11.2%
32,Jayden Daniels   WAS,11,22,50.0%,91,4.1,6,1,3,6,26,2,42.9%,0,7,42.2,6.0,97.3%
33,Marcus Mariota   WAS,14,30,46.7%,90,3.0,7,2,0,8,18,1,57.1%,0,12,39.4,3.3,3.9%
34,Tyler Shough   NO,12,17,70.6%,113,6.6,6,0,5,12,29,1,75.0%,0,11,37.4,3.4,51.7%
35,Justin Fields   KC,12,23,52.2%,89,3.9,3,0,3,11,35,3,78.6%,0,9,37.1,4.1,8.0%
36,Kyler Murray   MIN,13,20,65.0%,78,3.9,6,1,1,4,13,1,44.4%,1,5,32.4,6.5,72.7%
37,Davis Mills   HOU,12,25,48.0%,92,3.7,5,0,3,2,14,1,22.2%,0,6,31.1,5.2,1.5%
38,Spencer Rattler   NO,16,32,50.0%,99,3.1,6,0,0,4,31,0,25.0%,0,9,31.1,3.5,1.1%
39,Carson Wentz   MIN,18,34,52.9%,128,3.8,6,0,4,2,3,0,25.0%,0,5,29.4,5.9,0.8%
40,Dillon Gabriel   CLE,15,32,46.9%,94,2.9,6,0,2,2,8,0,20.0%,0,10,28.6,2.9,0.6%
41,Jake Browning   TB,8,11,72.7%,54,4.9,4,0,1,2,14,1,50.0%,0,5,25.6,5.1,0.6%
42,Tyrod Taylor   GB,7,15,46.7%,49,3.3,4,0,0,3,13,1,21.4%,0,6,25.3,4.2,0.9%
43,Shedeur Sanders   CLE,8,13,61.5%,44,3.4,3,0,2,1,7,1,10.0%,0,8,20.5,2.6,15.1%
44,Philip Rivers   FA,5,8,62.5%,57,7.1,4,0,0,0,0,0,0.0%,0,3,18.3,6.1,2.8%
45,Malik Willis   MIA,5,8,62.5%,10,1.3,1,0,0,5,29,1,45.5%,0,4,13.3,3.3,45.2%
46,Tyler Huntley   BAL,8,13,61.5%,46,3.5,2,0,3,7,25,0,35.0%,0,5,12.3,2.5,3.1%
47,Jameis Winston   NYG,2,9,22.2%,15,1.7,1,1,1,2,3,1,6.9%,0,3,10.9,3.6,4.9%
48,Mason Rudolph   PIT,4,5,80.0%,21,4.2,2,0,0,1,2,0,25.0%,0,5,9.0,1.8,0.7%
49,Riley Leonard   IND,3,8,37.5%,16,2.0,0,0,0,1,6,1,5.9%,0,5,7.2,1.4,3.2%
50,Andy Dalton   PHI,5,6,83.3%,23,3.8,1,0,1,0,0,0,0.0%,0,4,4.9,1.2,0.6%
51,Brady Cook   NYJ,5,18,27.8%,19,1.1,1,3,0,0,0,0,0.0%,0,5,4.8,1.0,0.6%
52,Chris Oladokun   KC,2,4,50.0%,7,1.8,1,0,1,1,4,0,6.3%,0,3,4.7,1.6,1.6%
53,Quinn Ewers   MIA,5,7,71.4%,25,3.6,1,0,0,0,0,0,0.0%,0,4,4.4,1.1,3.4%
54,Russell Wilson   FA,4,20,20.0%,16,0.8,0,0,0,7,21,0,24.1%,0,6,2.7,0.5,0.6%
55,Max Brosmer   MIN,3,5,60.0%,9,1.8,0,1,0,0,0,0,0.0%,0,7,0.4,0.1,0.6%
56,Teddy Bridgewater   DET,2,5,40.0%,7,1.4,0,0,2,0,0,0,0.0%,0,4,0.3,0.1,1.1%
57,Josh Johnson   CIN,1,3,33.3%,6,2.0,0,0,1,0,0,0,0.0%,0,5,0.2,0.0,0.7%
58,Kenny Pickett   CAR,1,2,50.0%,2,1.0,0,0,0,0,0,0,0.0%,0,6,0.1,0.0,1.0%
59,Cooper Rush   ATL,1,1,100.0%,1,1.0,0,0,0,0,0,0,0.0%,0,4,0.0,0.0,0.7%
60,Joe Milton III   DAL,0,2,0.0%,0,0.0,0,1,0,0,0,0,0.0%,0,4,0.0,0.0,2.6%
