Players RK,Players PLAYER,Rushing ATT,Rushing YDS,Rushing Y/A,Rushing TD,Rushing PCT,Receiving REC,Receiving TGT,Receiving REC PCT,Receiving YDS,Receiving Y/R,Receiving TD,Receiving TGT PCT,Misc FL,Misc G,Misc FPTS,Misc FPTS/G,Misc ROST %
1,Christian McCaffrey   SF,74,119,1.6,10,84.1%,20,24,83.3%,118,5.9,7,72.7%,0,17,125.7,7.4,99.5%
2,Jonathan Taylor   IND,69,207,3.0,14,93.2%,4,4,100.0%,33,8.3,2,57.1%,0,17,120.0,7.1,99.3%
3,Jahmyr Gibbs   DET,51,166,3.3,9,61.4%,11,13,84.6%,97,8.8,4,86.7%,0,17,104.3,6.1,99.4%
4,Kyren Williams   LAR,49,146,3.0,10,66.2%,8,9,88.9%,60,7.5,3,90.0%,1,17,96.6,5.7,98.1%
5,Josh Jacobs   GB,52,153,2.9,12,69.3%,5,6,83.3%,29,5.8,1,54.5%,1,15,94.2,6.3,98.7%
6,Javonte Williams   DAL,54,159,2.9,10,77.1%,8,12,66.7%,29,3.6,2,75.0%,0,16,90.8,5.7,96.8%
7,Travis Etienne Jr.   NO,51,152,3.0,5,65.4%,8,10,80.0%,77,9.6,5,71.4%,0,17,82.9,4.9,95.9%
8,Chase Brown   CIN,36,116,3.2,6,72.0%,7,10,70.0%,59,8.4,4,90.9%,0,17,77.5,4.6,98.7%
9,Derrick Henry   BAL,63,158,2.5,10,76.8%,2,2,100.0%,13,6.5,0,50.0%,0,17,77.1,4.5,99.1%
10,Zach Charbonnet   SEA,45,105,2.3,11,54.2%,2,2,100.0%,2,1.0,0,40.0%,0,16,76.7,4.8,70.5%
11,RJ Harvey   DEN,24,47,2.0,5,47.1%,8,9,88.9%,44,5.5,4,60.0%,0,17,63.1,3.7,86.0%
12,James Cook III   BUF,56,154,2.8,7,77.8%,3,3,100.0%,10,3.3,1,33.3%,1,17,62.4,3.7,99.5%
13,D'Andre Swift   CHI,39,131,3.4,8,52.0%,1,1,100.0%,10,10.0,0,25.0%,0,16,62.1,3.9,93.9%
14,Kareem Hunt   FA,37,86,2.3,8,55.2%,2,5,40.0%,13,6.5,1,31.3%,1,17,61.9,3.6,1.3%
15,Bijan Robinson   ATL,34,88,2.6,5,51.5%,9,13,69.2%,71,7.9,3,92.9%,2,17,59.9,3.5,99.4%
16,Jacory Croskey-Merritt   WAS,26,105,4.0,7,43.3%,1,1,100.0%,11,11.0,0,25.0%,0,17,53.6,3.2,74.7%
17,Ashton Jeanty   LV,30,47,1.6,3,88.2%,9,10,90.0%,44,4.9,4,90.9%,0,17,51.1,3.0,99.1%
18,De'Von Achane   MIA,32,97,3.0,3,57.1%,7,11,63.6%,51,7.3,3,84.6%,0,16,50.8,3.2,99.2%
19,Cam Skattebo   NYG,23,65,2.8,5,38.3%,3,4,75.0%,32,10.7,2,44.4%,1,8,49.7,6.2,96.4%
20,Tyler Allgeier   ARI,32,72,2.3,7,48.5%,1,1,100.0%,4,4.0,0,7.1%,0,17,49.6,2.9,46.5%
21,Kenny Gainwell   TB,21,48,2.3,4,33.3%,14,17,82.4%,74,5.3,2,73.9%,0,17,48.2,2.8,82.0%
22,David Montgomery   HOU,32,61,1.9,6,38.6%,1,2,50.0%,7,7.0,0,13.3%,0,17,46.9,2.8,93.5%
23,Saquon Barkley   PHI,43,83,1.9,5,76.8%,5,7,71.4%,22,4.4,1,87.5%,0,16,46.5,2.9,99.4%
24,Jordan Mason   MIN,27,101,3.7,6,61.4%,1,1,100.0%,1,1.0,0,12.5%,0,16,46.2,2.9,70.8%
25,Rico Dowdle   PIT,33,78,2.4,6,60.0%,3,5,60.0%,13,4.3,0,45.5%,0,17,45.1,2.7,89.4%
26,Bhayshul Tuten   JAC,23,66,2.9,4,29.5%,2,2,100.0%,24,12.0,2,14.3%,0,15,45.0,3.0,90.0%
27,Quinshon Judkins   CLE,32,56,1.8,6,65.3%,1,1,100.0%,16,16.0,0,6.7%,0,14,43.2,3.1,93.7%
28,Sean Tucker   TB,21,61,2.9,6,38.2%,1,3,33.3%,-4,-4.0,0,17.6%,0,17,41.7,2.5,19.0%
29,Kyle Monangai   CHI,36,102,2.8,5,48.0%,2,3,66.7%,1,0.5,0,75.0%,0,17,40.3,2.4,84.3%
30,Blake Corum   LAR,25,89,3.6,5,33.8%,0,1,0.0%,0,0.0,0,10.0%,0,17,38.9,2.3,82.4%
31,Jaylen Warren   PIT,34,75,2.2,4,54.0%,3,4,75.0%,14,4.7,1,17.4%,0,16,38.9,2.4,90.5%
