Players RK,Players PLAYER,Receiving REC,Receiving TGT,Receiving REC PCT,Receiving YDS,Receiving Y/R,Receiving TD,Receiving TGT PCT,Rushing ATT,Rushing YDS,Rushing TD,Rushing PCT,Misc FL,Misc G,Misc FPTS,Misc FPTS/G,Misc ROST %
1,Trey McBride   ARI,20,33,60.6%,177,8.9,11,84.6%,0,0,0,0.0%,0,17,83.7,4.9,99.3%
2,Dallas Goedert   PHI,13,15,86.7%,77,5.9,10,93.8%,0,0,0,0.0%,0,15,67.7,4.5,86.5%
3,Jake Ferguson   DAL,15,23,65.2%,97,6.5,7,85.2%,0,0,0,0.0%,0,17,51.7,3.0,88.9%
4,AJ Barner   SEA,10,13,76.9%,100,10.0,5,61.9%,3,4,1,100.0%,0,17,46.4,2.7,27.0%
5,George Kittle   SF,12,13,92.3%,96,8.0,6,54.2%,1,-3,0,100.0%,0,11,45.3,4.1,92.4%
6,Brock Bowers   LV,10,17,58.8%,76,7.6,6,73.9%,0,0,0,0.0%,0,12,43.6,3.6,99.2%
7,Hunter Henry   NE,13,21,61.9%,122,9.4,5,84.0%,0,0,0,0.0%,0,17,42.2,2.5,65.6%
8,Tucker Kraft   GB,9,12,75.0%,104,11.6,5,66.7%,0,0,0,0.0%,0,8,40.4,5.1,93.5%
9,Darren Waller   FA,6,7,85.7%,43,7.2,6,36.8%,0,0,0,0.0%,0,9,40.3,4.5,1.6%
10,Colby Parkinson   LAR,14,20,70.0%,110,7.9,5,54.1%,0,0,0,0.0%,1,15,39.0,2.6,20.1%
11,Tyler Warren   IND,10,19,52.6%,56,5.6,4,73.1%,4,5,1,100.0%,0,17,36.1,2.1,98.3%
12,Kyle Pitts Sr.   ATL,7,10,70.0%,50,7.1,5,90.9%,0,0,0,0.0%,0,17,35.0,2.1,95.0%
13,Harold Fannin Jr.   CLE,7,11,63.6%,48,6.9,4,52.4%,2,2,1,100.0%,0,16,35.0,2.2,94.0%
14,Zach Ertz   FA,6,8,75.0%,53,8.8,4,80.0%,0,0,0,0.0%,0,13,29.3,2.3,1.2%
15,Mark Andrews   BAL,6,15,40.0%,51,8.5,4,57.7%,3,2,0,100.0%,0,17,29.3,1.7,82.5%
16,David Njoku   LAC,6,9,66.7%,44,7.3,4,42.9%,0,0,0,0.0%,0,12,28.4,2.4,24.8%
17,Theo Johnson   NYG,6,14,42.9%,38,6.3,4,70.0%,0,0,0,0.0%,0,15,27.8,1.9,11.5%
18,Jake Tonges   SF,6,7,85.7%,28,4.7,4,29.2%,0,0,0,0.0%,0,16,26.8,1.7,14.2%
19,Dalton Kincaid   BUF,6,8,75.0%,69,11.5,3,36.4%,0,0,0,0.0%,0,12,24.9,2.1,78.8%
20,Travis Kelce   KC,9,12,75.0%,61,6.8,3,85.7%,1,1,0,100.0%,0,17,24.2,1.4,89.4%
21,T.J. Hockenson   MIN,8,11,72.7%,55,6.9,3,64.7%,1,0,0,100.0%,0,15,23.5,1.6,55.8%
22,Josh Oliver   MIN,5,6,83.3%,48,9.6,3,35.3%,0,0,0,0.0%,0,15,22.8,1.5,0.7%
23,Colston Loveland   CHI,8,12,66.7%,48,6.0,3,66.7%,1,-2,0,100.0%,0,16,22.6,1.4,98.6%
24,Jonnu Smith   FA,4,6,66.7%,28,7.0,2,25.0%,2,17,1,33.3%,0,17,22.5,1.3,3.8%
25,Dawson Knox   BUF,6,11,54.5%,45,7.5,3,50.0%,0,0,0,0.0%,0,17,22.5,1.3,7.4%
26,Oronde Gadsden II   LAC,7,15,46.7%,45,6.4,3,93.8%,0,0,0,0.0%,0,15,22.5,1.5,49.7%
27,Pat Freiermuth   PIT,5,8,62.5%,38,7.6,3,33.3%,0,0,0,0.0%,0,17,21.8,1.3,16.7%
28,Davis Allen   LAR,5,7,71.4%,37,7.4,3,18.9%,0,0,0,0.0%,0,20,21.7,1.1,0.6%
29,Dalton Schultz   HOU,5,11,45.5%,31,6.2,3,78.6%,0,0,0,0.0%,0,17,21.1,1.2,29.1%
30,Juwan Johnson   NO,5,8,62.5%,40,8.0,2,80.0%,0,0,0,0.0%,0,17,16.0,0.9,46.2%
31,Mike Gesicki   CIN,3,7,42.9%,31,10.3,2,38.9%,0,0,0,0.0%,0,13,15.1,1.2,10.7%
32,Luke Farrell   SF,3,4,75.0%,29,9.7,2,16.7%,0,0,0,0.0%,0,17,14.9,0.9,0.6%
33,Tyler Higbee   LAR,5,7,71.4%,26,5.2,2,18.9%,0,0,0,0.0%,0,10,14.6,1.5,3.1%
34,Tanner Hudson   CIN,3,6,50.0%,24,8.0,2,33.3%,0,0,0,0.0%,0,13,14.4,1.1,1.2%
35,Sam LaPorta   DET,4,6,66.7%,24,6.0,2,40.0%,0,0,0,0.0%,0,9,14.4,1.6,95.6%
36,Hunter Long   JAC,3,4,75.0%,21,7.0,2,26.7%,0,0,0,0.0%,0,9,14.1,1.6,1.0%
37,Connor Heyward   LV,1,2,50.0%,12,12.0,1,8.3%,4,8,1,66.7%,0,17,14.0,0.8,0.1%
38,Jackson Hawes   BUF,3,3,100.0%,20,6.7,2,13.6%,0,0,0,0.0%,0,18,14.0,0.8,0.6%
39,Austin Hooper   ATL,3,4,75.0%,15,5.0,2,16.0%,0,0,0,0.0%,0,17,13.5,0.8,1.4%
40,Charlie Kolar   LAC,2,3,66.7%,13,6.5,2,11.5%,0,0,0,0.0%,0,17,13.3,0.8,2.0%
41,Brock Wright   DET,2,2,100.0%,11,5.5,2,13.3%,0,0,0,0.0%,0,11,13.1,1.2,0.7%
42,Noah Fant   NO,2,4,50.0%,6,3.0,2,22.2%,0,0,0,0.0%,0,15,12.6,0.8,2.3%
43,Mitchell Evans   CAR,2,4,50.0%,6,3.0,2,22.2%,0,0,0,0.0%,0,17,12.6,0.7,0.7%
44,Evan Engram   DEN,7,10,70.0%,52,7.4,1,76.9%,0,0,0,0.0%,0,16,11.2,0.7,13.1%
45,Ja'Tavion Sanders   CAR,8,10,80.0%,44,5.5,1,55.6%,0,0,0,0.0%,0,13,10.4,0.8,3.3%
46,Mason Taylor   NYJ,7,8,87.5%,35,5.0,1,61.5%,0,0,0,0.0%,0,13,9.5,0.7,11.1%
47,Gunnar Helm   TEN,5,8,62.5%,31,6.2,1,57.1%,0,0,0,0.0%,0,16,9.1,0.6,17.0%
48,Mo Alie-Cox   IND,4,5,80.0%,27,6.8,1,19.2%,0,0,0,0.0%,0,17,8.7,0.5,0.6%
49,Cole Kmet   CHI,3,6,50.0%,26,8.7,1,33.3%,0,0,0,0.0%,0,16,8.6,0.5,7.3%
50,Michael Mayer   LV,4,5,80.0%,25,6.3,1,21.7%,0,0,0,0.0%,0,13,8.5,0.7,11.5%
51,Tommy Tremble   CAR,3,4,75.0%,24,8.0,1,22.2%,0,0,0,0.0%,0,17,8.4,0.5,0.7%
