Players RK,Players PLAYER,Receiving REC,Receiving TGT,Receiving REC PCT,Receiving YDS,Receiving Y/R,Receiving TD,Receiving TGT PCT,Rushing ATT,Rushing YDS,Rushing TD,Rushing PCT,Misc FL,Misc G,Misc FPTS,Misc FPTS/G,Misc ROST %
1,Davante Adams   LAR,13,32,40.6%,65,5.0,12,58.2%,0,0,0,0.0%,0,14,78.5,5.6,97.3%
2,Amon-Ra St. Brown   DET,20,32,62.5%,134,6.7,10,60.4%,1,1,0,50.0%,0,17,73.5,4.3,99.4%
3,Jauan Jennings   MIN,11,19,57.9%,85,7.7,7,65.5%,0,0,0,0.0%,0,15,50.5,3.4,35.2%
4,Ja'Marr Chase   CIN,12,21,57.1%,107,8.9,6,47.7%,0,0,0,0.0%,0,16,46.7,2.9,99.4%
5,Isaac TeSlaa   DET,7,11,63.6%,89,12.7,6,20.8%,0,0,0,0.0%,0,17,44.9,2.6,19.4%
6,Jaxon Smith-Njigba   SEA,10,17,58.8%,63,6.3,6,53.1%,0,0,0,0.0%,0,17,42.3,2.5,99.6%
7,Drake London   ATL,8,13,61.5%,57,7.1,6,46.4%,0,0,0,0.0%,0,12,41.7,3.5,99.2%
8,Chris Olave   NO,7,15,46.7%,84,12.0,5,45.5%,0,0,0,0.0%,0,16,38.4,2.4,98.1%
9,Deebo Samuel Sr.   SF,9,12,75.0%,62,6.9,4,38.7%,4,16,1,100.0%,0,16,37.8,2.4,55.3%
10,Rashee Rice   KC,11,18,61.1%,53,4.8,4,37.5%,3,12,1,100.0%,0,8,36.5,4.6,98.4%
11,Hollywood Brown   PHI,7,10,70.0%,51,7.3,5,20.8%,0,0,0,0.0%,0,16,35.1,2.2,5.4%
12,Romeo Doubs   NE,10,17,58.8%,51,5.1,5,45.9%,0,0,0,0.0%,0,16,35.1,2.2,66.5%
13,Michael Pittman Jr.   PIT,7,13,53.8%,48,6.9,5,29.5%,0,0,0,0.0%,0,17,34.8,2.0,87.0%
14,Troy Franklin   DEN,14,17,82.4%,94,6.7,4,32.7%,0,0,0,0.0%,0,18,33.4,1.9,13.1%
15,George Pickens   DAL,11,21,52.4%,84,7.6,4,38.9%,0,0,0,0.0%,0,17,32.4,1.9,99.2%
16,DJ Moore   BUF,6,11,54.5%,17,2.8,3,26.2%,2,23,1,100.0%,0,17,32.1,1.9,92.7%
17,Quentin Johnston   LAC,10,15,66.7%,75,7.5,4,28.8%,0,0,0,0.0%,0,14,31.5,2.3,82.1%
18,Puka Nacua   LAR,11,14,78.6%,70,6.4,4,25.5%,1,3,0,50.0%,0,16,31.3,2.0,99.5%
19,Tetairoa McMillan   CAR,9,14,64.3%,73,8.1,4,36.8%,0,0,0,0.0%,0,17,31.3,1.8,98.0%
20,Courtland Sutton   DEN,7,19,36.8%,72,10.3,4,36.5%,0,0,0,0.0%,0,17,31.2,1.8,88.6%
21,Michael Wilson   ARI,7,14,50.0%,70,10.0,4,36.8%,0,0,0,0.0%,0,17,31.0,1.8,85.1%
22,Keenan Allen   LAC,7,16,43.8%,68,9.7,4,30.8%,0,0,0,0.0%,0,17,30.8,1.8,8.0%
23,Josh Downs   IND,10,15,66.7%,68,6.8,4,34.1%,0,0,0,0.0%,0,16,30.8,1.9,81.5%
