"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Kam Curl (LAR)","79","43","2","2","5","2","1","0","0","17","185.7","10.9","54.6%"
"2","Nick Cross (IND)","72","48","2.5","5","5","1","1","0","0","17","183.5","10.8","55.1%"
"3","Tre'von Moehrig (CAR)","65","38","3","14","2","1","0","0","0","16","181.4","11.3","40.2%"
"4","Kamari Lassiter (HOU)","62","29","0","7","17","4","0","0","0","16","178.2","11.1","41.2%"
"5","Tykee Smith (TB)","61","39","2","6","13","1","0","2","0","16","176.6","11.0","51.7%"
"6","Nahshon Wright (CHI)","54","26","0","3","11","5","2","3","1","17","176.0","10.4","9.1%"
"7","Talanoa Hufanga (DEN)","67","39","2","6","11","0","1","0","0","17","173.8","10.2","46.5%"
"8","Kevin Byard III (CHI)","61","32","0","4","8","7","0","0","0","17","172.8","10.2","38.9%"
"9","Jordan Battle (CIN)","59","53","0","2","6","4","2","0","0","17","170.7","10.0","30.8%"
"10","Geno Stone (CIN)","65","39","2","4","4","2","0","0","1","17","167.1","9.8","18.8%"
"11","Kyle Hamilton (BAL)","59","46","1","7","9","0","2","0","0","16","166.4","10.4","78.8%"
"12","Chamarri Conner (KC)","68","39","2","4","2","1","2","0","0","17","165.6","9.7","43.1%"
"13","Budda Baker (ARI)","57","63","0.5","4","5","1","0","1","0","16","161.7","10.1","57.2%"
"14","Derwin James Jr. (LAC)","50","44","2","6","7","3","1","0","0","16","160.8","10.1","67.3%"
"15","Mike Jackson Sr. (CAR)","54","14","0","4","19","4","1","0","1","17","160.4","9.4","12.7%"
"16","Alontae Taylor (NO)","59","24","2","7","11","2","0","0","0","17","158.9","9.3","22.1%"
"17","Xavier Watts (ATL)","58","34","0","0","11","5","0","1","0","17","158.5","9.3","33.9%"
"18","Tyson Campbell (CLE)","54","32","0","2","18","1","2","0","1","17","156.4","9.2","20.6%"
"19","Dane Belton (NYG)","53","47","2","3","5","1","3","0","0","17","155.1","9.1","20.4%"
