"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Jordyn Brooks (MIA)","99","84","3.5","13","3","0","1","1","0","17","270.9","15.9","80.7%"
"2","Jack Campbell (DET)","85","81","5","9","4","0","3","2","0","17","257.1","15.1","88.0%"
"3","Devin White (LV)","95","79","2.5","11","3","1","1","0","0","17","253.2","14.9","21.8%"
"4","Bobby Wagner (WAS)","79","84","4.5","8","4","2","0","0","0","17","236.0","13.9","19.6%"
"5","Cedric Gray (TEN)","95","65","1","7","4","0","0","1","0","16","223.4","14.0","57.4%"
"6","Nick Bolton (KC)","73","81","1","10","6","1","1","0","0","17","217.7","12.8","72.0%"
"7","Devin Bush Jr. (CLE)","62","63","2","7","8","3","2","1","2","17","217.1","12.8","40.4%"
"8","Nate Landman (LAR)","64","68","2.5","8","6","1","4","2","0","17","215.4","12.7","47.6%"
"9","Tyrel Dodson (MIA)","72","57","5","10","3","1","1","1","0","16","213.7","13.4","34.0%"
"10","Foyesade Oluokun (JAC)","69","74","1","5","11","1","2","1","0","17","209.6","12.3","73.9%"
"11","Jamien Sherwood (NYJ)","71","83","2","8","8","0","0","0","0","17","209.2","12.3","56.7%"
"12","Carson Schwesinger (CLE)","63","82","2.5","11","3","2","0","0","0","16","208.4","13.0","79.9%"
"13","Eric Wilson (MIN)","55","53","6.5","17","0","0","3","0","0","17","203.3","12.0","20.8%"
"14","Zack Baun (PHI)","64","59","3.5","7","7","2","1","1","0","16","200.7","12.5","63.5%"
"15","Bobby Okereke (NYG)","78","65","1","2","6","2","0","1","0","17","198.2","11.7","20.2%"
"16","Ernest Jones IV (SEA)","60","66","0.5","4","7","5","0","0","1","15","193.4","12.9","54.9%"
"17","Germaine Pratt (IND)","67","59","0","6","10","1","1","2","0","16","192.1","12.0","7.9%"
"18","Lavonte David (TB)","61","53","3.5","8","3","1","2","2","0","17","191.1","11.2","8.9%"
"19","Demario Davis (NO)","64","79","0.5","6","3","0","2","1","0","17","189.2","11.1","29.3%"
"20","Roquan Smith (BAL)","76","54","0","5","3","0","0","1","1","15","181.8","12.1","73.5%"
"21","Kaden Elliss (ATL)","59","48","3.5","10","6","1","1","0","0","17","181.7","10.7","26.8%"
"22","Tremaine Edmunds (CHI)","61","51","1","3","9","4","0","1","0","13","179.2","13.8","36.0%"
"23","Blake Cashman (MIN)","61","83","2","4","2","0","1","0","0","13","179.1","13.8","56.9%"
"24","Zaire Franklin (IND)","62","63","2","7","5","0","1","0","0","17","177.6","10.4","45.4%"
"25","Quay Walker (GB)","58","70","2.5","8","5","0","0","0","0","14","177.3","12.7","55.8%"
"26","Christian Rozeboom (CAR)","59","63","2","7","3","1","1","0","0","15","175.1","11.7","16.0%"
"27","SirVocea Dennis (TB)","65","35","3","10","5","1","0","0","0","16","173.6","10.9","16.4%"
"28","Patrick Queen (PIT)","56","64","1","8","4","0","1","1","0","17","170.4","10.0","37.0%"
"29","Demetrius Knight Jr. (CIN)","58","48","3","4","7","2","1","0","0","17","169.9","10.0","28.6%"
"30","Edgerrin Cooper (GB)","63","54","0.5","4","4","0","2","1","0","16","165.3","10.3","48.6%"
"31","Dee Winters (SF)","67","34","0","8","5","1","0","0","1","17","165.0","9.7","19.6%"
"32","Alex Singleton (DEN)","54","81","1","3","4","0","1","0","0","16","163.6","10.2","43.3%"
"33","Payton Wilson (PIT)","62","47","2","6","2","1","0","1","0","17","163.5","9.6","21.9%"
"34","Drue Tranquill (KC)","55","48","2","10","1","0","1","1","0","17","161.3","9.5","20.6%"
"35","Drake Thomas (SEA)","44","45","3.5","10","8","1","0","1","0","17","160.2","9.4","14.2%"
"36","Daiyan Henley (LAC)","52","49","3.5","5","5","2","0","0","0","16","159.3","10.0","43.4%"
"37","T.J. Watt (PIT)","23","32","7","10","8","2","3","2","0","14","153.8","11.0","68.8%"
"38","Alex Anzalone (DET)","52","43","2.5","4","9","1","0","0","0","16","149.2","9.3","25.5%"
"39","Alex Highsmith (PIT)","36","14","9.5","15","3","0","1","0","0","13","148.7","11.4","39.3%"
"40","Azeez Al-Shaair (HOU)","48","55","0","1","9","2","1","1","0","16","147.6","9.2","27.3%"
"41","Jalyx Hunt (PHI)","28","24","6.5","9","3","3","2","1","1","17","146.3","8.6","13.2%"
"42","Devin Lloyd (JAC)","31","43","1.5","6","7","5","0","1","1","15","145.7","9.7","44.6%"
"43","Andrew Van Ginkel (MIN)","28","26","7","11","10","1","0","2","0","12","145.2","12.1","55.9%"
"44","Robert Spillane (NE)","48","49","1","4","5","2","1","0","0","14","144.5","10.3","44.5%"
"45","Henry To'oTo'o (HOU)","41","52","2.5","9","4","0","0","1","0","17","143.4","8.4","19.8%"
"46","Cody Barton (TEN)","37","44","1","4","11","3","0","0","1","17","140.4","8.3","13.6%"
"47","Quincy Williams (NYJ)","45","37","3.5","8","7","0","0","0","0","13","140.0","10.8","29.0%"
"48","Frankie Luvu (WAS)","42","44","3","5","6","0","2","0","0","17","138.0","8.1","20.4%"
"49","Pete Werner (NO)","50","31","2","4","5","0","0","3","0","17","136.1","8.0","4.9%"
"50","Micah Parsons (GB)","19","22","12.5","12","1","0","2","0","0","14","134.8","9.6","56.8%"
"51","Nick Herbig (PIT)","21","9","7.5","13","3","1","3","1","1","15","132.6","8.8","13.8%"
"52","Akeem Davis-Gaither (ARI)","42","58","0","2","5","1","1","1","0","17","132.4","7.8","12.3%"
"53","Barrett Carter (CIN)","52","50","0","1","4","1","0","0","0","16","129.4","8.1","22.3%"
"54","Derrick Barnes (DET)","40","34","4","6","3","1","0","0","0","17","126.3","7.4","8.9%"
"55","Elandon Roberts (LV)","42","48","0","6","1","0","0","1","0","17","120.1","7.1","1.8%"
"56","Harold Landry III (NE)","27","21","8.5","10","0","0","1","0","0","15","119.7","8.0","24.6%"
"57","Bradley Chubb (MIA)","24","23","8.5","8","0","0","2","1","0","17","119.5","7.0","16.2%"
"58","Terrel Bernard (BUF)","44","21","0","7","3","1","0","2","0","12","116.9","9.7","36.5%"
"58","Jack Gibbens (NE)","39","32","1","8","4","0","1","0","0","17","116.9","6.9","3.6%"
"60","Tatum Bethune (SF)","36","55","1","4","4","0","0","0","0","12","115.5","9.6","5.0%"
"61","Divine Deablo (ATL)","38","35","1","5","7","0","0","1","0","13","114.6","8.8","36.2%"
"62","Teddye Buchanan (BAL)","45","40","0.5","5","1","0","0","0","0","14","113.8","8.1","13.5%"
"63","Matt Milano (BUF)","36","31","3.5","7","0","0","1","0","0","12","113.2","9.4","3.6%"
"64","Jihaad Campbell (PHI)","44","32","0","2","3","1","1","1","0","16","112.9","7.1","27.0%"
"65","Kenneth Murray Jr. (DAL)","38","43","1","4","2","0","0","1","0","17","110.7","6.5","8.3%"
"66","Rashan Gary (GB)","25","20","7.5","7","1","0","1","1","0","16","109.9","6.9","25.9%"
"67","Isaiah McDuffie (GB)","41","39","1","3","1","1","0","0","0","17","109.1","6.4","5.1%"
"68","Nakobe Dean (PHI)","30","25","4","7","1","0","2","0","0","9","107.1","11.9","62.2%"
"69","Shemar James (DAL)","36","44","1.5","2","0","0","1","0","0","14","102.4","7.3","4.7%"
"70","T.J. Edwards (CHI)","33","34","0.5","2","5","1","0","0","1","11","100.8","9.2","28.6%"
"71","Trevin Wallace (CAR)","36","25","2","5","4","0","0","0","0","12","99.5","8.3","8.5%"
"72","Mack Wilson Sr. (ARI)","34","26","0","3","6","1","1","0","0","9","96.1","10.7","14.7%"
"73","Justin Strnad (DEN)","21","31","4.5","5","3","1","0","0","0","15","94.9","6.3","5.8%"
"74","Omar Speights (LAR)","42","37","0","0","1","0","0","0","0","16","92.7","5.8","9.0%"
"75","Logan Wilson (DAL)","33","35","0","0","5","0","1","1","0","15","91.7","6.1","10.1%"
"76","Khalil Mack (LAC)","19","13","5.5","6","0","0","4","0","0","12","91.3","7.6","15.4%"
"77","Tyrice Knight (SEA)","30","19","2","6","0","0","2","0","0","14","90.5","6.5","7.4%"
"78","Shaq Thompson (BUF)","31","23","1","6","2","0","1","0","0","12","90.1","7.5","1.5%"
"79","Uchenna Nwosu (SEA)","17","18","7","7","3","0","0","0","0","16","89.3","5.6","5.1%"
"80","Jalon Walker (ATL)","21","12","5.5","5","1","0","2","1","0","15","88.9","5.9","14.7%"
"81","Cody Simon (ARI)","27","42","0.5","2","2","0","1","0","0","15","86.3","5.8","7.9%"
"82","Trenton Simpson (BAL)","30","25","2.5","4","1","0","0","0","0","17","85.6","5.0","5.6%"
"83","Troy Dye (LAC)","25","27","1","5","4","0","0","1","0","16","84.7","5.3","2.5%"
"84","Von Miller (WAS)","16","10","9","6","0","0","0","0","0","17","82.8","4.9","4.3%"
"85","Fred Warner (SF)","29","22","0","2","3","0","2","1","0","6","81.6","13.6","81.4%"
"86","Zaven Collins (ARI)","24","12","1.5","6","0","0","0","2","1","17","80.4","4.7","5.7%"
"87","Austin Booker (CHI)","19","16","4.5","5","3","0","1","0","0","10","79.8","8.0","10.1%"
"88","Mike Green (BAL)","17","24","3.5","7","0","0","0","1","0","17","79.2","4.7","7.8%"
"89","Leo Chenal (KC)","23","31","2","2","2","1","0","0","0","14","79.1","5.6","7.4%"
"90","Dennis Gardeck (JAC)","24","13","2.5","6","2","0","1","0","0","17","78.0","4.6","1.3%"
"91","Jacob Martin (WAS)","17","22","5.5","3","1","0","1","0","0","17","77.4","4.6","3.3%"
"92","Noah Sewell (CHI)","29","25","0","3","0","0","1","0","0","13","73.9","5.7","1.4%"
"93","James Houston (DAL)","13","11","5.5","6","0","0","1","1","0","17","73.1","4.3","2.6%"
"94","Denzel Perryman (LAC)","30","17","0","4","3","0","0","0","0","10","72.5","7.3","4.8%"
"95","Jordan Magee (WAS)","28","21","0","3","1","0","0","0","0","16","67.2","4.2","1.7%"
"96","Samson Ebukam (IND)","23","10","2","5","0","0","0","1","0","14","66.9","4.8","4.4%"
"97","Ivan Pace Jr. (MIN)","27","22","1","2","0","0","0","0","0","16","66.3","4.1","8.2%"
"98","Dre Greenlaw (DEN)","15","28","1","2","2","1","1","0","0","8","64.8","8.1","16.0%"
"99","Mohamoud Diabate (CLE)","20","25","0","3","0","0","1","1","0","17","64.5","3.8","1.0%"
"100","Charles Snowden (LV)","16","10","3","5","2","1","0","0","0","15","64.3","4.3","0.7%"
"101","Baron Browning (ARI)","14","19","2","4","1","1","0","1","0","15","64.1","4.3","1.7%"
"102","Darius Muasau (NYG)","22","26","1","2","1","0","0","0","0","12","63.3","5.3","1.3%"
"103","Dorian Williams (BUF)","21","27","0","1","2","0","0","1","0","16","61.7","3.9","7.1%"
"104","E.J. Speed (HOU)","23","26","0","2","1","0","0","0","0","16","60.8","3.8","2.1%"
"105","Jerome Baker (CLE)","10","26","1.5","3","0","0","2","0","0","17","56.3","3.3","0.8%"
"106","D'Marco Jackson (CHI)","15","19","1","2","3","1","0","0","0","14","55.4","4.0","4.7%"
"107","Kyle Van Noy (BAL)","12","8","2","4","4","1","0","0","0","15","53.3","3.6","4.0%"
"107","Jahlani Tavai (NE)","18","16","0","4","0","0","1","0","0","12","53.3","4.4","0.7%"
"109","Malik Harrison (PIT)","22","15","0","2","0","0","0","0","0","11","49.4","4.5","1.7%"
"110","Anfernee Jennings (NE)","13","6","2","5","0","0","0","1","0","14","48.7","3.5","1.7%"
"111","Demetrius Flannigan-Fowles (NYG)","18","10","1","3","1","0","0","0","0","7","47.6","6.8","1.2%"
"112","Leonard Floyd (ATL)","6","13","3.5","5","1","0","0","0","0","15","47.2","3.1","0.8%"
"113","Jonah Elliss (DEN)","11","8","2.5","5","1","0","0","0","0","13","46.7","3.6","1.2%"
"114","Oren Burks (CIN)","11","23","0","1","1","0","1","1","0","17","46.2","2.7","2.6%"
"115","Ventrell Miller (JAC)","12","15","0","0","4","1","1","0","0","15","44.5","3.0","13.0%"
"116","Danny Stutsman (NO)","17","23","0","0","0","0","0","0","0","16","43.1","2.7","3.4%"
"117","Curtis Robinson (SF)","16","18","0","1","1","0","0","0","0","10","41.6","4.2","1.6%"
"117","Jack Sanborn (DAL)","16","18","0","1","1","0","0","0","0","5","41.6","8.3","12.1%"
"117","Kiko Mauigoa (NYJ)","15","25","0","0","0","0","0","0","0","12","41.6","3.5","1.1%"
"120","Cole Holcomb (PIT)","18","11","0","0","0","0","1","0","0","11","39.5","3.6","1.5%"
"121","Willie Gay Jr. (MIA)","8","10","2","3","2","0","0","0","0","15","38.2","2.5","1.6%"
"122","JD Bertrand (ATL)","11","18","0","1","2","0","0","0","0","10","35.6","3.6","1.7%"
"123","DeMarvion Overshown (DAL)","15","13","0","1","0","0","0","0","0","6","34.9","5.8","22.9%"
"124","Cedric Johnson (CIN)","7","4","2","2","0","0","0","2","0","9","34.7","3.9","0.7%"
"125","Bud Dupree (LAC)","9","7","2","2","1","0","0","0","0","16","33.4","2.1","1.8%"
"126","Marist Liufau (DAL)","11","8","1","1","0","0","1","0","0","17","33.2","2.0","1.0%"
"127","Preston Smith (WAS)","8","16","0.5","2","1","0","0","0","0","13","32.7","2.5","1.4%"
"128","Claudin Cherelus (CAR)","12","17","0","0","1","0","0","0","0","10","32.4","3.2","1.3%"
"129","Zaire Barnes (NYG)","12","4","1","2","0","0","0","0","0","8","30.1","3.8","0.8%"
"130","Marte Mapu (NE)","10","3","0","0","5","1","0","0","0","17","29.8","1.8","1.2%"
"131","Isaiah Stalbird (NO)","5","6","2","2","1","0","0","0","0","14","26.6","1.9","1.0%"
"132","Joe Bachie (TEN)","10","11","0","0","1","0","0","0","0","8","24.9","3.1","1.0%"
"133","Mykal Walker (NYJ)","5","16","0","1","1","0","0","0","0","14","23.7","1.7","1.0%"
"134","Del'Shawn Phillips (LAC)","4","9","1","1","0","0","0","1","0","14","23.3","1.7","1.3%"
"134","Krys Barnes (CAR)","5","15","0.5","1","0","0","0","0","0","5","23.3","4.7","0.7%"
"136","Braiden McGregor (NYJ)","6","8","1","1","1","0","0","0","0","13","23.2","1.8","1.0%"
"137","K.J. Britt (MIA)","6","18","0","0","0","0","0","0","0","14","22.7","1.6","1.4%"
"138","Austin Ajiake (IND)","9","9","0.5","0","0","0","0","0","0","16","22.3","1.4","1.8%"
"138","Joe Andreessen (BUF)","9","5","0","2","0","0","0","0","0","14","22.3","1.6","1.3%"
"140","Matthew Judon (BUF)","7","9","0","1","1","0","0","0","0","14","21.6","1.5","0.6%"
"141","Que Robinson (DEN)","4","5","0.5","3","1","0","0","0","0","6","20.9","3.5","1.5%"
"142","Za'Darius Smith (PHI)","3","7","1.5","2","0","0","0","0","0","5","20.8","4.2","0.8%"
"142","Luke Gifford (SF)","5","10","0","0","1","0","0","1","0","17","20.8","1.2","1.1%"
"144","Joe Tryon-Shoyinka (CHI)","7","10","0","1","0","0","0","0","0","14","20.7","1.5","0.7%"
"145","Tommy Eichenberg (LV)","9","4","0","1","1","0","0","0","0","15","20.6","1.4","0.9%"
"146","Owen Pappoe (ARI)","8","7","0","0","2","0","0","0","0","13","20.3","1.6","1.3%"
"147","Trevor Nowaske (DET)","2","4","1","2","0","0","0","1","0","14","19.2","1.4","1.3%"
"148","Deion Jones (TB)","8","9","0","0","0","0","0","0","0","14","19.0","1.4","1.3%"
"149","Marcelino McCrary-Ball (NYJ)","7","7","0","1","0","0","0","0","0","5","18.3","3.7","1.6%"
"150","Mike Morris (SEA)","5","5","0","2","1","0","0","0","0","17","17.8","1.0","1.1%"
"151","Jeremiah Trotter Jr. (PHI)","6","8","0","1","0","0","0","0","0","13","17.6","1.4","1.4%"
"152","Patrick O'Connell (SEA)","4","6","1","1","0","0","0","0","0","7","17.1","2.4","0.9%"
"153","Amen Ogbongbemiga (CHI)","4","12","0","0","1","0","0","0","0","6","16.5","2.8","0.7%"
"153","Jack Cochrane (KC)","2","4","0","0","1","1","0","1","0","15","16.5","1.1","2.1%"
"155","Javon Solomon (BUF)","6","1","1","1","0","0","0","0","0","16","16.3","1.0","0.7%"
"156","Malcolm Rodriguez (DET)","8","2","0","1","0","0","0","0","0","6","16.1","2.7","4.6%"
"157","Troy Reeder (LAR)","6","5","0","0","2","0","0","0","0","14","15.9","1.1","0.7%"
"157","Damone Clark (HOU)","6","9","0","0","0","0","0","0","0","10","15.9","1.6","2.0%"
"159","Brenton Cox Jr. (GB)","2","3","1","1","0","0","1","0","0","4","15.8","4.0","1.4%"
"160","Shaun Dolac (LAR)","6","1","0","2","0","0","0","0","0","12","14.8","1.2","1.5%"
"161","Ty'Ron Hopper (GB)","4","8","0","1","0","0","0","0","0","15","14.6","1.0","0.9%"
"162","Joe Giles-Harris (CIN)","4","3","0","0","2","0","0","0","0","9","11.3","1.3","1.1%"
"162","Christian Harris (HOU)","5","3","0","0","1","0","0","0","0","9","11.3","1.3","7.8%"
"162","Jamon Johnson (GB)","3","7","0","0","1","0","0","0","0","1","11.3","11.3","0.6%"
"162","Eric Watts (NYJ)","6","3","0","0","0","0","0","0","0","4","11.3","2.8","1.0%"
"166","Marlowe Wax (LAC)","5","1","0","1","0","0","0","0","0","12","10.8","0.9","0.6%"
"167","Jack Kiser (JAC)","4","6","0","0","0","0","0","0","0","6","10.6","1.8","2.7%"
"168","Cooper McDonald (KC)","3","4","0","1","0","0","0","0","0","12","10.1","0.8","1.2%"
"169","Jeffrey Bassa (KC)","2","4","0","0","0","0","1","0","0","10","10.0","1.0","1.1%"
"170","Zach Cunningham (DET)","4","1","0","1","0","0","0","0","0","5","9.3","1.9","0.7%"
"170","Bam Martin-Scott (CAR)","1","7","0","1","0","0","0","0","0","11","9.3","0.8","0.6%"
"172","Azeez Ojulari (PHI)","2","4","0","1","0","0","0","0","0","3","8.5","2.8","1.4%"
"173","Cameron Goode (MIA)","2","5","0","0","1","0","0","0","0","16","8.4","0.5","1.1%"
"174","Austin Keys (MIN)","1","0","1","1","0","0","0","0","0","7","8.0","1.1","0.6%"
"175","Nick Martin (SF)","4","2","0","0","0","0","0","0","0","4","7.5","1.9","4.8%"
"176","Grant Stuard (DET)","2","2","0","1","0","0","0","0","0","14","7.0","0.5","0.8%"
"177","Eric Kendricks (SF)","3","3","0","0","0","0","0","0","0","2","6.8","3.4","2.6%"
"178","Buddy Johnson (IND)","2","1","0","1","0","0","0","0","0","7","6.3","0.9","1.1%"
"179","Jake Hummel (BAL)","1","2","0","1","0","0","0","0","0","15","5.5","0.4","3.2%"
"180","L.J. Collier (ARI)","1","5","0","0","0","0","0","0","0","4","5.3","1.3","9.1%"
"181","Zayne Anderson (GB)","0","1","0","0","0","0","0","1","0","12","4.8","0.4","2.6%"
"182","Chad Muma (NE)","1","4","0","0","0","0","0","0","0","6","4.6","0.8","1.5%"
"182","Nick Hampton (LAR)","1","4","0","0","0","0","0","0","0","12","4.6","0.4","1.0%"
"182","Ruben Hyppolite II (CHI)","2","2","0","0","0","0","0","0","0","4","4.6","1.2","0.8%"
"185","Josh Woods (ATL)","2","2","0","0","0","0","0","0","0","10","4.5","0.5","0.6%"
"185","Keonta Jenkins (BUF)","2","2","0","0","0","0","0","0","0","3","4.5","1.5","0.7%"
"187","Trent Sieg (DAL)","0","0","0","0","0","0","0","1","0","2","4.0","2.0","0.0%"
"187","Collin Oliver (GB)","1","0","0","1","0","0","0","0","0","1","4.0","4.0","0.8%"
"187","Kain Medrano (WAS)","0","0","0","0","0","0","0","1","0","5","4.0","0.8","0.7%"
"187","Dorian Mausi (TEN)","0","0","0","0","0","0","0","1","0","10","4.0","0.4","0.7%"
"191","Kyzir White (TEN)","2","1","0","0","0","0","0","0","0","1","3.8","3.8","5.6%"
